WTP, Switch On, Switch Off
0.1,381.81137,736.38708
0.2,313.20151,549.8454
0.4,228.77594,363.0016
0.6,255.55717,356.98864
0.8,194.06469,283.60398
0.9,183.74958,211.8587
1,12.96538,10.46092
1.1,15.58893,10.12785
1.2,11.29474,9.24664
