Goodness of Fit
0.745493917
0.253292183
0.000658665
0.000520764
2.04456E-05
7.0545E-06
2.36865E-06
1.8366E-06
1.57472E-06
6.29513E-07
2.09371E-07
1.77318E-07
6.6912E-08
5.95411E-08
4.38058E-08
1.80898E-09
1.60551E-09
1.46673E-09
5.83868E-11
5.21716E-11
2.95319E-12
1.04324E-12
9.89982E-13
2.54121E-13
1.95116E-13
1.07058E-13
4.27261E-14
3.79591E-14
4.05919E-15
3.15938E-15
1.96158E-15
1.10985E-15
8.89391E-16
4.40022E-16
2.25564E-16
2.2833E-17
1.96844E-17
1.78699E-17
1.38241E-17
1.24817E-17
6.2652E-18
4.8867E-19
2.1155E-19
5.25935E-20
3.87932E-21
1.07753E-21
2.17991E-22
2.11525E-22
1.87087E-22
4.29302E-23
2.29709E-23
1.80156E-23
2.00515E-29
1.13509E-29
7.41675E-31
4.11259E-33
2.76575E-33
1.6416E-41
1.88174E-43
2.17377E-44
7.246E-47
1.27712E-83
0
0
