Iteration,f,x0,x1,x2,x3,Df0,Df1,Df2,Df3,Step_Df,Step_GH
0,-438557.333333334,0.107,-0.581,0.2,0,-0.354349926842993,-0.93511289657793,0,0,0.02,0.02
1,665989,0.11408699853686,-0.562297742068441,0.2,0,0.0985329278164293,0.0985329278164293,0.0985329278164293,0.985329278164293,0.0168179283050743,0.0192307692307692
2,602999.333333332,0.11219213454039,-0.564192606064911,0.19810513600353,-0.00189486399646979,0.991853985023072,0,0.127380031377969,0,0.0151967137130319,0.0185185185185185
3,-10935,0.0938244681510739,-0.564192606064911,0.195746246533568,-0.00189486399646979,-1,0,0,0,0.014142135623731,0.0178571428571429
4,-85375,0.111681611008217,-0.564192606064911,0.195746246533568,-0.00189486399646979,-0.5237645555692,-0.480641296375201,-0.703316880607998,0,0.0133748060995284,0.0172413793103448
5,440121.333333336,0.1207120343801,-0.55590568716189,0.207872399647499,-0.00189486399646979,-1,0,0,0,0.0127788620849254,0.0166666666666667
6,0,0.137378701046766,-0.55590568716189,0.207872399647499,-0.00189486399646979,-0.268928671789106,0,-0.963160095461677,0,0.0122957630590253,0.0161290322580645
7,-204510.333333334,0.141716260269171,-0.55590568716189,0.223407239896881,-0.00189486399646979,-0.101558893909517,0.0985028013470402,0.0985028013470402,0.985028013470402,0.0118920711500272,0.015625
8,124916.333333332,0.143303117986507,-0.557444793432938,0.221868133625833,-0.0034339702675173,0,0,0,0,0.0115470053837925,0.0151515151515152
9,-35008,0.143303117986507,-0.557444793432938,0.221868133625833,-0.0034339702675173,0,0,0,0,0.011246826503807,0.0147058823529412
10,20747,0.143303117986507,-0.557444793432938,0.221868133625833,-0.0034339702675173,0.886024882458561,0.327841354670436,0.327841354670436,0,0.0109820097355222,0.0142857142857143
11,474750.333333336,0.130645619665671,-0.562128241356801,0.21718468570197,-0.0034339702675173,1,0,0,0,0.0107456993182354,0.0138888888888889
12,-335024.666666668,0.116756730776782,-0.562128241356801,0.21718468570197,-0.0034339702675173,0,0,0,0,0.0105328077569585,0.0135135135135135
13,-121071.666666666,0.116756730776782,-0.562128241356801,0.21718468570197,-0.0034339702675173,-0.800240356871007,-0.0794914235950725,-0.594387487090528,0,0.0103394630791434,0.0131578947368421
14,64429.3333333321,0.127286209156663,-0.561082301572656,0.225005573690003,-0.0034339702675173,0,0,0,0,0.0101626549630923,0.0128205128205128
15,-26733.3333333321,0.127286209156663,-0.561082301572656,0.225005573690003,-0.0034339702675173,0,0,0,0,0.01,0.0125
16,-25837,0.127286209156663,-0.561082301572656,0.225005573690003,-0.0034339702675173,0,0,0,0,0.00984958121010905,0.0121951219512195
17,-432648.333333334,0.127286209156663,-0.561082301572656,0.225005573690003,-0.0034339702675173,0.173961259975406,-0.696325168304209,-0.696325168304209,0,0.00970983543414647,0.0119047619047619
18,108219.666666668,0.125215241776004,-0.552792716235701,0.233295159026958,-0.0034339702675173,-1,0,0,0,0.00957947250887149,0.0116279069767442
19,-143623.666666666,0.136843148752748,-0.552792716235701,0.233295159026958,-0.0034339702675173,-1,0,0,0,0.00945741609003176,0.0113636363636364
20,-68895.3333333321,0.148206785116384,-0.552792716235701,0.233295159026958,-0.0034339702675173,-1,0,0,0,0.009342759554564,0.0111111111111111
21,-213037.333333334,0.159317896227496,-0.552792716235701,0.233295159026958,-0.0034339702675173,0,0,0,0,0.00923473261888205,0.0108695652173913
22,202363.666666668,0.159317896227496,-0.552792716235701,0.233295159026958,-0.0034339702675173,0,0,0,0,0.00913267570993462,0.0106382978723404
23,-107644.333333332,0.159317896227496,-0.552792716235701,0.233295159026958,-0.0034339702675173,0,0,0,0,0.00903602003609845,0.0104166666666667
24,-52338,0.159317896227496,-0.552792716235701,0.233295159026958,-0.0034339702675173,0,0,0,0,0.00894427190999916,0.0102040816326531
25,-491857,0.159317896227496,-0.552792716235701,0.233295159026958,-0.0034339702675173,0,0,0,0,0.00885700028538295,0.01
26,-889206,0.159317896227496,-0.552792716235701,0.233295159026958,-0.0034339702675173,-1,0,0,0,0.00877382675301662,0.00980392156862745
27,-287257,0.169121817796123,-0.552792716235701,0.233295159026958,-0.0034339702675173,-0.707106781186548,-0.707106781186548,0,0,0.00869441743889983,0.00961538461538462
28,-214910.333333336,0.175920921461378,-0.545993612570445,0.233295159026958,-0.0034339702675173,0,0,0,0,0.00861847638917812,0.00943396226415094
29,-224646,0.175920921461378,-0.545993612570445,0.233295159026958,-0.0034339702675173,-0.707106781186547,0,-0.707106781186547,0,0.00854574012792468,0.00925925925925926
30,-19795.3333333321,0.182468206472365,-0.545993612570445,0.239842444037945,-0.0034339702675173,0,0,0,0,0.00847597314830043,0.00909090909090909
31,0,0.182468206472365,-0.545993612570445,0.239842444037945,-0.0034339702675173,0,0,0,0,0.00840896415253715,0.00892857142857143
32,-138159.666666668,0.182468206472365,-0.545993612570445,0.239842444037945,-0.0034339702675173,0.577350269189626,0.577350269189626,0.577350269189626,0,0.00834452289722301,0.0087719298245614
33,-28453.6666666679,0.177403730426842,-0.551058088615969,0.234777967992422,-0.0034339702675173,0,0,0,0,0.00828247753133104,0.00862068965517241
34,-8916,0.177403730426842,-0.551058088615969,0.234777967992422,-0.0034339702675173,0,0,0,0,0.00822267233801039,0.00847457627118644
35,-439975.666666668,0.177403730426842,-0.551058088615969,0.234777967992422,-0.0034339702675173,0,0,0,0,0.00816496580927726,0.00833333333333333
36,-169121.333333332,0.177403730426842,-0.551058088615969,0.234777967992422,-0.0034339702675173,0.506221306224939,-0.609811441809645,-0.609811441809645,0,0.0081092289967754,0.00819672131147541
37,-177106,0.173254375457785,-0.546059634174906,0.239776422433484,-0.0034339702675173,-0.707106781186547,0,-0.707106781186547,0,0.00805534409273155,0.00806451612903226
