Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,250374000,0.1,0.05,0,0,0.005,0.5
1,220736025,0.1,0.05,0,0,0.00420448207626857,0.25
2,151824669,0.1,0.05,1,0,0.00379917842825796,0.166666666666667
3,953787679.444444,0,0,-1,0,0.00353553390593274,0.125
4,144889496,0.125,0,0,-1,0.00334370152488211,0.1
5,224532935,0.125,0.1,-1,0,0.00319471552123136,0.0833333333333333
6,286671332,0.208333333333333,0.1,0,0,0.00307394076475632,0.0714285714285714
7,184240423,0.208333333333333,0.1,0,0,0.0029730177875068,0.0625
8,151784076,0.208333333333333,0.1,-1,0,0.00288675134594813,0.0555555555555556
9,178985293.45679,0.25,0.1,1,0,0.00281170662595175,0.05
10,202270178,0.2,0.1,1,0,0.00274550243388056,0.0454545454545455
11,172507463,0.154545454545455,0.1,-1,0,0.00268642482955886,0.0416666666666667
12,169640348,0.196212121212121,0.1,1,0,0.00263320193923963,0.0384615384615385
13,228841529,0.157750582750583,0.1,1,0,0.00258486576978585,0.0357142857142857
14,199980426,0.122036297036297,0.1,0,0,0.00254066374077307,0.0333333333333333
15,179234300,0.122036297036297,0.1,0,0,0.0025,0.03125
16,242403311,0.122036297036297,0.1,0,0,0.00246239530252726,0.0294117647058824
17,137378423,0.122036297036297,0.1,0,0,0.00242745885853662,0.0277777777777778
18,173277147,0.122036297036297,0.1,0,0,0.00239486812721787,0.0263157894736842
19,186373680,0.122036297036297,0.1,0,0,0.00236435402250794,0.025
20,161815994,0.122036297036297,0.1,0,0,0.002335689888641,0.0238095238095238
21,228736840,0.122036297036297,0.1,0,0,0.00230868315472051,0.0227272727272727
22,178127035,0.122036297036297,0.1,0,0,0.00228316892748366,0.0217391304347826
23,166181661,0.122036297036297,0.1,0,0,0.00225900500902461,0.0208333333333333
24,274680229,0.122036297036297,0.1,0,0,0.00223606797749979,0.02
25,225242632,0.122036297036297,0.1,0,0,0.00221425007134574,0.0192307692307692
26,148247400,0.122036297036297,0.1,1,0,0.00219345668825415,0.0185185185185185
27,185357167,0.103517778517779,0.1,0,0,0.00217360435972496,0.0178571428571429
28,166969934,0.103517778517779,0.1,0,0,0.00215461909729453,0.0172413793103448
29,230060346,0.103517778517779,0.1,0,0,0.00213643503198117,0.0166666666666667
30,208746070,0.103517778517779,0.1,0,0,0.00211899328707511,0.0161290322580645
31,193838906,0.103517778517779,0.1,1,0,0.00210224103813429,0.015625
32,220890891.201957,0.0878927785177785,0.0878927785177785,-0.707106781186547,0.707106781186547,0.00208613072430575,0.0151515151515152
33,150422803,0.0986065176266656,0.0771790394088914,0,0,0.00207061938283276,0.0147058823529412
34,139813440,0.0986065176266656,0.0771790394088914,0,0,0.0020556680845026,0.0142857142857143
35,238050577,0.0986065176266656,0.0771790394088914,0,0,0.00204124145231932,0.0138888888888889
36,146963843,0.0986065176266656,0.0771790394088914,0,0,0.00202730724919385,0.0135135135135135
37,252651441,0.0986065176266656,0.0771790394088914,1,0,0.00201383602318289,0.0131578947368421
38,204548000,0.0854486228898235,0.0771790394088914,0,0,0.00200080080096125,0.0128205128205128
39,201989417,0.0854486228898235,0.0771790394088914,0,0,0.00198817682191763,0.0125
40,166003919,0.0854486228898235,0.0771790394088914,0,0,0.00197594130662202,0.0121951219512195
41,190499571,0.0854486228898235,0.0771790394088914,1,0,0.00196407325450257,0.0119047619047619
42,264339526.217308,0.0735438609850616,0.0735438609850616,-0.707106781186547,0.707106781186547,0.00195255326644758,0.0116279069767442
43,193307082,0.0817660328593238,0.0653216891107994,0,0,0.00194136338876112,0.0113636363636364
44,226950582,0.0817660328593238,0.0653216891107994,0,0,0.00193048697548045,0.0111111111111111
45,191102979,0.0817660328593238,0.0653216891107994,0,0,0.00191990856653967,0.0108695652173913
46,149965605,0.0817660328593238,0.0653216891107994,1,0,0.00190961377965477,0.0106382978723404
47,162502608,0.0711277349869833,0.0653216891107994,0,0,0.00189958921412898,0.0104166666666667
48,179129032,0.0711277349869833,0.0653216891107994,0,0,0.00188982236504614,0.0102040816326531
49,165856979,0.0711277349869833,0.0653216891107994,1,0,0.0018803015465432,0.01
50,189076014.119267,0.0611277349869833,0.0611277349869833,-0.0637402607823123,0.997966522061438,0.00187101582304106,0.00980392156862745
51,243483010,0.061752639504457,0.0513437494765771,1,0,0.00186195494746991,0.00961538461538462
52,159186264,0.0521372548890724,0.0513437494765771,0.993584071621862,0.113095944309782,0.00185310930565826,0.00943396226415094
53,302593490.39644,0.0427638202511303,0.0427638202511303,-0.968166474777749,0.250307165531524,0.0018444698661672,0.00925925925925926
54,160108700,0.0517283246472205,0.0404461613110236,0,0,0.0018360281349468,0.00909090909090909
55,167068138,0.0517283246472205,0.0404461613110236,0,0,0.00182777611427256,0.00892857142857143
56,193817473,0.0517283246472205,0.0404461613110236,0,0,0.00181970626548974,0.0087719298245614
57,152965714,0.0517283246472205,0.0404461613110236,-1,0,0.00181181147515216,0.00862068965517241
58,220145894,0.060349014302393,0.0404461613110236,0,0,0.00180408502419387,0.00847457627118644
59,148873421,0.060349014302393,0.0404461613110236,-1,0,0.00179652055981542,0.00833333333333333
60,194285331,0.0686823476357263,0.0404461613110236,0,0,0.00178911206980513,0.00819672131147541
61,159731580,0.0686823476357263,0.0404461613110236,0,0,0.00178185385904814,0.00806451612903226
62,190611681,0.0686823476357263,0.0404461613110236,0,0,0.00177474052800503,0.00793650793650794
63,227752168,0.0686823476357263,0.0404461613110236,0,0,0.00176776695296637,0.0078125
64,173838720,0.0686823476357263,0.0404461613110236,-1,0,0.00176092826791162,0.00769230769230769
65,206159457,0.076374655328034,0.0404461613110236,0,0,0.00175421984781934,0.00757575757575758
66,173949425,0.076374655328034,0.0404461613110236,0,0,0.00174763729329276,0.00746268656716418
67,193870833,0.076374655328034,0.0404461613110236,0,0,0.00174117641637893,0.00735294117647059
68,181047843,0.076374655328034,0.0404461613110236,0,0,0.00173483322747296,0.0072463768115942
