Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,586472395,0.16849970214471,0.122769985002335,0.277867821876332,0.960619317714204,0.01,0.5
1,13392017727.0173,0.0295657912065441,0,0.79496995539894,-0.606648802861266,0.00840896415253715,0.25
2,5805977464.37686,0,0,0.795603500190715,0.605817687497058,0.00759835685651593,0.166666666666667
3,3399677610.52778,0,0,0.760265229641286,0.649612792822373,0.00707106781186548,0.125
4,2166077030.25,0,0,-0.964243153288667,-0.265019133905326,0.00668740304976422,0.1
5,548069736,0.0964243153288667,0.0265019133905326,0.990374338068459,0.138414849259257,0.00638943104246272,0.0833333333333333
6,637332460.068265,0.0138931204898285,0.0138931204898285,0.483330704762682,0.875437850354672,0.00614788152951264,0.0714285714285714
7,894508340.213981,0,0,-0.382190469132621,0.924083570519565,0.00594603557501361,0.0625
8,1035215815.94695,0.0238869043207888,0,-0.660457738523212,0.750863220316993,0.00577350269189626,0.0555555555555556
9,743110385.631113,0.0605790009054117,0,0.688303473681385,0.725422861590493,0.00562341325190349,0.05
10,687729087.029535,0.0261638272213424,0,-0.991248804315429,-0.13200684809218,0.00549100486776113,0.0454545454545455
11,483885563.25,0.0712205910538619,0.00600031127691727,0.968457987659497,-0.249176897280865,0.00537284965911771,0.0416666666666667
12,554249717,0.0308681749013829,0.0163826819969533,-0.986676875823995,0.162692171643878,0.00526640387847927,0.0384615384615385
13,564004465.75,0.0688172855099981,0.0101252907798811,-0.266303339675104,-0.963889273349323,0.00516973153957171,0.0357142857142857
14,589335257.5,0.0783281190698232,0.044549907685214,0.782600535906183,0.622524217359739,0.00508132748154615,0.0333333333333333
15,616531082.5,0.0522414345396172,0.0237991004398894,0.787131455405523,-0.616785272125708,0.005,0.03125
16,662000041.129938,0.0276435765581946,0.0276435765581946,0.971242973576943,0.238090500183057,0.00492479060505452,0.0294117647058824
17,583965781.010278,0,0,0.953149726631631,0.302498923340313,0.00485491771707323,0.0277777777777778
18,693546276.32716,0,0,-0.0823328153725333,-0.996604890371722,0.00478973625443575,0.0263157894736842
19,604273312.948984,0.0021666530361193,0.0021666530361193,-0.686047011475631,0.727557212901745,0.00472870804501588,0.025
20,631243115.194307,0.0193178283230101,0,0.198788996782953,-0.980042312738602,0.004671379777282,0.0238095238095238
21,663846723.432119,0.014584756971035,0.014584756971035,0.408961367973439,0.912551696894644,0.00461736630944103,0.0227272727272727
22,629339205.870708,0.00529018042618414,0,0.250922876465737,0.968007081619841,0.00456633785496731,0.0217391304347826
23,609135663.352117,0,0,0.611671430315359,-0.791111914545574,0.00451801001804922,0.0208333333333333
24,630416903.027778,0,0,-0.945384557019672,-0.325957112744482,0.00447213595499958,0.02
25,598666554.75,0.0189076911403934,0.00651914225488964,0,0,NaN,NaN
