Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,162958550.518601,0.0871284078257444,0.0142420334818165,-0.0262938365143027,0.999654257311676,0.01,1
1,97264913101.0735,0.113422244340047,0,0,-1,0.00840896415253715,0.5
2,15113314567.7627,0.113422244340047,0.113422244340047,-0.676217291534853,0.736702229282135,0.00759835685651593,0.333333333333333
3,1907476138.01759,0.338828008184998,0,0,-1,0.00707106781186548,0.25
4,161023446.765133,0.338828008184998,0.25,1,0,0.00668740304976422,0.2
5,1399008513.98051,0.138828008184998,0.138828008184998,-0.638487612563286,0.76963209951459,0.00638943104246272,0.166666666666667
6,167199836.045688,0.245242610278879,0.0105559915992331,0,1,0.00614788152951264,0.142857142857143
7,1908441778.92721,0.245242610278879,0,0,-1,0.00594603557501361,0.125
8,163582947.001419,0.245242610278879,0.125,1,0,0.00577350269189626,0.111111111111111
9,157284092.371305,0.134131499167768,0.125,1,0,0.00562341325190349,0.1
10,997130466.199732,0.034131499167768,0.034131499167768,-0.746840602747876,0.665003093291444,0.00549100486776113,0.0909090909090909
11,240004449.531368,0.102026099417575,0,0,-1,0.00537284965911771,0.0833333333333333
12,163769118.521042,0.102026099417575,0.0833333333333333,1,0,0.00526640387847927,0.0769230769230769
13,500726311.9603,0.025103022494498,0.025103022494498,-0.770317040574058,0.637661083179165,0.00516973153957171,0.0714285714285714
14,211220985.744447,0.0801256682497878,0,0,-1,0.00508132748154615,0.0666666666666667
15,159160520.660475,0.0801256682497878,0.0666666666666667,1,0,0.005,0.0625
16,387743918.874225,0.0176256682497878,0.0176256682497878,-0.858943764887809,0.512069925655038,0.00492479060505452,0.0588235294117647
17,173237804.088623,0.0681517720667177,0,0,1,0.00485491771707323,0.0555555555555556
18,465224156.866019,0.0681517720667177,0,0,-1,0.00478973625443575,0.0526315789473684
19,161035022.390544,0.0681517720667177,0.0526315789473684,1,0,0.00472870804501588,0.05
20,271502891.742469,0.0181517720667177,0.0181517720667177,-0.87636716096766,0.481643643347947,0.004671379777282,0.0476190476190476
21,164601513.682707,0.0598835416366063,0,0,-1,0.00461736630944103,0.0454545454545455
22,164593131.741778,0.0598835416366063,0.0454545454545455,1,0,0.00456633785496731,0.0434782608695652
23,244887063.143787,0.0164052807670411,0.0164052807670411,-0.818870990987959,0.573977612906983,0.00451801001804922,0.0416666666666667
24,173927518.480503,0.0505249053915393,0,0.0636529217835306,-0.997972096578066,0.00447213595499958,0.04
