Iteration,f,x0,x1,Df0,Df1
0,144566079.524493,0.112787561943438,0.0222598082887858,0.183488847364636,0.983021791667304
1,22178436101.9335,0.0210431382611199,0,-0.0531841022984342,-0.998584724128459
2,8809628822.32736,0.038771172360598,0.038771172360598,-0.720603247273901,0.693347647301344
3,1979478930.57377,0.218921984179073,0,0,-1
4,152685385.672135,0.218921984179073,0.2,1,0
5,2330980961.00463,0.0522553175124065,0.0522553175124065,-0.703303289011316,0.710889923733531
6,379991009.704196,0.152727215942594,0,0,-1
7,166710857.641267,0.152727215942594,0.125,1,0
8,847655881.51508,0.0416161048314833,0.0416161048314833,-0.718417595575968,0.695612074626976
9,237258209.172607,0.11345786438908,0,0,-1
10,151052772.659896,0.11345786438908,0.0909090909090909,1,0
11,518881107.82695,0.0301245310557468,0.0301245310557468,-0.74311758958918,0.669160853639218
12,204440712.691668,0.0872874225626068,0,0,-1
13,147901044.441796,0.0872874225626068,0.0714285714285714,1,0
14,411269010.459232,0.0206207558959401,0.0206207558959401,-0.748125393722473,0.663557379031832
15,200695209.035581,0.0673785930035947,0,0,-1
16,161267558.225882,0.0673785930035947,0.0588235294117647,0.769392365470798,0.638776477302703
17,163352247.098525,0.0246345726996614,0.0233359473393923,-0.735836147329309,0.677159629838903
18,170221628.135274,0.0633627909801514,0,-0.000663746754308477,-0.999999779720099
19,161502639.811813,0.0633959783178668,0.0499999889860049,-1,0
20,149673772.611618,0.111015025936914,0.0499999889860049,1,0
21,159866413.388143,0.065560480482369,0.0499999889860049,1,0
22,230031438.978746,0.0220822196128038,0.0220822196128038,-0.749308684049007,0.662220881586156
23,151082891.947825,0.0533034147815124,0,0.00242907293935682,-0.999997049797976
24,143079970.238942,0.0532062518639381,0.039999881991919,1,0
25,215407177.431925,0.0147447134023996,0.0147447134023996,-0.730979447840592,0.682399477457789
26,178346802.76542,0.0418180262853845,0,-0.0217422112207333,-0.999763610185544
27,150853706.526424,0.0425945338289821,0.0357058432209123,-0.707974086050472,0.706238411218901
28,136099936.840925,0.0670074333479639,0.0113527945581916,0.0537413250582423,-0.998554890820221
29,150428910.349487,0.0652160558460225,0.0446379575855323,1,0
30,156783053.574511,0.0329579913298935,0.0329579913298935,-0.724751269951907,0.689010592591361
31,149373581.453712,0.0556064685158906,0.0114264103114135,0.176064145804099,-0.984378695707233
32,157787015.564723,0.0502711913703118,0.0412560677570872,-0.293764319220765,0.955877881715421
33,155558039.95144,0.0589113184062167,0.013142012412516,-0.461169970735149,-0.887311815593674
34,156505462.684416,0.0720876032843638,0.0384937785723353,1,0
35,149035756.297575,0.044309825506586,0.0384937785723353,-0.730552887229604,0.68285611878381
