Iteration,f,x0,x1,x2,x3,Df0,Df1,Df2,Df3,Step_Df,Step_GH
0,-59503.3333333321,0.107,-0.581,0.2,0,-0.929195507300429,-0.369588567481054,0,0,0.02,0.02
1,-141396.333333336,0.125583910146009,-0.573608228650379,0.2,0,1,0,0,0,0.0168179283050743,0.0198019801980198
2,-116996.666666666,0.105781929947989,-0.573608228650379,0.2,0,-1,0,0,0,0.0151967137130319,0.0196078431372549
3,303146.666666666,0.125389773085244,-0.573608228650379,0.2,0,-1,0,0,0,0.014142135623731,0.0194174757281553
4,-93659,0.144807248813399,-0.573608228650379,0.2,0,0.707106781186547,0,0.707106781186547,0,0.0133748060995284,0.0192307692307692
5,-300267.666666664,0.131209041482888,-0.573608228650379,0.186401792669489,0,0.707106781186547,0,0.707106781186547,0,0.0127788620849254,0.019047619047619
6,-21973.666666666,0.117740340888859,-0.573608228650379,0.17293309207546,0,0,0,0,0,0.0122957630590253,0.0188679245283019
7,28881,0.117740340888859,-0.573608228650379,0.17293309207546,0,-1,0,0,0,0.0118920711500272,0.0186915887850467
8,167002.666666664,0.136431929673906,-0.573608228650379,0.17293309207546,0,-1,0,0,0,0.0115470053837925,0.0185185185185185
9,-61664,0.154950448192424,-0.573608228650379,0.17293309207546,0,-0.707106781186548,0,-0.707106781186548,0,0.011246826503807,0.018348623853211
10,307225.666666668,0.167924884544471,-0.573608228650379,0.185907528427507,0,0,0,0,0,0.0109820097355222,0.0181818181818182
11,-212104,0.167924884544471,-0.573608228650379,0.185907528427507,0,-0.707106781186547,0,-0.707106781186547,0,0.0107456993182354,0.018018018018018
12,5235.33333333209,0.180665547268553,-0.573608228650379,0.198648191151589,0,0,0,0,0,0.0105328077569585,0.0178571428571429
13,-545258.666666668,0.180665547268553,-0.573608228650379,0.198648191151589,0,-0.707106781186547,0,-0.707106781186547,0,0.0103394630791434,0.0176991150442478
14,0,0.193180711537341,-0.573608228650379,0.211163355420377,0,0,0,0,0,0.0101626549630923,0.0175438596491228
15,307225.666666668,0.193180711537341,-0.573608228650379,0.211163355420377,0,-0.707106781186547,0,-0.707106781186547,0,0.01,0.0173913043478261
16,-372652.333333334,0.205478220775368,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00984958121010905,0.0172413793103448
17,29923.6666666642,0.205478220775368,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00970983543414647,0.0170940170940171
18,-748448.666666668,0.205478220775368,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00957947250887149,0.0169491525423729
19,-657732.333333332,0.205478220775368,-0.573608228650379,0.223460864658404,0,-1,0,0,0,0.00945741609003176,0.0168067226890756
20,-145589.666666668,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.009342759554564,0.0166666666666667
21,-217612.666666666,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00923473261888205,0.0165289256198347
22,46863.6666666642,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00913267570993462,0.0163934426229508
23,-298935,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00903602003609845,0.016260162601626
24,30174.6666666679,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00894427190999916,0.0161290322580645
25,48992,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00885700028538295,0.016
26,-187393.333333332,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00877382675301662,0.0158730158730159
27,316367.333333332,0.222284943464444,-0.573608228650379,0.223460864658404,0,0,0,0,0,0.00869441743889983,0.015748031496063
28,-109842.666666666,0.222284943464444,-0.573608228650379,0.223460864658404,0,0.0985329278164293,0.0985329278164293,0.0985329278164293,0.985329278164293,0.00861847638917812,0.015625
29,-302390.333333332,0.220745366467312,-0.575147805647511,0.221921287661272,-0.00153957699713171,0,0,0,0,0.00854574012792468,0.0155038759689922
30,64074,0.220745366467312,-0.575147805647511,0.221921287661272,-0.00153957699713171,0,0,0,0,0.00847597314830043,0.0153846153846154
31,-104377.333333336,0.220745366467312,-0.575147805647511,0.221921287661272,-0.00153957699713171,0.388172107434144,0.0831701601823344,0.388172107434144,0.831701601823344,0.00840896415253715,0.0152671755725191
32,-13225,0.21481907475076,-0.576417579085409,0.215994995944721,-0.00280935043502994,0,0,0,0,0.00834452289722301,0.0151515151515152
33,-257922.666666664,0.21481907475076,-0.576417579085409,0.215994995944721,-0.00280935043502994,0,0,0,0,0.00828247753133104,0.0150375939849624
34,-257922.666666664,0.21481907475076,-0.576417579085409,0.215994995944721,-0.00280935043502994,0,0,0,0,0.00822267233801039,0.0149253731343284
35,0,0.21481907475076,-0.576417579085409,0.215994995944721,-0.00280935043502994,0,0,0,0,0.00816496580927726,0.0148148148148148
36,-767886,0.21481907475076,-0.576417579085409,0.215994995944721,-0.00280935043502994,-0.816662254445791,0,-0.577115900113243,0,0.0081092289967754,0.0147058823529412
37,231653,0.226828813786728,-0.576417579085409,0.224481994475798,-0.00280935043502994,0,0,0,0,0.00805534409273155,0.0145985401459854
38,-570569,0.226828813786728,-0.576417579085409,0.224481994475798,-0.00280935043502994,0.435222902636933,0.0891452342770857,0.0891452342770857,0.891452342770857,0.008003203203845,0.0144927536231884
39,-111981.666666668,0.220521235487642,-0.577709539002468,0.223190034558738,-0.00410131035208916,0,0,0,0,0.00795270728767051,0.0143884892086331
40,453402,0.220521235487642,-0.577709539002468,0.223190034558738,-0.00410131035208916,0.0985329278164293,0.0985329278164293,0.0985329278164293,0.985329278164293,0.0079037652264881,0.0142857142857143
41,-254789,0.219113622233122,-0.579117152256988,0.221782421304218,-0.00550892360660957,0,0,0,0,0.00785629301801026,0.0141843971631206
42,15798.666666666,0.219113622233122,-0.579117152256988,0.221782421304218,-0.00550892360660957,-0.707106781186547,0,-0.707106781186547,0,0.00781021306579032,0.0140845070422535
43,-193738,0.229072872672369,-0.579117152256988,0.231741671743465,-0.00550892360660957,0,0,0,0,0.00776545355504446,0.013986013986014
44,168490.666666666,0.229072872672369,-0.579117152256988,0.231741671743465,-0.00550892360660957,0.707106781186547,0,0.707106781186547,0,0.00772194790192179,0.0138888888888889
45,-142904.666666666,0.219251945155889,-0.579117152256988,0.221920744226985,-0.00550892360660957,-0.707106781186547,0,-0.707106781186547,0,0.0076796342661587,0.0137931034482759
46,228356.666666664,0.229005142137772,-0.579117152256988,0.231673941208869,-0.00550892360660957,0,0,0,0,0.00763845511861907,0.0136986301369863
47,89921,0.229005142137772,-0.579117152256988,0.231673941208869,-0.00550892360660957,-0.707106781186547,0,-0.707106781186547,0,0.00759835685651593,0.0136054421768707
48,168116,0.238625642562079,-0.579117152256988,0.241294441633176,-0.00550892360660957,0,0,0,0,0.00755928946018455,0.0135135135135135
49,275825.666666666,0.238625642562079,-0.579117152256988,0.241294441633176,-0.00550892360660957,0.707106781186548,0,0.707106781186548,0,0.00752120618617279,0.0134228187919463
50,46863.6666666642,0.229134276371656,-0.579117152256988,0.231803075442752,-0.00550892360660957,0,0,0,0,0.00748406329216425,0.0133333333333333
51,43315.6666666679,0.229134276371656,-0.579117152256988,0.231803075442752,-0.00550892360660957,0,0,0,0,0.00744781978987965,0.0132450331125828
52,-461890.333333334,0.229134276371656,-0.579117152256988,0.231803075442752,-0.00550892360660957,0,0,0,0,0.00741243722263303,0.0131578947368421
53,146203,0.229134276371656,-0.579117152256988,0.231803075442752,-0.00550892360660957,0,0,0,0,0.00737787946466881,0.0130718954248366
54,0,0.229134276371656,-0.579117152256988,0.231803075442752,-0.00550892360660957,0.707106781186547,0,0.707106781186547,0,0.00734411253978718,0.012987012987013
55,188401.666666668,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00731110445709025,0.0129032258064516
56,0,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00727882506195895,0.0128205128205128
57,-61006,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00724724590060866,0.0127388535031847
58,1757474.66666667,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00721634009677548,0.0126582278481013
59,-33492.666666666,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00718608223926168,0.0125786163522013
60,12343,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00715644827922052,0.0125
61,-145503.333333332,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00712741543619258,0.0124223602484472
62,202954.333333332,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00709896211202011,0.0123456790123457
63,231653,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00707106781186548,0.0122699386503067
64,0,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0,0,0,0,0.00704371307164647,0.0121951219512195
65,88709,0.219951071421181,-0.579117152256988,0.222619870492277,-0.00550892360660957,0.0155990665251483,0.0120407040133573,0.0155990665251483,0.999684129960034,0.00701687939127737,0.0121212121212121
66,665096.666666668,0.219761991826937,-0.579263100184423,0.222430790898033,-0.00672066194595507,0,0,0,0,0.00699054917317102,0.0120481927710843
67,-249716.333333332,0.219761991826937,-0.579263100184423,0.222430790898033,-0.00672066194595507,-1,0,0,0,0.00696470566551571,0.0119760479041916
68,-184608.666666664,0.231738039731128,-0.579263100184423,0.222430790898033,-0.00672066194595507,0,0,0,0,0.00693933290989182,0.0119047619047619
69,0,0.231738039731128,-0.579263100184423,0.222430790898033,-0.00672066194595507,0,0,0,0,0.00691441569283882,0.0118343195266272
70,-77007.333333334,0.231738039731128,-0.579263100184423,0.222430790898033,-0.00672066194595507,0,0,-1,0,0.00688993950102279,0.0117647058823529
71,-182996.666666666,0.231738039731128,-0.579263100184423,0.234195496780386,-0.00672066194595507,0,0,0,0,0.00686589047969039,0.0116959064327485
72,93775.333333334,0.231738039731128,-0.579263100184423,0.234195496780386,-0.00672066194595507,1,0,0,0,0.00684225539412643,0.0116279069767442
73,-96603.666666667,0.220110132754384,-0.579263100184423,0.234195496780386,-0.00672066194595507,0.687444015477889,0.234182516783963,0.687444015477889,0,0.00681902159385991,0.0115606936416185
74,46726.333333334,0.21216280309568,-0.581970412517186,0.226248167121682,-0.00672066194595507,-0.577350269189626,-0.577350269189626,-0.577350269189626,0,0.00679617697938849,0.0114942528735632
75,-306362,0.218799013086366,-0.5753342025265,0.232884377112368,-0.00672066194595507,-0.0985329278164293,-0.0985329278164293,-0.0985329278164293,-0.985329278164293,0.00677370997121314,0.0114285714285714
76,296291.333333332,0.219925103689982,-0.574208111922884,0.234010467715984,-0.00559457134233874,-0.707106781186548,0,-0.707106781186548,0,0.00675160948099453,0.0113636363636364
77,180826.666666666,0.227960408021647,-0.574208111922884,0.242045772047649,-0.00559457134233874,0.707106781186547,0,0.707106781186547,0,0.0067298648846603,0.0112994350282486
78,89305.333333334,0.219970500889596,-0.574208111922884,0.234055864915598,-0.00559457134233874,0,0,0,0,0.00670846599730825,0.0112359550561798
79,-572288.333333334,0.219970500889596,-0.574208111922884,0.234055864915598,-0.00559457134233874,-1,0,0,0,0.00668740304976422,0.0111731843575419
80,-678397.666666668,0.231143685247138,-0.574208111922884,0.234055864915598,-0.00559457134233874,0,0,0,0,0.00666666666666667,0.0111111111111111
81,49244.3333333358,0.231143685247138,-0.574208111922884,0.234055864915598,-0.00559457134233874,0,0,0,0,0.0066462478459608,0.0110497237569061
82,-127184.666666666,0.231143685247138,-0.574208111922884,0.234055864915598,-0.00559457134233874,0,0,0,0,0.0066261379396958,0.010989010989011
83,-465723,0.231143685247138,-0.574208111922884,0.234055864915598,-0.00559457134233874,-1,0,0,0,0.00660632863602761,0.0109289617486339
84,-3261.66666666791,0.242072646995772,-0.574208111922884,0.234055864915598,-0.00559457134233874,0,0,-1,0,0.00658681194233836,0.0108695652173913
85,46175.666666666,0.242072646995772,-0.574208111922884,0.244925430132989,-0.00559457134233874,1,0,0,0,0.00656758016939081,0.0108108108108108
86,100708,0.231261836184961,-0.574208111922884,0.244925430132989,-0.00559457134233874,0,0,0,0,0.00654862591644322,0.010752688172043
87,-696257.666666668,0.231261836184961,-0.574208111922884,0.244925430132989,-0.00559457134233874,0.538005253162712,0.80089806807056,-0.262892814907848,0,0.0065299420572561,0.0106951871657754
88,251535,0.225507769306215,-0.582773866661606,0.247737117992966,-0.00559457134233874,0,0,0,0,0.00651152172692792,0.0106382978723404
89,24972,0.225507769306215,-0.582773866661606,0.247737117992966,-0.00559457134233874,-0.707106781186548,0,-0.707106781186548,0,0.00649335830950198,0.0105820105820106
90,-378635.333333334,0.232990380747343,-0.582773866661606,0.255219729434094,-0.00559457134233874,0,0,0,0,0.00647544542629129,0.0105263157894737
91,-7943,0.232990380747343,-0.582773866661606,0.255219729434094,-0.00559457134233874,0.577350269189626,0.577350269189626,0.577350269189626,0,0.00645777692487244,0.0104712041884817
92,390029.333333332,0.226944828190383,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00644034686870335,0.0104166666666667
93,-168486,0.226944828190383,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00642314952732316,0.0103626943005181
94,-767267.333333332,0.226944828190383,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00640617936709597,0.0103092783505155
95,-468274.666666668,0.226944828190383,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00638943104246272,0.0102564102564103
96,443053,0.226944828190383,-0.588819419218566,0.249174176877134,-0.00559457134233874,1,0,0,0,0.00637289938766844,0.0102040816326531
97,-205069.333333332,0.21674074655773,-0.588819419218566,0.249174176877134,-0.00559457134233874,1,0,0,0,0.00635657940893437,0.0101522842639594
98,4217.33333333209,0.206588462293771,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00634046627704686,0.0101010101010101
99,408399.333333334,0.206588462293771,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00632455532033676,0.0100502512562814
100,49244.3333333358,0.206588462293771,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00630884201802514,0.01
101,-198641.333333332,0.206588462293771,-0.588819419218566,0.249174176877134,-0.00559457134233874,0,0,0,0,0.00629332199391283,0.00995024875621891
102,-667614,0.206588462293771,-0.588819419218566,0.249174176877134,-0.00559457134233874,-1,0,0,0,0.00627799101039271,0.0099009900990099
103,-1331441.33333333,0.216489452392781,-0.588819419218566,0.249174176877134,-0.00559457134233874,0.0985329278164293,0.0985329278164293,0.0985329278164293,0.985329278164293,0.00626284496276547,0.00985221674876847
104,-468274.666666668,0.215518684631042,-0.589790186980304,0.248203409115396,-0.00656533910407696,0,0,0,0,0.00624787987384051,0.00980392156862745
105,46863.6666666642,0.215518684631042,-0.589790186980304,0.248203409115396,-0.00656533910407696,0,0,0,0,0.00623309188880531,0.00975609756097561
106,-548151,0.215518684631042,-0.589790186980304,0.248203409115396,-0.00656533910407696,0.707106781186547,0,0.707106781186547,0,0.00621847727034734,0.00970873786407767
107,-507311,0.208653570250591,-0.589790186980304,0.241338294734944,-0.00656533910407696,0,0,0,0,0.006204032394014,0.00966183574879227
108,-561181.666666666,0.208653570250591,-0.589790186980304,0.241338294734944,-0.00656533910407696,0,0,0,0,0.00618975374379676,0.00961538461538462
