Iteration,f,x0,x1,Df0,Df1
64,74404137.6471222,0.11564250048692,0.0271711841356668,-0.0223257805294013,0.999750748698771
65,77593116.5496486,0.1158116351879,0.0195973148273428,0.109930139592413,-0.993939316260904
66,77582708.8265503,0.114991261011837,0.0270147724113793,-0.238778068621118,0.971074165007786
67,77168541.1928048,0.11674698210464,0.0198745211980868,-0.0782328886448716,-0.996935110794218
68,80313576.4668294,0.11731388709482,0.0270986886676101,0.249791584604925,0.968299625250656
69,75796828.2152434,0.115529661490499,0.0201822627729626,0.106869126835337,-0.994273096150878
70,77602141.3954417,0.114777062005743,0.0271841859852927,0.0647156078003032,0.997903747917121
71,72180079.7967199,0.114327648062685,0.0202542988469794,0.312517390868004,-0.949912038246203
72,83668431.9158112,0.112187117988247,0.0267605456842821,0.282389967380792,0.959299695779518
73,75667364.4710485,0.110279077668107,0.0202787909830692,0.767973572404865,-0.640481531418127
74,73239484.6874598,0.105159253852074,0.02454866785919,-0.346853547869338,0.937919301608861
75,80307134.4950434,0.107441185088057,0.0183781461380791,0.0472653509430734,-0.998882368750309
76,78028907.2948516,0.10713426722479,0.0248643952858084,-0.00681285788315705,0.999976792214431
77,76236951.4287255,0.107177939390708,0.0184542876434082,-0.0451587074639876,-0.998979825191771
78,79374666.2095225,0.10746375399491,0.0247769447648751,0.190919916644044,0.981605616033563
79,85369558.8620117,0.106270504515885,0.0186419096646653,-0.178481300077539,-0.983943304018393
80,72981542.506286,0.107372240936116,0.0247156337635443,-0.299172216394174,0.954199132748399
81,78661972.1678898,0.109196461767788,0.018897346368737,0.1978633620399,-0.980229610837312
82,76362284.9485025,0.108004513803692,0.0248023440243834,-0.64358073335963,-0.765378233064072
83,73525939.2080345,0.111835351502262,0.029358166840241,-0.0483292630997997,0.998831458419403
84,77147607.5706389,0.112119641285202,0.023482687673068,-0.195135941057005,0.980776205108891
85,76298443.9442805,0.113254152570417,0.0177805004340629,0.277222395994374,-0.960805778062944
86,78459098.2842008,0.11166092040953,0.0233023727217809,-0.385384490853238,-0.922756085978191
87,70891604.128393,0.11385060501665,0.0285453050284752,0.233991500250203,0.97223864241793
88,81116450.9543916,0.112536046026481,0.0230832901834306,-0.0833806722735752,0.996517768778463
89,74144203.7674844,0.112999271983556,0.0175470803568836,-0.0520534896016118,-0.99864429814639
90,77737156.6313361,0.11328528016818,0.0230341369401055,-0.595220986213891,0.803562055830515
91,74949829.09935,0.116520176832386,0.0186669518540701,0.215864463039426,-0.976423337285985
92,81195108.9690838,0.115359615203142,0.023916539688941,-0.45814287419098,-0.88887856697528
93,74955162.7754419,0.117796545385009,0.0286446171728521,-0.0212729031664557,0.999773706190991
94,75566985.2588884,0.117908508033253,0.0233826502981627,0.0640438220557624,0.997947087202768
95,85487308.6153306,0.117574946460046,0.0181850092189816,-0.0152878276750357,-0.999883134333697
96,75127119.6965719,0.117653749695485,0.0233390459938975,-0.339222059903304,0.94070632722171
97,80976666.9272475,0.11938447449091,0.0185395239162358,0.173338252333659,-0.984862350929262
98,79399237.1417942,0.118509028772053,0.0235135761936563,0.225832148521306,0.97416622847143
99,77468023.6401934,0.117379868029446,0.0186427450512991,0.0532130619115088,-0.998583181333434
100,73090992.5053966,0.117116437029884,0.0235862261470092,0,0
