Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,84788103.7336231,0.1,0.05,0.977237410727828,0.212148634391009,0.02,1
1,79677596892.0216,0,0,-1,0,0.0168179283050743,0.5
2,89545272.4867163,0.5,0,0,-1,0.0151967137130319,0.333333333333333
3,94394028.3882719,0.5,0.333333333333333,1,0,0.014142135623731,0.25
4,784314988.114876,0.25,0.25,-0.709490596939643,0.704714901825007,0.0133748060995284,0.2
5,91817638.51538,0.391898119387929,0.109057019634999,0.623751457813593,0.781622747158383,0.0127788620849254,0.166666666666667
6,135278432.098835,0.287939543085663,0,0,-1,0.0122957630590253,0.142857142857143
7,91838585.3762944,0.287939543085663,0.142857142857143,1,0,0.0118920711500272,0.125
8,87680222.1066208,0.162939543085663,0.142857142857143,1,0,0.0115470053837925,0.111111111111111
9,914480161.798493,0.0518284319745519,0.0518284319745519,-0.715760737295182,0.698345592773849,0.011246826503807,0.1
10,123696362.891907,0.12340450570407,0,0,-1,0.0109820097355222,0.0909090909090909
11,81466235.1190637,0.12340450570407,0.0909090909090909,1,0,0.0107456993182354,0.0833333333333333
12,345674289.963242,0.0400711723707368,0.0400711723707368,-0.716040164256729,0.698059082865624,0.0105328077569585,0.0769230769230769
13,107298891.505833,0.0951511850058698,0,0,-1,0.0103394630791434,0.0714285714285714
14,80566304.6566728,0.0951511850058698,0.0714285714285714,1,0,0.0101626549630923,0.0666666666666667
15,267341367.475896,0.0284845183392032,0.0284845183392032,-0.738891061594454,0.673824902401077,0.01,0.0625
16,107345678.738422,0.0746652096888565,0,0,-1,0.00984958121010905,0.0588235294117647
17,86540103.0907449,0.0746652096888565,0.0588235294117647,-1,0,0.00970983543414647,0.0555555555555556
18,87555616.611766,0.130220765244412,0.0588235294117647,1,0,0.00957947250887149,0.0526315789473684
19,84846021.6772184,0.0775891862970437,0.0588235294117647,1,0,0.00945741609003176,0.05
20,188400920.467778,0.0275891862970437,0.0275891862970437,-0.762361031723312,0.647151958437712,0.009342759554564,0.0476190476190476
21,88593869.1816907,0.0638920925695824,0,0,-1,0.00923473261888205,0.0454545454545455
22,84728340.4741319,0.0638920925695824,0.0454545454545455,-1,0,0.00913267570993462,0.0434782608695652
23,84846369.69092,0.107370353439148,0.0454545454545455,0.678485559480307,0.734613739033443,0.00903602003609845,0.0416666666666667
24,84735391.4523669,0.0791001217941348,0.0148456396614853,-0.0215562068736817,-0.999767637976555,0.00894427190999916,0.04
