Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,322136642.414986,0.0412305223299012,0.00606235480532366,0.938178796248552,0.346151045455042,0.01,0.75
1,50624227708.955,0,0,-1,0,0.00840896415253715,0.375
2,337573281.624795,0.375,0,0,-1,0.00759835685651593,0.25
3,343599124.532938,0.375,0.25,1,0,0.00707106781186548,0.1875
4,697312557.866399,0.1875,0.1875,-0.63529760457657,0.772267410693519,0.00668740304976422,0.15
5,333968607.539245,0.282794640686485,0.0716598883959721,0.274886694001769,0.96147662762065,0.00638943104246272,0.125
6,570763444.564616,0.248433803936264,0,0,-1,0.00614788152951264,0.107142857142857
7,323848752.493181,0.248433803936264,0.107142857142857,1,0,0.00594603557501361,0.09375
8,318211809.53388,0.154683803936264,0.107142857142857,1,0,0.00577350269189626,0.0833333333333333
9,437108762.281241,0.071350470602931,0.071350470602931,-0.732626093435923,0.68063132988191,0.00562341325190349,0.075
10,341390506.651128,0.126297427610625,0.0203031208617877,0.187905781460339,0.982187058199088,0.00549100486776113,0.0681818181818182
11,552589350.341872,0.113485669783784,0,0,-1,0.00537284965911771,0.0625
12,326522853.277585,0.113485669783784,0.0625,1,0,0.00526640387847927,0.0576923076923077
13,325584713.170494,0.0557933620914762,0.0557933620914762,-0.58044884348705,0.81429671502134,0.00516973153957171,0.0535714285714286
14,329971272.339941,0.0868888358497111,0.0121703237867616,0.284031494260258,0.95881495100373,0.00508132748154615,0.05
15,446727091.291392,0.0726872611366982,0,0,-1,0.005,0.046875
16,292875127.546446,0.0726872611366982,0.046875,-1,0,0.00492479060505452,0.0441176470588235
17,339429944.873333,0.116804908195522,0.046875,1,0,0.00485491771707323,0.0416666666666667
18,307546137.213974,0.075138241528855,0.046875,1,0,0.00478973625443575,0.0394736842105263
19,331558003.541302,0.0356645573183287,0.0356645573183287,-0.70784034893095,0.706372451632502,0.00472870804501588,0.0375
20,298135117.525047,0.0622085704032393,0.0091755903821099,-0.155912446343026,0.987770878835438,0.004671379777282,0.0357142857142857
21,387501519.287184,0.0677768720583474,0,0,-1,0.00461736630944103,0.0340909090909091
22,327904054.239896,0.0677768720583474,0.0340909090909091,-1,0,0.00456633785496731,0.0326086956521739
23,317792621.579879,0.100385567710521,0.0340909090909091,0.848221563093511,-0.52964155794575,0.00451801001804922,0.03125
24,328421170.780248,0.0738786438638491,0.0506422077767138,1,0,0.00447213595499958,0.03
25,296020099.826374,0.0438786438638491,0.0438786438638491,-0.573214018411411,0.819405692619134,0.00442850014269147,0.0288461538461538
26,314880395.239532,0.0604136636257167,0.0202419411921433,0.981281647935007,0.192578107338186,0.00438691337650831,0.0277777777777778
27,327459519.57444,0.0331558400719666,0.0148925493216382,-1,0,0.00434720871944991,0.0267857142857143
28,293516396.353736,0.0599415543576808,0.0148925493216382,0.162201517299447,0.986757654029477,0.00430923819458906,0.0258620689655172
29,298111747.187743,0.055746687530971,0,0,-1,0.00427287006396234,0.025
30,314959050.704737,0.055746687530971,0.025,0.94507941124999,0.326840796767131,0.00423798657415022,0.0241935483870968
31,330058049.635017,0.0328818630652455,0.0170925613685372,-1,0,0.00420448207626857,0.0234375
32,322106559.605253,0.0563193630652455,0.0170925613685372,-0.158578653874605,0.987346347810796,0.00417226144861151,0.0227272727272727
33,335741473.777785,0.0599234233805774,0,0,-1,0.00414123876566552,0.0220588235294118
34,299263724.824795,0.0599234233805774,0.0220588235294118,-0.197560741932017,0.980290647332347,0.0041113361690052,0.0214285714285714
35,315459408.645726,0.0641568678505492,0.00105259537229005,0,-1,0.00408248290463863,0.0208333333333333
36,329620815.95018,0.0641568678505492,0.0218859287056234,0.434582911557533,0.900631829873993,0.0040546144983877,0.0202702702702703
37,319371974.611201,0.055347754778437,0.00362987810006947,0.152339011022851,-0.988328298552955,0.00402767204636577,0.0197368421052632
38,328171335.466346,0.0523410637714071,0.0231363576767725,1,0,0.0040016016019225,0.0192307692307692
39,330688765.919788,0.0331102945406378,0.0231363576767725,1,0,0.00397635364383525,0.01875
40,337500467.432392,0.0143602945406378,0.0143602945406378,-0.921508751523787,0.388357594061287,0.00395188261324405,0.0182926829268293
41,314218625.58105,0.0312171619465608,0.00725619221024844,-0.645475928154693,0.76378061390221,0.00392814650900513,0.0178571428571429
42,334807759.722496,0.042743517806466,0,0,-1,0.00390510653289516,0.0174418604651163
43,295089312.65467,0.042743517806466,0.0174418604651163,0.895944784433567,0.444165445804027,0.00388272677752223,0.0170454545454545
44,316693390.612122,0.0274717317081666,0.00987085854800219,0.937667780656725,0.347532923790383,0.0038609739509609,0.0166666666666667
45,287955438.188789,0.0118439353638878,0.0040786431514958,-0.725082140282676,-0.688662391773424,0.00383981713307935,0.016304347826087
46,304937722.910366,0.0236659267815402,0.0153068343217147,-1,0,0.00381922755930953,0.0159574468085106
47,302139765.276288,0.0396233735900508,0.0153068343217147,0.879892992700454,0.475171886159775,0.00379917842825796,0.015625
48,309521372.612376,0.0258750455791062,0.00788227360046819,-0.934046444508095,0.357151563767801,0.00377964473009227,0.0153061224489796
49,344481484.34941,0.0401716748317811,0.00241566803259369,0,-1,0.00376060309308639,0.015
50,333807784.451437,0.0401716748317811,0.0174156680325937,1,0,0.00374203164608213,0.0147058823529412
51,297022310.023464,0.02546579247884,0.0174156680325937,-1,0,0.00372390989493982,0.0144230769230769
52,311808243.595368,0.0398888694019169,0.0174156680325937,1,0,0.00370621861131651,0.0141509433962264
53,331922977.78346,0.0257379260056905,0.0174156680325937,-1,0,0.00368893973233441,0.0138888888888889
54,299915527.207998,0.0396268148945794,0.0174156680325937,1,0,0.00367205626989359,0.0136363636363636
55,334111814.276047,0.0259904512582157,0.0174156680325937,1,0,0.00365555222854512,0.0133928571428571
56,310496925.925832,0.0125975941153586,0.0125975941153586,-0.813193175081651,0.581993865947592,0.00363941253097948,0.0131578947368421
57,342523775.313852,0.0232975043138014,0.00493978008973238,-0.987518436302665,-0.157503453810826,0.00362362295030433,0.0129310344827586
58,295557775.203035,0.036067139265991,0.00697646268211374,-0.998949821266349,-0.0458176231588856,0.00360817004838774,0.0127118644067797
59,353128779.834851,0.0487656539431056,0.00755889009515042,0.0204662689310233,0.99979054398211,0.00359304111963084,0.0125
60,320020657.814605,0.0485098255814678,0,0,-1,0.00357822413961026,0.0122950819672131
61,298837699.430933,0.0485098255814678,0.0122950819672131,-0.124111498487918,0.992268278210628,0.00356370771809629,0.0120967741935484
62,318288502.321518,0.0500111743534991,0.000291836666278101,0.346157433076515,-0.938176439442964,0.00354948105601005,0.0119047619047619
63,299454458.479013,0.0458902525311596,0.0114606038025039,-0.0364985757717172,0.99933370500881,0.00353553390593274,0.01171875
64,305420040.672712,0.0463179702159844,0,0.108030059735583,-0.99414762796756,0.00352185653582324,0.0115384615384615
65,320047091.363537,0.0450714695267277,0.0114709341688565,-0.999062597235346,0.0432888762312448,0.00350843969563869,0.0113636363636364
66,322861196.842555,0.0564244535862203,0.0109790151207741,-0.0383052043683205,0.999266086344524,0.00349527458658551,0.0111940298507463
67,308163681.892221,0.0568532431873582,0,0.107508118035266,-0.994204206668085,0.00348235283275785,0.0110294117647059
68,302853065.681253,0.0556674918854986,0.0109654875735451,0.165937675609505,0.986136242013909,0.00346966645494591,0.0108695652173913
69,332889461.617731,0.0538638214984388,0.000246615377741694,0.118723995026765,-0.992927294923896,0.00345720784641941,0.0107142857142857
70,327100356.354345,0.0525917786945806,0.0108851221090691,0.561088433437396,-0.827755863683712,0.00344496975051139,0.0105633802816901
71,328843939.975805,0.0466647882005236,0.0196290220775591,1,0,0.0034329452398452,0.0104166666666667
72,328128644.033716,0.0362481215338569,0.0196290220775591,-1,0,0.00342112769706321,0.0102739726027397
73,350927661.138034,0.0465220941365966,0.0196290220775591,-1,0,0.00340951079692995,0.0101351351351351
74,293775486.51662,0.0566572292717318,0.0196290220775591,0.452666575937798,0.891679859046255,0.00339808848969424,0.01
75,326213444.547603,0.0521305635123538,0.0107122234870965,-0.621696240982385,0.783258440074776,0.00338685498560657,0.00986842105263158
76,309320526.625963,0.0582657237852063,0.00298269940741122,0,-1,0.00337580474049726,0.00974025974025974
