Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-149095832,153323474,13799432,11101512,222030.24,13799432,9443922,487707,88330,4,13723583,2663450,11101512,13764962,4879570.559,115031.0568,5222.849396,108997.8081,4062.972143,807.3957692,0.003131868,0.023572931,0.04543662,0.036150206,0.007798448,3.89999E-08,0.684432818,0.036131556,0.007127784,3.46954E-07,0.056557407,0.193494904
Base,364,0.05,1,5000,-78632118,52848114,7268084,5951278,119025.56,7268084,4905650,451082,74553,3,7223541,1298675,5951278,7249953,4877069.566,65301.30929,483.0375275,64391.43143,4013.142198,696.6158242,0.00467033,0.013389433,0.007361071,0.060721117,0.008089642,5.15944E-08,0.675079637,0.061297699,0.007797752,2.67245E-07,0.029804609,0.179128747
Base,364,0.05,1,5000,-112822821,74849805,10437346,8449361,168987.22,10437346,7261650,260959,441947,0,10370070,1962601,8449361,10411962,4879234.869,91681.10863,3491.181538,87576.96335,2311.588077,3876.53967,0.002637363,0.01879061,0.038043586,0.024806563,0.04228946,2.61252E-08,0.69580585,0.02466167,0.042392024,0,0.04278331,0.188494829
Base,364,0.05,1,5000,-120230926,1424518471,11283408,7396846,147936.92,11283408,7638275,292466,149553,0,11192087,3850645,7396846,11247491,4878949.087,99353.49071,1919.457637,96771.32835,2575.278077,1353.839231,0.013131868,0.020364304,0.019289205,0.02525451,0.013167315,1.16163E-07,0.677022034,0.025293589,0.012842447,0,0.046254065,0.342355909
Base,364,0.05,1,5000,-78876723,606369492,7452686,4349863,86997.26,7452686,5095813,355022,101177,20,7380990,3071361,4349863,7421224,4875521.555,71872.855,776.262033,70658.80143,3403.329725,1031.782253,0.13543956,0.014741019,0.010800649,0.047395747,0.01429089,1.49574E-06,0.683903623,0.04770863,0.013654168,2.07942E-06,0.030570484,0.413861783
Base,364,0.05,1,5000,-98038430,765553906,9323990,4798530,95970.6,9323990,6461868,1373672,31248,56359,9239269,4495838,4798530,9294368,4878913.062,57146.05659,2349.75978,54248.67522,8342.468956,190.3198352,397.9121978,0.011713064,0.041113583,0.153848976,0.003895081,0.006343252,0.693338601,0.155354666,0.003931134,0.005544535,0.038221411,0.483716375
Base,364,0.05,1,5000,-70553419,97374193,6524116,5312259,106245.18,6524116,4462092,668322,258878,1,6471899,1192989,5312259,6505248,4873194.885,54408.44115,2605.432967,51419.69808,5541.016209,2173.807418,0.022142857,0.011163194,0.047920705,0.105083147,0.039258701,2.66203E-07,0.684252596,0.105650095,0.039078537,9.91931E-08,0.026771624,0.183388704
Base,364,0.05,1,5000,-133160849,1046521113,12689091,6269939,125398.78,12689091,8460972,676991,214612,5,12603123,6381136,6269939,12651075,4879519.027,114326.2487,4029.081978,109551.9616,6076.046154,1951.702857,0.044175824,0.023430017,0.0352419,0.05309832,0.0170562,3.87334E-07,0.666782967,0.053320975,0.016912136,3.87815E-07,0.052009511,0.504394765
Base,364,0.05,1,5000,-94000892,2130709185,8886451,5136382,102727.64,8886451,6140554,558503,169271,0,8799966,3717325,5136382,8853707,4881504.978,66411.17341,777.4692857,65111.73753,4157.934725,1280.906593,0.002307692,0.013606085,0.011700572,0.064292007,0.019902035,2.57689E-08,0.691205476,0.064652839,0.019673047,0,0.03641137,0.419860856
Base,364,0.05,1,5000,-102989716,224135787,9796235,5027366,100547.32,9796235,6447615,694114,263390,2,9724747,4738019,5027366,9765385,4877828.516,91183.38802,3105.900934,87502.11868,6403.324615,2429.500989,0.017967033,0.018693205,0.034043291,0.071164322,0.028931297,1.8162E-07,0.658219713,0.071791294,0.0291738,1.94222E-07,0.040165551,0.48518507
Base,364,0.05,1,5000,-95364463,1120579290,8864029,6724173,134483.46,8864029,5816280,564375,59842,10,8811664,2116329,6724173,8840502,4878981.871,74597.67654,4170.408077,69906.5917,4702.758352,510.3717033,0.062857143,0.015290421,0.055883483,0.063592202,0.005763125,6.69001E-07,0.656277776,0.064146715,0.005692393,8.75125E-07,0.03633668,0.239390139
Base,364,0.05,1,5000,-126660237,1042704037,11774690,8913337,178266.74,11774690,7876286,1085569,118631,407,11703012,2836059,8913337,11749396,4880042.257,112011.6441,2038.486429,109281.5963,10267.06033,1230.971044,4.221318681,0.022952989,0.018198674,0.091371862,0.010638578,3.70869E-05,0.668930926,0.091979504,0.009789104,3.38596E-05,0.04825607,0.241379131
Base,364,0.05,1,5000,-161389154,718875789,14928987,12099284,241985.68,14928987,10265429,1371335,104087,0,14850089,2799643,12099284,14898927,4878159.382,98180.03016,3302.506593,94000.79198,8938.933077,771.4656044,0.000659341,0.020126702,0.033663749,0.090278152,0.008224624,1.06725E-08,0.687630955,0.091090369,0.007344969,0,0.061209068,0.187909035
Base,364,0.05,1,5000,-119025928,138524151,11115771,7868218,157364.36,11115771,7806367,934715,540388,37,11035994,3216449,7868218,11084667,4881201.242,88289.37176,4250.738956,83385.80308,7375.513846,4268.131154,0.230549451,0.018087913,0.048130458,0.083682311,0.049171848,2.53069E-06,0.702262969,0.084266269,0.049447459,3.18005E-06,0.045545081,0.290171008
Base,364,0.05,1,5000,-86249711,1149817526,8039115,5858561,117171.22,8039115,5398128,675869,100079,36,7971874,2156211,5858561,8014772,4879270.123,84540.29445,3758.292143,80309.67736,7090.607473,1089.99044,0.325879121,0.017327688,0.044442815,0.084915016,0.011509053,3.08316E-06,0.671689911,0.085184784,0.011166671,3.55131E-06,0.032953543,0.269029612
Base,364,0.05,1,5000,-70709453,847190970,6659673,4112723,82254.46,6659673,4614695,628584,61317,28,6597759,2524197,4112723,6636920,4878685.997,45729.56747,2132.167198,43206.23302,4281.997747,450.9500549,0.132087912,0.009373287,0.046674126,0.094436073,0.007210305,2.1314E-06,0.693378956,0.09509673,0.006756097,3.04687E-06,0.027300514,0.380326567
Base,364,0.05,1,5000,-125509317,13778308,11645122,9058097,181161.94,11645122,7785144,1088514,121308,8,11559511,2554855,9058097,11612952,4877694.114,99491.25099,1037.896868,97769.44033,9217.911429,1205.039121,0.066923077,0.020397084,0.010409159,0.093032677,0.010931077,5.91736E-07,0.668615292,0.093834077,0.00947558,6.04314E-07,0.047748343,0.220000479
