Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
82,1611387031,0,1,-1,1000,0.05,0.05,1,0.58453627,0.577473312,0.803985068,0.322196146,0.322196146,0.322196146,0.322196146,6.95008E-07,5.78996E-06,0.841360176,0.841360176,0,2.720774261,1.590391238,1.571174523,2.18746188,2.720774261,1.590391238,1.571174523,2.18746188,0.025025942,0.001499604,0.037912736,0.037912736,0.974974058,0.998500396,0.924174529,0.962087264,10000000,9749740.575,346.833566,14.2282749,14.2282749,0,230936.5522,9473.791096,9473.791096,0,0.757199775,2.229808378,0.010527441,0.018604775,1.320655438,0.44846903,94.98984831,53.74964361
83,1746883685,0,1,-1,1000,0.05,0.05,1,0.530032684,0.607419915,0.64390142,0.639726233,0.639726233,0.639726233,0.639726233,9.6362E-07,6.85847E-06,0.942451902,0.942451902,0,1.883624739,0.998382677,1.144151179,1.212868643,1.883624739,0.998382677,1.144151179,1.212868643,0.022197994,0.01019537,0.011765915,0.011765915,0.977802006,0.98980463,0.976468171,0.988234085,10000000,9778020.056,2209.911144,26.628237,26.628237,0,214546.4387,2585.168835,2585.168835,0,7.459536339,1.984837947,0.016117788,0.004779237,0.134056589,0.503819469,62.04325155,209.2383987
84,1331921762,0,1,-1,1000,0.05,0.05,1,0.81898212,0.508480051,0.761900237,0.515487275,0.515487275,0.515487275,0.515487275,9.0295E-07,6.35345E-06,0.850215645,0.850215645,0,1.695375277,1.388482039,0.862064507,1.291706826,1.695375277,1.388482039,0.862064507,1.291706826,0.026540521,0.004825151,0.027260234,0.027260234,0.973459479,0.995174849,0.945479532,0.972739766,10000000,9734594.787,1210.800268,34.91000832,34.91000832,0,249724.3964,7200.098142,7200.098142,0,3.095312697,2.248899557,0.009281446,0.010782988,0.323069136,0.444661922,107.7418268,92.73866925
85,547892115,0,1,-1,1000,0.05,0.05,1,0.735252922,0.740729618,0.501882586,0.603677312,0.603677312,0.603677312,0.603677312,7.45871E-07,3.16913E-06,0.872735773,0.872735773,0,1.726461274,1.269385697,1.278841,0.866480849,1.726461274,1.269385697,1.278841,0.866480849,0.022130486,0.018884536,0.001151476,0.001151476,0.977869514,0.981115464,0.997697049,0.998848524,10000000,9778695.138,4169.615092,4.81229255,4.81229255,0,216625.5926,250.014858,250.014858,0,5.670539896,2.14222534,0.010534336,0.007626427,0.176350051,0.4668043,94.92766847,131.1230005
86,2082347073,0,1,-1,1000,0.05,0.05,1,0.784695908,0.682286274,0.922057722,0.459580899,0.459580899,0.459580899,0.459580899,1.26655E-06,6.84881E-06,0.96987999,0.96987999,0,2.567246414,2.014507757,1.751596989,2.367149381,2.567246414,2.014507757,1.751596989,2.367149381,0.023570771,0.011916423,0.01971673,0.01971673,0.976429229,0.988083577,0.960566541,0.98028327,10000000,9764292.289,2698.032463,55.38021016,55.38021016,0,223714.9084,4592.005031,4592.005031,0,1.084153228,2.303058981,0.018817514,0.00941681,0.922378843,0.434205119,53.1419822,106.1930689
87,81204984,0,1,-1,1000,0.05,0.05,1,0.839810223,0.817355973,0.51381058,0.537897248,0.537897248,0.537897248,0.537897248,1.39831E-06,6.87925E-06,0.883777654,0.883777654,0,1.613059633,1.354663971,1.318443926,0.828807106,1.613059633,1.354663971,1.318443926,0.828807106,0.023992661,0.003841826,0.023683073,0.023683073,0.976007339,0.996158174,0.952633854,0.976316927,10000000,9760073.394,878.0961656,21.83001925,21.83001925,0,227684.1109,5660.369238,5660.369238,0,5.428731045,2.045185429,0.003233108,0.010182858,0.18420511,0.488953219,309.2998622,98.20425562
88,1034189250,0,1,-1,1000,0.05,0.05,1,0.6435177,0.526239712,0.666515982,0.648670917,0.648670917,0.648670917,0.648670917,1.26939E-06,5.23677E-06,0.86702895,0.86702895,0,1.901470292,1.223629789,1.00062918,1.267360339,1.901470292,1.223629789,1.00062918,1.267360339,0.022091416,0.018651286,0.011926265,0.011926265,0.977908584,0.981348714,0.976147469,0.988073735,10000000,9779085.842,4022.052699,49.14018556,49.14018556,0,211622.7432,2585.54068,2585.54068,0,6.794978258,2.062281579,0.012619504,0.009742127,0.147167505,0.484899836,79.24241668,102.6469858
89,1141172425,0,1,-1,1000,0.05,0.05,1,0.529824551,0.527654425,0.913413271,0.585163846,0.585163846,0.585163846,0.585163846,5.33038E-07,3.71666E-06,0.829525466,0.829525466,0,1.96468201,1.040936765,1.036673156,1.794566622,1.96468201,1.040936765,1.036673156,1.794566622,0.019715276,0.017740963,2.41184E-06,2.41184E-06,0.980284724,0.982259037,0.999995176,0.999997588,10000000,9802847.244,3497.662897,0.008435833,0.008435833,0,193654.1423,0.467064432,0.467064432,0,6.910626019,1.680602642,0.013757094,0.01574727,0.144704691,0.595024651,72.68977166,63.50307134
90,118647393,0,1,-1,1000,0.05,0.05,1,0.62592902,0.672578511,0.764435723,0.580014607,0.580014607,0.580014607,0.580014607,1.08275E-06,6.16324E-06,0.828157518,0.828157518,0,1.491316417,0.933458223,1.003027375,1.140015544,1.491316417,0.933458223,1.003027375,1.140015544,0.02730427,0.013053229,0.036315839,0.036315839,0.97269573,0.986946771,0.927368321,0.963684161,10000000,9726957.297,3305.223122,129.4328797,129.4328797,0,249905.9295,9786.342077,9786.342077,0,6.062113828,2.352139752,0.008157021,0.01322982,0.164958961,0.425144807,122.593774,75.58681601
91,2039955722,0,1,-1,1000,0.05,0.05,1,0.613149766,0.656572227,0.863785452,0.580556298,0.580556298,0.580556298,0.580556298,1.20993E-06,4.33906E-06,0.881267081,0.881267081,0,2.11407685,1.296245725,1.388044145,1.826108826,2.11407685,1.296245725,1.388044145,1.826108826,0.019327856,0.000366295,0.000878308,0.000878308,0.980672144,0.999633705,0.998243383,0.999121692,10000000,9806721.444,70.67254338,0.06218151,0.06218151,0,192868.3674,169.6959776,169.6959776,0,3.138632826,2.074422528,0.008333842,0.00328287,0.318610062,0.482061869,119.9926744,304.6115187
92,292064515,0,1,-1,1000,0.05,0.05,1,0.579475202,0.73278944,0.933928215,0.627377838,0.627377838,0.627377838,0.627377838,1.2133E-06,5.02324E-06,0.971154243,0.971154243,0,1.719916093,0.996648726,1.260336351,1.606278166,1.719916093,0.996648726,1.260336351,1.606278166,0.023955348,0.007159951,0.008862257,0.008862257,0.976044652,0.992840049,0.982275486,0.991137743,10000000,9760446.518,1684.790357,15.20046558,15.20046558,0,233622.7228,2107.783999,2107.783999,0,4.42078421,2.627228964,0.016182948,0.018358169,0.22620421,0.380629178,61.79343884,54.47166179
93,142905452,0,1,-1,1000,0.05,0.05,1,0.512814023,0.822419127,0.926589126,0.642515666,0.642515666,0.642515666,0.642515666,5.35377E-07,6.58566E-06,0.904171631,0.904171631,0,1.767374384,0.906334368,1.453522498,1.637629886,1.767374384,0.906334368,1.453522498,1.637629886,0.023510268,0.014760746,3.00414E-05,3.00414E-05,0.976489732,0.985239254,0.999939917,0.999969959,10000000,9764897.324,3470.082422,0.104252406,0.104252406,0,231618.468,6.958561645,6.958561645,0,5.947160175,2.211571323,0.015195271,0.004454155,0.168147481,0.452167194,65.80994659,224.5094573
94,1808759164,0,1,-1,1000,0.05,0.05,1,0.616801994,0.672554233,0.768759891,0.642491807,0.642491807,0.642491807,0.642491807,1.04594E-06,6.62985E-06,0.915345184,0.915345184,0,1.778278425,1.096845679,1.195988682,1.367069128,1.778278425,1.096845679,1.195988682,1.367069128,0.022705102,0.012978929,0.007856306,0.007856306,0.977294898,0.987021071,0.984287389,0.992143694,10000000,9772948.979,2900.575823,23.15158213,23.15158213,0,220582.8809,1760.630645,1760.630645,0,6.403701313,2.392400298,0.013091234,0.017950962,0.156159688,0.417990251,76.38699118,55.70732102
95,1347093746,0,1,-1,1000,0.05,0.05,1,0.828623876,0.712669794,0.995214989,0.530637498,0.530637498,0.530637498,0.530637498,5.17253E-07,5.60921E-06,0.905053152,0.905053152,0,1.779860675,1.474835051,1.26845294,1.771344022,1.779860675,1.474835051,1.26845294,1.771344022,0.025420137,0.014236231,0.011613912,0.011613912,0.974579863,0.985763769,0.976772176,0.988386088,10000000,9745798.63,3534.810911,42.02922955,42.02922955,0,244762.0141,2910.243047,2910.243047,0,3.431347593,2.116177039,0.003202084,0.006046264,0.291430691,0.472550255,312.2966333,165.3913991
96,2102678579,0,1,-1,1000,0.05,0.05,1,0.558610021,0.686588478,0.600614818,0.419070488,0.419070488,0.419070488,0.419070488,6.24253E-07,6.47398E-06,0.919550099,0.919550099,0,2.128094833,1.188775099,1.461125393,1.278165291,2.128094833,1.188775099,1.461125393,1.278165291,0.024581676,0.003581096,0.008664879,0.008664879,0.975418324,0.996418904,0.982670242,0.991335121,10000000,9754183.238,865.038221,7.627636752,7.627636752,0,240691.7792,2122.344905,2122.344905,0,1.311123576,2.440229909,0.01198309,0.006268622,0.762704613,0.409797452,83.45093114,159.5246939
97,590908921,0,1,-1,1000,0.05,0.05,1,0.974202805,0.55509223,0.874822044,0.390114369,0.390114369,0.390114369,0.390114369,1.35481E-06,6.23126E-06,0.900736441,0.900736441,0,2.841835769,2.768524377,1.577480954,2.486100578,2.841835769,2.768524377,1.577480954,2.486100578,0.025421366,0.01130647,0.019885177,0.019885177,0.974578634,0.98869353,0.960229647,0.980114823,10000000,9745786.335,2759.948781,57.15514978,57.15514978,0,241343.5485,4997.928496,4997.928496,0,0.773000238,2.477913661,0.003385321,0.003349114,1.293660662,0.403565312,295.3929342,298.5863884
98,2111638033,0,1,-1,1000,0.05,0.05,1,0.991564828,0.520730586,0.995947937,0.488873428,0.488873428,0.488873428,0.488873428,8.03039E-07,5.61583E-06,0.82697344,0.82697344,0,2.456883958,2.436159719,1.279374622,2.44692851,2.456883958,2.436159719,1.279374622,2.44692851,0.020849086,0.00332122,0.009376341,0.009376341,0.979150914,0.99667878,0.981247318,0.990623659,10000000,9791509.136,679.4588559,6.492591551,6.492591551,0,203901.6422,1948.388881,1948.388881,0,1.56523785,1.69557204,0.013772293,0.012934441,0.638880538,0.589771461,72.60954865,77.31296772
99,1275109914,0,1,-1,1000,0.05,0.05,1,0.989073781,0.852657388,0.572807666,0.444047829,0.444047829,0.444047829,0.444047829,6.00492E-07,3.2226E-06,0.968116571,0.968116571,0,1.966593147,1.94510572,1.676830176,1.126479631,1.966593147,1.94510572,1.676830176,1.126479631,0.024399827,0.003149385,0.035812637,0.035812637,0.975600173,0.996850615,0.928374726,0.964187363,10000000,9756001.726,713.4043644,27.52002037,27.52002037,0,225808.4268,8710.701551,8710.701551,0,1.68982801,2.274775467,0.008904412,0.004046184,0.591776201,0.439603827,112.303882,247.1464621
100,1635868799,0,1,-1,1000,0.05,0.05,1,0.86011132,0.888347952,0.775713078,0.620883177,0.620883177,0.620883177,0.620883177,1.12129E-06,5.39119E-06,0.830585227,0.830585227,0,1.513515087,1.301791459,1.344528028,1.174053446,1.513515087,1.301791459,1.344528028,1.174053446,0.02504687,0.004780707,0.023186089,0.023186089,0.97495313,0.995219293,0.953627821,0.976813911,10000000,9749531.301,1141.890607,27.76342833,27.76342833,0,237712.0293,5779.626215,5779.626215,0,7.808296494,2.405065701,0.009283073,0.010895581,0.128068907,0.415789057,107.7229465,91.78032709
101,165075479,0,1,-1,1000,0.05,0.05,1,0.614113885,0.767884241,0.966889621,0.587425919,0.587425919,0.587425919,0.587425919,7.28367E-07,6.59341E-06,0.966427485,0.966427485,0,1.935273651,1.18847842,1.486066138,1.871196006,1.935273651,1.18847842,1.486066138,1.871196006,0.022852312,0.019832532,0.003413374,0.003413374,0.977147688,0.980167468,0.993173251,0.996586626,10000000,9771476.878,4501.252076,15.47006848,15.47006848,0,222461.8001,764.5648863,764.5648863,0,5.229176651,1.718198982,0.014093178,0.009056971,0.191234695,0.582004768,70.95631532,110.4121915
102,1612940396,0,1,-1,1000,0.05,0.05,1,0.623312787,0.959135575,0.992532786,0.645125299,0.645125299,0.645125299,0.645125299,1.14689E-06,5.74767E-06,0.930056252,0.930056252,0,1.702070853,1.060922527,1.632516706,1.689361126,1.702070853,1.060922527,1.632516706,1.689361126,0.023847255,0.001030652,0.012463984,0.012463984,0.976152745,0.998969348,0.975072033,0.987536016,10000000,9761527.45,239.6553101,3.063424823,3.063424823,0,232288.2586,2969.25454,2969.25454,0,7.191360921,2.488794024,0.00284156,0.004267023,0.139055738,0.401801029,351.9193839,234.3554472
103,922229207,0,1,-1,1000,0.05,0.05,1,0.967065405,0.952625562,0.987192806,0.622788083,0.622788083,0.622788083,0.622788083,6.32763E-07,5.44591E-06,0.872226038,0.872226038,0,1.67105566,1.616020118,1.591890337,1.649654126,1.67105566,1.616020118,1.591890337,1.649654126,0.025073941,0.006307649,0.032378662,0.032378662,0.974926059,0.993692351,0.935242676,0.967621338,10000000,9749260.587,1479.157668,51.20932514,51.20932514,0,233023.042,8067.397396,8067.397396,0,4.775398212,2.470042852,0.015958721,0.018269046,0.20940662,0.404851276,62.66166233,54.73739492
104,804196280,0,1,-1,1000,0.05,0.05,1,0.894149054,0.547751162,0.997539376,0.563049456,0.563049456,0.563049456,0.563049456,6.75517E-07,5.16054E-06,0.888369093,0.888369093,0,1.827937302,1.634448409,1.001254781,1.823439435,1.827937302,1.634448409,1.001254781,1.823439435,0.027292179,0.014221255,0.010144486,0.010144486,0.972707821,0.985778745,0.979711027,0.989855514,10000000,9727078.208,3802.543006,39.37369795,39.37369795,0,263581.9462,2729.277728,2729.277728,0,3.082374004,2.151354278,0.003471152,0.015671588,0.324425264,0.464823488,288.0887984,63.80974152
105,635828231,0,1,-1,1000,0.05,0.05,1,0.754831134,0.719181535,0.715234296,0.403878641,0.403878641,0.403878641,0.403878641,7.8324E-07,3.56317E-06,0.954116275,0.954116275,0,2.862387609,2.160619285,2.058576313,2.047277786,2.862387609,2.160619285,2.058576313,2.047277786,0.020092547,0.011277374,0.039509927,0.039509927,0.979907453,0.988722626,0.920980147,0.960490073,10000000,9799074.526,2086.859659,89.52600338,89.52600338,0,182961.5133,7849.024725,7849.024725,0,0.839332993,2.322813094,0.005414134,0.016666139,1.191422247,0.430512469,184.7017603,60.00189977
