Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,tStar | G-A,tStar | G-B,b | G-A,b | G-B,min | G-A,min | G-B,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
10,1515639605,0,1,-1,1000,0.028571429,0.028571429,34.14926569,24.37940611,0.067208075,0.137380931,0.836396823,0.646655011,1,0.958063005,0.989835977,0.989835977,0.625279532,0.625279532,0.625279532,0.625279532,3.28235E-05,7.51052E-05,0.871521328,0.871521328,0,2.842757385,2.723540683,2.813863535,2.813863535,2.842757385,2.723540683,2.813863535,2.813863535,0.021064976,0.263526915,0.033128566,0.039347888,0.978935024,0.736473085,0.927523547,0.960652112,4878588,4775820.659,25119.15607,897.1865041,1065.617936,0,70199.97302,2507.348106,2978.05986,0,4.345791992,1.159704734,0.038234774,0.022692057,0.230107654,0.862288452,26.15420222,44.0682828
11,193066053,0,1,-1,1000,0.028571429,0.028571429,9.084143927,7.692667947,0.137766194,0.024651762,0.875303744,0.784778395,1,0.999556972,0.943914501,0.943914501,0.600244006,0.600244006,0.600244006,0.600244006,4.44866E-06,9.33102E-06,0.980014873,0.980014873,0,3.323760096,3.322287576,3.137345352,3.137345352,3.323760096,3.322287576,3.137345352,3.137345352,0.021867196,0.382133135,0.037586929,0.020072653,0.978132804,0.617866865,0.942340418,0.979927347,4878588,4771906.959,38415.78951,1532.282325,818.2889974,0,62114.06766,2477.530444,1323.082483,0,2.707580721,1.007786577,0.025647147,0.023550068,0.369333402,0.992273585,38.99069156,42.462723
12,2028741364,0,1,-1,1000,0.028571429,0.028571429,14.99680297,39.76762278,0.113511792,0.040868115,0.792097083,0.92515733,1,0.996160029,0.970288979,0.970288979,0.591962097,0.591962097,0.591962097,0.591962097,5.24928E-05,5.16091E-05,0.965886002,0.965886002,0,2.809551863,2.798763267,2.726077209,2.726077209,2.809551863,2.798763267,2.726077209,2.726077209,0.021476436,0.082707763,0.030938746,0.020830039,0.978523564,0.917292237,0.948231215,0.979169961,4878588,4773813.315,8217.068107,268.1052688,180.5064476,0,91133.55861,2973.492116,2001.954311,0,2.245502296,1.40917455,0.022311357,0.008121852,0.445334659,0.709635297,44.82022258,123.124632
13,1971903165,0,1,-1,1000,0.028571429,0.028571429,2.388933469,23.31702114,0.190506295,0.150039437,0.730750584,0.655920474,1,0.999969012,0.993830046,0.993830046,0.307420751,0.307420751,0.307420751,0.307420751,2.13949E-05,8.98684E-05,0.956114996,0.956114996,0,6.789298323,6.789087938,6.747408664,6.747408664,6.789298323,6.789087938,6.747408664,6.747408664,0.020781693,0.265173608,0.027326065,0.01388829,0.979218307,0.734826392,0.958785645,0.98611171,4878588,4777202.682,25776.67448,734.6533529,373.3826496,0,71430.11283,2035.808456,1034.686022,0,0.246670209,1.15837499,0.032417468,0.014291779,4.053995834,0.863278307,30.84756611,69.9702931
14,1090284326,0,1,-1,1000,0.028571429,0.028571429,0.084492601,37.35373197,0.132151363,0.188483422,0.215708053,0.691283087,1,0.998930301,0.973922381,0.973922381,0.476616297,0.476616297,0.476616297,0.476616297,2.31275E-05,5.62722E-05,0.936259692,0.936259692,0,3.727015385,3.723028601,3.629823698,3.629823698,3.727015385,3.723028601,3.629823698,3.629823698,0.0246727,0.056384681,0.010034266,0.025827864,0.9753273,0.943615319,0.96413787,0.974172136,4878588,4758220.062,6543.514785,68.10163961,175.2913273,0,109507.7725,1139.702302,2933.55535,0,0.815452032,1.36056722,0.011311439,0.03041882,1.226313702,0.734987574,88.40608247,32.87438487
15,486139739,0,1,-1,1000,0.028571429,0.028571429,26.48482013,28.32643935,0.100597005,0.164995243,0.922197201,0.7109159,1,0.993319941,0.992126346,0.992126346,0.622032326,0.622032326,0.622032326,0.622032326,7.0591E-05,9.45002E-05,0.967351535,0.967351535,0,2.672686928,2.654833222,2.651643118,2.651643118,2.672686928,2.654833222,2.651643118,2.651643118,0.021150917,0.15841048,0.035914693,0.034172403,0.978849083,0.84158952,0.929912904,0.965827597,4878588,4775401.388,15200.2082,587.0558585,558.5766549,0,80754.35385,3118.859683,2967.557829,0,3.63408933,1.327077252,0.030022164,0.024504416,0.275172102,0.753535635,33.30872527,40.80897151
16,1010466612,0,1,-1,1000,0.028571429,0.028571429,37.51686823,28.65108791,0.12029887,0.077371943,0.960676101,0.366974049,1,0.992834385,0.898150176,0.898150176,0.637652942,0.637652942,0.637652942,0.637652942,6.10949E-06,3.72198E-05,0.851223111,0.851223111,0,2.975688861,2.954366219,2.672615475,2.672615475,2.975688861,2.954366219,2.672615475,2.672615475,0.016990351,0.080897264,0.02615663,0.012797798,0.983009649,0.919102736,0.961045573,0.987202202,4878588,4795699.077,6444.278698,175.3929424,85.8154679,0,73215.75362,1992.701908,974.9802032,0,4.022010877,1.148671949,0.026210622,0.009158872,0.248631849,0.870570576,38.15247162,109.1837492
17,508866341,0,1,-1,1000,0.028571429,0.028571429,5.80675995,35.53070298,0.112223974,0.016357054,0.795996139,0.374605154,1,0.998578216,0.724127721,0.724127721,0.634100734,0.634100734,0.634100734,0.634100734,8.92769E-05,1.76265E-05,0.868568858,0.868568858,0,2.783692342,2.779734533,2.015748792,2.015748792,2.783692342,2.779734533,2.015748792,2.015748792,0.020620855,0.075020262,0.00448495,0.016076734,0.979379145,0.924979738,0.979438316,0.983923266,4878588,4777987.345,7391.906665,33.84830842,121.3325214,0,91140.22907,417.3405757,1495.997487,0,3.651730738,1.318882447,0.036268021,0.038265698,0.273842753,0.758217688,27.57249975,26.13306549
18,1212322934,0,1,-1,1000,0.028571429,0.028571429,11.67724167,49.62727996,0.170870137,0.135138063,0.986081538,0.418146184,1,0.999980079,0.716344373,0.716344373,0.633158021,0.633158021,0.633158021,0.633158021,9.82523E-05,7.21334E-05,0.899247993,0.899247993,0,2.897620953,2.897563229,2.075694464,2.075694464,2.897620953,2.897563229,2.075694464,2.075694464,0.021446606,0.024455729,0.027199783,0.007504758,0.978553394,0.975544271,0.965295458,0.992495242,4878588,4773958.846,2469.980868,69.59832273,19.20304264,0,98528.06667,2776.292023,766.0134903,0,3.612849345,1.23735657,0.017602018,0.028945449,0.276789842,0.808174478,56.81166644,34.54774501
19,92702980,0,1,-1,1000,0.028571429,0.028571429,29.12850139,4.966635921,0.017873405,0.157194535,0.873010835,0.835591368,1,0.948211613,0.999861523,0.999861523,0.620193045,0.620193045,0.620193045,0.620193045,6.41398E-05,4.41112E-05,0.87012434,0.87012434,0,4.095439808,3.883343586,4.094872686,4.094872686,4.095439808,3.883343586,4.094872686,4.094872686,0.015472666,0.259686563,0.025436386,0.00390992,0.984527334,0.740313437,0.970653694,0.99609008,4878588,4803103.236,19027.12138,498.6136665,76.64373243,0,54242.44325,1421.445891,218.4956528,0,3.863820769,0.73091983,0.017665928,0.024139709,0.258811177,1.368139101,56.60614094,41.42552076
