Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
51,767231073,0,1,-1,1000,0.05,0.05,1,0.980899672,0.927661291,0.782623665,0.648305451,0.648305451,0.648305451,0.648305451,1.11813E-06,4.60645E-06,0.889015367,0.889015367,0,2.117758864,2.077308975,1.96456292,1.657408203,2.117758864,2.077308975,1.96456292,1.657408203,0.022544488,0.003722594,0.011722501,0.011722501,0.977455512,0.996277406,0.976554997,0.988277499,10000000,9774555.12,819.5638092,9.837989518,9.837989518,0,219339.76,2632.939907,2632.939907,0,7.75740729,1.522767457,0.00969516,0.004639547,0.128909049,0.656699088,103.1442511,215.5383034
52,1473511604,0,1,-1,1000,0.05,0.05,1,0.876596608,0.914157845,0.856935398,0.562084777,0.562084777,0.562084777,0.562084777,1.28306E-06,5.09881E-06,0.986201469,0.986201469,0,2.140134503,1.876034645,1.956420746,1.833957013,2.140134503,1.876034645,1.956420746,1.833957013,0.020832343,0.006242247,0.008023165,0.008023165,0.979167657,0.993757753,0.983953669,0.991976835,10000000,9791676.571,1279.539633,10.43337548,10.43337548,0,203701.0631,1660.979952,1660.979952,0,6.303777048,1.205690227,0.014016034,0.012760212,0.158635052,0.829400436,71.34686129,78.3686013
53,672292770,0,1,-1,1000,0.05,0.05,1,0.944168264,0.904260321,0.969429659,0.539449035,0.539449035,0.539449035,0.539449035,9.72446E-07,7.23077E-06,0.891953122,0.891953122,0,1.969492403,1.859532223,1.780933833,1.909284348,1.969492403,1.859532223,1.780933833,1.909284348,0.019328411,0.019785168,0.007417045,0.007417045,0.980671589,0.980214832,0.985165911,0.992582955,10000000,9806715.889,3767.430732,28.36395551,28.36395551,0,186649.4865,1405.232931,1405.232931,0,4.922570066,1.429653592,0.015824799,0.009953119,0.203145915,0.699470141,63.19195561,100.4710137
54,239698882,0,1,-1,1000,0.05,0.05,1,0.880726341,0.937079437,0.91387917,0.567513519,0.567513519,0.567513519,0.567513519,7.73912E-07,6.36432E-06,0.931171649,0.931171649,0,1.822734366,1.605330169,1.708046893,1.665758969,1.822734366,1.605330169,1.708046893,1.665758969,0.021949337,0.007132101,0.009170077,0.009170077,0.978050663,0.992867899,0.981659846,0.990829923,10000000,9780506.633,1536.738257,14.35528621,14.35528621,0,213931.087,1998.415781,1998.415781,0,6.679916634,1.648985354,0.007532246,0.00293534,0.149702467,0.606433524,132.7625288,340.676072
55,1340389632,0,1,-1,1000,0.05,0.05,1,0.970288033,0.952915866,0.799669124,0.501779956,0.501779956,0.501779956,0.501779956,1.05232E-06,5.20212E-06,0.891059776,0.891059776,0,1.616979844,1.568936193,1.540845749,1.293048856,1.616979844,1.568936193,1.540845749,1.293048856,0.0270712,0.014632093,0.015004152,0.015004152,0.9729288,0.985367907,0.969991695,0.984995848,10000000,9729287.999,3842.217717,59.43269468,59.43269468,0,258746.1747,4002.371426,4002.371426,0,3.231201236,2.09516465,0.013983487,0.011634931,0.309482427,0.477289458,71.51292166,85.94808029
56,1785866721,0,1,-1,1000,0.05,0.05,1,0.93060616,0.876822326,0.962409952,0.603637784,0.603637784,0.603637784,0.603637784,1.28379E-06,5.8189E-06,0.985229794,0.985229794,0,1.58744178,1.477283099,1.391904393,1.527769768,1.58744178,1.477283099,1.391904393,1.527769768,0.025733813,0.003009665,0.012468884,0.012468884,0.974266187,0.996990335,0.975062232,0.987531116,10000000,9742661.869,755.187284,9.65717082,9.65717082,0,250165.5056,3199.062103,3199.062103,0,6.496592453,2.141599987,0.017509295,0.018350026,0.153926848,0.466940608,57.11252351,54.49583669
57,837468060,0,1,-1,1000,0.05,0.05,1,0.978223145,0.939541331,0.731902263,0.587393623,0.587393623,0.587393623,0.587393623,1.36203E-06,4.93007E-06,0.83636411,0.83636411,0,2.356530642,2.305212816,2.214057937,1.72475011,2.356530642,2.305212816,2.214057937,1.72475011,0.022328171,0.013943349,0.010293013,0.010293013,0.977671829,0.986056651,0.979413974,0.989706987,10000000,9776718.287,3049.204369,32.04518276,32.04518276,0,215636.0251,2266.196357,2266.196357,0,2.309693466,1.791180083,0.004734597,0.00396122,0.432957886,0.558291157,211.2112256,252.4475007
58,804196280,0,1,-1,1000,0.05,0.05,1,0.968244716,0.864325349,0.99862205,0.563049456,0.563049456,0.563049456,0.563049456,6.75517E-07,5.16054E-06,0.888369093,0.888369093,0,1.827937302,1.769890634,1.579932546,1.825418496,1.827937302,1.769890634,1.579932546,1.825418496,0.027292179,0.014221255,0.010144486,0.010144486,0.972707821,0.985778745,0.979711027,0.989855514,10000000,9727078.208,3802.543006,39.37369795,39.37369795,0,263581.9462,2729.277728,2729.277728,0,3.082374004,2.151354278,0.003471152,0.015671588,0.324425264,0.464823488,288.0887984,63.80974152
59,1631581463,0,1,-1,1000,0.05,0.05,1,0.948038525,0.946172107,0.842889501,0.424877249,0.424877249,0.424877249,0.424877249,8.04071E-07,2.56408E-06,0.884025662,0.884025662,0,1.923977251,1.824004554,1.82041361,1.621700224,1.923977251,1.824004554,1.82041361,1.621700224,0.027584269,0.006992959,0.01322645,0.01322645,0.972415731,0.993007041,0.9735471,0.98677355,10000000,9724157.313,1877.930022,25.51324682,25.51324682,0,266667.918,3622.906248,3622.906248,0,2.042182993,1.608265272,0.015860914,0.005114364,0.489672083,0.621787971,63.04806927,195.527723
60,176735549,0,1,-1,1000,0.05,0.05,1,0.972915523,0.853865906,0.804937522,0.559591966,0.559591966,0.559591966,0.559591966,1.3835E-06,4.59691E-06,0.848556502,0.848556502,0,1.606908164,1.563385896,1.372084095,1.293460675,1.606908164,1.563385896,1.372084095,1.293460675,0.024804068,0.015020386,0.014775085,0.014775085,0.975195932,0.984979614,0.97044983,0.985224915,10000000,9751959.318,3615.572591,55.04704192,55.04704192,0,237095.4649,3609.775122,3609.775122,0,4.341976095,2.302550104,0.008655814,0.011563719,0.230309882,0.434301081,115.5292801,86.47737069
61,1561558995,0,1,-1,1000,0.05,0.05,1,0.938977478,0.986615966,0.797943135,0.605743343,0.605743343,0.605743343,0.605743343,9.73927E-07,3.90641E-06,0.914172139,0.914172139,0,2.312903125,2.171763943,2.281947152,1.845565171,2.312903125,2.171763943,2.281947152,1.845565171,0.021683687,0.004243742,0.008323512,0.008323512,0.978316313,0.995756258,0.983352976,0.991676488,10000000,9783163.131,904.8810368,7.65929245,7.65929245,0,212322.2999,1797.184958,1797.184958,0,3.350451595,1.511108631,0.017744926,0.013255782,0.298467228,0.661765792,56.35413723,75.43877703
62,938731528,0,1,-1,1000,0.05,0.05,1,0.936747721,0.96562611,0.726827929,0.510347741,0.510347741,0.510347741,0.510347741,6.16675E-07,6.9886E-06,0.918526515,0.918526515,0,1.803178892,1.689123718,1.741196618,1.310600779,1.803178892,1.689123718,1.741196618,1.310600779,0.021092565,0.013095742,0.008605772,0.008605772,0.978907435,0.986904258,0.982788457,0.991394228,10000000,9789074.352,2714.685723,23.77110238,23.77110238,0,204580.6065,1791.406829,1791.406829,0,4.143104931,1.664802556,0.010468219,0.003371282,0.241364874,0.600671831,95.52723314,296.6230641
63,43167018,0,1,-1,1000,0.05,0.05,1,0.993473755,0.879554411,0.725554474,0.478250616,0.478250616,0.478250616,0.478250616,9.42741E-07,7.02031E-06,0.989402343,0.989402343,0,1.781068065,1.769444378,1.566546272,1.292261902,1.781068065,1.769444378,1.566546272,1.292261902,0.02755675,0.006721175,0.015904127,0.015904127,0.97244325,0.993278825,0.968191745,0.984095873,10000000,9724432.505,1793.224053,29.45662789,29.45662789,0,265008.9498,4353.203945,4353.203945,0,2.099323014,2.307292951,0.017236519,0.01147298,0.476344037,0.433408337,58.01635569,87.16131055
64,1248199287,0,1,-1,1000,0.05,0.05,1,0.884147006,0.927581383,0.950120926,0.554504293,0.554504293,0.554504293,0.554504293,7.62385E-07,4.44702E-06,0.837858111,0.837858111,0,1.865193439,1.649105194,1.73011871,1.772159317,1.865193439,1.649105194,1.73011871,1.772159317,0.021281175,0.002743552,0.015902213,0.015902213,0.978718825,0.997256448,0.968195575,0.984097787,10000000,9787188.249,565.2907024,9.284666385,9.284666385,0,205478.1046,3374.893029,3374.893029,0,5.007726201,1.779180061,0.009486096,0.019223542,0.199691429,0.562056659,105.4174473,52.01954991
