Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-111562787,244586483,10917880,2383987,47679.74,10917880,7006182,122069,185201,0,10833768,8485270,2383987,10869257,4876592.496,84066.53533,5309.858571,78115.47934,1252.005879,1487.837418,0,0.017238889,0.063138374,0.014908396,0.017783657,1.33E-09,0.641627751,0.011282546,0.017063436,0,0.044776479,0.778568651
Base,364,0.05,1,5000,-120917937,534928439,11172968,9188257,183765.14,11172968,7242023,106557,64570,0,11107579,1954225,9188257,11142482,4877108.081,53515.84407,2334.274286,50525.32797,630.1054396,371.9587912,0.000824176,0.010972957,0.043586847,0.010183416,0.006406852,1.57E-08,0.648257163,0.008446519,0.005371962,0,0.045817628,0.159077531
Base,364,0.05,1,5000,-167932366,1244620632,15525021,12682156,253643.12,15525021,10253285,59618,273889,0,15459176,2812022,12682156,15494178,4878900.009,110465.6742,7727.140659,101826.8276,569.0121429,2030.037418,0.005824176,0.022641377,0.070049074,0.007011729,0.018532202,7.22E-08,0.660588195,0.005204533,0.017715638,0,0.063640904,0.238683959
Base,364,0.05,1,5000,-143613508,2110073094,14155499,2058518,41170.36,14155499,9132028,213690,104699,1402,14044757,12038225,2058518,14096743,4877093.54,101327.4511,6697.15044,93799.0717,1641.214231,1114.951868,14.80032967,0.02077721,0.066174368,0.019347616,0.009519522,0.000127991,0.645350189,0.018013908,0.006428382,8.67E-05,0.058051685,0.877997995
Base,364,0.05,1,5000,-166956723,49561378,15429673,12659993,253199.86,15429673,10767486,132690,108679,681,15353936,2737552,12659993,15397545,4877881.915,144902.9571,4179.751593,139817.0468,1305.226868,1081.228516,6.813571429,0.029705622,0.028862318,0.009865944,0.007839145,4.99E-05,0.697864617,0.009423018,0.007404061,4.66E-05,0.063262518,0.198110839
Base,364,0.05,1,5000,-95848779,624888343,8996010,5888679,117773.58,8996010,5794876,252704,56750,3541,8906281,3066075,5888679,8954754,4881595.68,58763.99588,3368.59978,54867.0183,1715.02522,434.3846703,26.53835165,0.012038535,0.057181601,0.023407835,0.006364253,0.000397823,0.643853586,0.022710329,0.005472059,0.000349173,0.036857473,0.257999826
Base,364,0.05,1,5000,-88601783,183821718,8152923,7072553,141451.06,8152923,5727802,510946,315216,390,8082588,1053499,7072553,8126052,4878830.78,71856.00588,1752.666044,69624.48137,4546.452088,2892.353462,3.57989011,0.014728053,0.024330435,0.059276952,0.035063471,4.14E-05,0.70255163,0.058835347,0.033827631,3.96E-05,0.033421227,0.097815175
Base,364,0.05,1,5000,-103639429,1205421938,9614481,7494619,149892.38,9614481,6851358,91780,99052,33,9534960,2082806,7494619,9577425,4876135.982,75911.30132,3068.507198,72278.17643,945.9226923,921.4471429,0.347527473,0.015567253,0.040461342,0.008776446,0.009680423,3.58E-06,0.713143362,0.006824374,0.008281046,2.67E-06,0.03943319,0.158414615
Base,364,0.05,1,5000,-121313256,2008269090,11623061,5082646,101652.92,11623061,7520455,2363470,92481,6118,11486210,6471448,5082646,11554094,4879106.995,77267.55478,4636.577308,71948.34516,15602.01687,879.2639011,59.37263736,0.015836708,0.059900751,0.200902297,0.011071053,0.000752549,0.646635689,0.2031164,0.007844136,0.000524203,0.047643844,0.517306502
Base,364,0.05,1,5000,-153969258,102595888,14955155,4417708,88354.16,14955155,9808866,1399787,133287,16746,14790073,10444088,4417708,14861796,4879414.51,85996.43269,2939.427088,82178.78577,8021.622527,1307.820549,165.4644505,0.017624361,0.034197873,0.093383573,0.014591342,0.001822985,0.655957374,0.093951034,0.008655251,0.001080898,0.061297661,0.717098808
Base,364,0.05,1,5000,-78172033,429817829,7223445,5937583,118751.66,7223445,4777105,84696,416272,64,7148453,1253568,5937583,7191151,4883970.12,52077.23484,3528.916923,48124.00225,706.2613736,3029.888681,0.481318681,0.01066402,0.067716139,0.009111783,0.054870753,7.10E-06,0.661492483,0.007937604,0.054726493,6.98E-06,0.029582136,0.117808956
Base,364,0.05,1,5000,-102107979,1075223058,9852195,3586029,71720.58,9852195,6329634,62310,362850,0,9807875,6248221,3586029,9834250,4879009.279,59893.3433,2986.993956,56327.76308,399.1715385,2193.408132,0,0.012276142,0.049696869,0.005223064,0.03799775,0,0.641808421,0.004905373,0.03838546,0,0.040385953,0.61900805
Base,364,0.05,1,5000,-142126286,1820464812,13906778,3058506,61170.12,13906778,9850944,205807,155495,0,13711321,10761472,3058506,13819978,4877479.252,160104.1457,5946.77989,153340.6766,2843.648956,1914.444286,0.003571429,0.032825486,0.037155907,0.018518537,0.010986655,2.32E-08,0.708364226,0.01536285,0.010286357,0,0.057025344,0.797566914
