Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-80828943,896312632,7617811,4650833,93016.66,7617811,4994464,112282,116873,3320,7518798,2921595,4650833,7572428,4877591.646,57154.90407,2169.911374,54537.5394,905.3046154,1005.353187,27.37098901,0.01171827,0.037911314,0.011126167,0.014346216,0.000401024,0.656000125,0.010414823,0.01261212,0.000367372,0.007809116,0.276657533
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-84306619,950703638,7996196,4344659,86893.18,7996196,5524684,218184,108953,27,7889216,3607791,4344659,7952450,4878785.72,56024.47962,1863.224121,53691.55929,1746.181538,930.0096703,0.251648352,0.011484169,0.033157334,0.022231886,0.015167029,3.38E-06,0.690691856,0.019775412,0.01263462,2.54E-06,0.00819524,0.342436005
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-103969423,1734646395,10103088,2938543,58770.86,10103088,6857256,155735,85979,21,9975442,7107433,2938543,10045976,4881546.763,74079.02011,3736.798956,69748.87352,1362.727033,682.5136264,0.265054945,0.01517568,0.050468733,0.01587463,0.009644802,3.32E-06,0.678847507,0.013477479,0.008903922,1.90E-06,0.010348388,0.688510053
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-129280664,1167546184,12925046,30204,604.08,12925046,9173539,247086,51287,17,12759495,12829602,30204,12859806,4880962.393,116850.2737,6156.07044,109935.1204,2941.56456,617.196978,0.401703297,0.023940269,0.052679556,0.024328594,0.00497136,3.40E-06,0.709785328,0.018863613,0.003682931,1.32E-06,0.013240303,0.997823917
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-154995943,2105476702,14234477,12651173,253023.46,14234477,9217996,405457,216163,232,14183754,1563333,12651173,14214506,4877710.044,111123.2816,4817.380549,105469.9827,3218.078132,1773.860549,2.026648352,0.02278197,0.043386161,0.030449991,0.016606962,1.93E-05,0.647304332,0.029921986,0.015864809,1.72E-05,0.014591288,0.123678809
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-138658503,2130280727,13559475,3063753,61275.06,13559475,9276956,136391,140041,22,13469372,10456124,3063753,13519877,4878220.684,82330.41505,977.2816484,80556.9033,962.1715385,1136.042143,0.394285714,0.016877225,0.011860186,0.011735706,0.012918755,4.92E-06,0.684218258,0.010159689,0.009735543,1.67E-06,0.013897974,0.782797385
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-122554356,510910863,11281597,9738386,194767.72,11281597,7774374,45437,253765,0,11227786,1522336,9738386,11260722,4877586.117,67460.42599,3333.844011,63464.04527,336.9945055,1592.822253,0,0.013830966,0.049391552,0.004158242,0.022181236,0,0.689088076,0.003378774,0.021265028,0,0.011564783,0.113447028
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-147994133,1235243694,14621698,1777153,35543.06,14621698,10202669,216084,227226,4,14508599,12804769,1777153,14581922,4881921.057,118004.8736,6137.842802,111008.4612,1805.863022,2000.13033,0.063131868,0.02417032,0.052031737,0.017906633,0.014361295,6.16E-07,0.69791013,0.017260715,0.013214758,2.91E-07,0.014974421,0.89665779
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-147288705,615898603,14498824,2300465,46009.3,14498824,10244742,267938,167919,71,14341762,12145286,2300465,14445751,4875346.959,140381.8769,6519.198516,133011.2026,2708.305549,1840.139835,0.934945055,0.028794285,0.046446607,0.019978923,0.012269086,7.02E-06,0.706625359,0.01914277,0.010852449,5.09E-06,0.014869559,0.850943359
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-91366008,485424797,8494180,6424208,128484.16,8494180,5971167,824403,141555,371,8375734,2023098,6424208,8447306,4879456.944,52391.24011,1837.608242,50054.69725,5026.426868,954.968022,2.275549451,0.010738189,0.034961191,0.092449345,0.013514734,3.16E-05,0.702911309,0.093575043,0.012434562,3.17E-05,0.008704734,0.170168129
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-97991427,979268293,9389339,4098037,81960.74,9389339,6408960,142271,133362,332,9246549,5218223,4098037,9316260,4876068.842,54794.38566,4699.790165,49543.13527,1013.749725,1183.507747,3.160879121,0.011236891,0.085948422,0.012326414,0.02009867,5.33E-05,0.683272716,0.010240782,0.0136398,3.32E-05,0.009627509,0.465744506
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-88494190,1425963038,8375269,4741500,94830,8375269,5823874,143281,99638,0,8261470,3584769,4741500,8326269,4882503.893,42150.55407,3544.895989,38113.71324,939.3976374,685.2716484,0,0.008634284,0.084244655,0.015047755,0.014122501,0,0.696178565,0.011847075,0.010534624,0,0.00857791,0.33713898
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-149340740,1392682848,13950607,9834670,196693.4,13950607,9579777,141919,79975,54,13857563,4069340,9834670,13904010,4881296.206,79590.21835,5579.377692,73191.65984,1085.404945,508.6128022,0.363791209,0.016305321,0.070096179,0.013058112,0.006457996,4.64E-06,0.686568369,0.009917931,0.005751998,3.87E-06,0.014289872,0.294349688
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-129722339,557761528,12156646,8155879,163117.58,12156646,8357359,44963,165695,5421,12036044,3947623,8155879,12103502,4878764.312,81511.00236,4495.921868,76301.20775,362.4601648,1363.514725,44.57576923,0.016707576,0.055135985,0.004617441,0.016128223,0.000524971,0.687169357,0.003835522,0.013279834,0.00043479,0.012458783,0.33552365
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-152075110,913538323,14308172,8993390,179867.8,14308172,9338856,158150,162352,2761,14139317,5231506,8993390,14224896,4878214.306,96516.78038,6349.099341,89327.41714,1342.515165,1528.483187,25.85258242,0.019785296,0.065795743,0.014305025,0.015140246,0.000255557,0.652462929,0.011540843,0.011038346,0.000187456,0.014665217,0.386661512
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-100090720,2079514225,9625089,3839830,76796.6,9625089,6235641,117395,154521,10864,9455480,5693176,3839830,9533006,4878491.784,73393.75786,1939.43989,70888.99632,1120.26011,1727.824231,119.4521978,0.015045299,0.026367965,0.01169607,0.022190533,0.001556268,0.647765206,0.009422104,0.015455097,0.00110754,0.009865216,0.529932996
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-145354749,1838663962,13988055,5474199,109483.98,13988055,9414856,265392,760443,144374,13652350,8375588,5474199,13849787,4881855.578,157373.3049,1037.177088,155514.7571,3586.610275,8722.971923,1644.194286,0.032235305,0.006592247,0.024141711,0.050266925,0.009425564,0.673084025,0.020236652,0.049245957,0.009314988,0.014326074,0.643987469
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-141046300,1366445963,13727266,3773640,75472.8,13727266,9030955,129561,319999,5,13572640,9891945,3773640,13665585,4877972.45,120678.4498,1008.134176,118864.1731,1242.497692,2873.94489,0.089450549,0.024739579,0.008378802,0.011718834,0.021768093,8.25E-07,0.657798294,0.010719904,0.02138967,4.00E-07,0.014070693,0.742015592
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-97066852,2047949680,9325872,3808132,76162.64,9325872,6383642,156227,157744,2247,9154000,5434370,3808132,9242502,4878650.65,71877.54137,3383.059286,67946.67165,1720.576538,1627.233352,23.34763736,0.014733698,0.047099129,0.019639456,0.02176894,0.000317096,0.684453857,0.014028203,0.016497683,0.00023814,0.009558037,0.530257912
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-129392554,1549307980,11958530,9807254,196145.08,11958530,8182200,125019,143903,30,11846181,2106517,9807254,11913771,4879744.672,87329.47269,1146.931868,85480.11896,1065.248846,1180.024121,0.199505495,0.017896178,0.013144914,0.012546761,0.013734669,2.29E-06,0.68418748,0.010850039,0.01229984,2.51E-06,0.012253033,0.187176981
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-132603060,2122899987,12216195,10441110,208822.2,12216195,8325465,176897,164668,0,12116957,1735625,10441110,12176735,4875056.924,79162.24225,3653.102582,74791.69582,1290.368352,1267.973022,0,0.016238645,0.046138866,0.01703945,0.016307187,0,0.681130172,0.015269016,0.013920504,0,0.012529463,0.152144939
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-117176016,739887351,11487817,2297846,45956.92,11487817,7490970,136441,126176,47,11400885,9145631,2297846,11443477,4878331.016,69111.89582,3361.011154,65076.30313,853.1257692,920.6633516,0.557967033,0.014167285,0.048604666,0.01242789,0.012570579,8.25E-06,0.65169453,0.011911798,0.010446089,4.16E-06,0.011774267,0.802371473
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-116632388,499661143,11546732,1165068,23301.36,11546732,8021909,128241,114667,133563,11431344,10337596,1165068,11502664,4877083.624,82412.57077,4353.732198,77380.71319,1161.832418,838.0250549,972.2232418,0.016898096,0.052780093,0.014253732,0.009920632,0.011522875,0.694278138,0.011349412,0.009726845,0.011355051,0.011837621,0.901816326
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-101363684,1595776230,9780971,3553974,71079.48,9780971,6251139,379198,145511,1864,9624027,6152454,3553974,9706428,4875244.02,77831.83687,2226.179451,75031.18846,3195.72989,1520.861703,19.76236264,0.015964622,0.028564492,0.036999666,0.019566335,0.000258141,0.638733482,0.035365313,0.015081223,0.000196008,0.010031035,0.575394779
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-174050831,278913196,16154969,12501141,250022.82,16154969,10656371,144449,234027,2651,16058855,3605522,12501141,16106663,4876492.895,91538.48275,2139.812033,88450.04335,904.9534066,1485.448791,17.23027473,0.018772208,0.023448505,0.012063957,0.016520954,0.000198018,0.65939949,0.010737807,0.014664422,0.000173039,0.016564688,0.28294553
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-131801222,1606233505,12827601,3525212,70504.24,12827601,8205122,129780,284050,0,12675013,9235410,3525212,12760622,4875113.342,96076.51835,4401.677912,90921.49049,1122.558132,2215.397033,0.000934066,0.019707723,0.045801603,0.011288101,0.021517749,1.12E-08,0.639430424,0.009848549,0.020767539,0,0.013156195,0.737177401
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-83540767,1346095493,7942480,4115967,82319.34,7942480,5450276,581834,105563,176,7852465,3779198,4115967,7895165,4876721.519,44416.18742,858.1791758,43091.46247,3190.010659,929.9286264,1.37478022,0.009108056,0.019315301,0.072603236,0.017951041,2.71E-05,0.686541945,0.073953549,0.011694669,1.99E-05,0.008143397,0.381373061
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-91447805,1602856504,8853988,2907925,58158.5,8853988,5872005,117479,151371,11,8771901,5911638,2907925,8819563,4878796.626,53359.85549,2434.655385,50405.1422,778.8592308,1041.95522,0.10489011,0.010937654,0.045444489,0.010575732,0.021488887,1.42E-06,0.662396164,0.00969418,0.019180169,9.07E-07,0.009074118,0.571855995
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-136214045,207445762,12676578,9448265,188965.3,12676578,8269033,170807,180441,366,12560069,3170120,9448265,12618385,4874878.281,96260.56951,5330.420385,90185.75692,1779.385,1450.781264,2.992692308,0.019746685,0.055388774,0.018408259,0.015359852,3.16E-05,0.65222956,0.013730098,0.014514103,2.91E-05,0.013002195,0.268994609
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-145782392,901554632,13476144,11020952,220419.04,13476144,8799678,242185,127639,160,13372006,2403870,11020952,13424822,4876935.594,104949.1337,6516.940495,97640.79879,2035.798407,1205.462418,1.662857143,0.021519761,0.062097432,0.019091219,0.011166196,1.53E-05,0.65283914,0.017788466,0.009284517,1.16E-05,0.013816273,0.177926544
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-90697758,800757370,8872961,1968148,39362.96,8872961,5814868,209690,161887,14,8654962,6799556,1968148,8767704,4877815.03,84505.02297,2038.23467,81945.63033,2335.016593,1611.252198,0.236813187,0.017324602,0.024085443,0.023068719,0.021225027,2.58E-06,0.655539993,0.019906153,0.020346724,1.49E-06,0.009095221,0.741649518
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-82073856,1091122616,7806748,4006376,80127.52,7806748,5517799,186622,197947,3,7677337,3747439,4006376,7753815,4881122.653,74380.65286,2707.162418,71214.91088,2263.926209,1945.839615,0.032087912,0.015240411,0.036439782,0.021803687,0.029458235,3.22E-07,0.707265999,0.017447846,0.028592532,2.74E-07,0.007997756,0.372799464
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-117314306,1807349610,10950802,7806286,156125.72,10950802,7720784,183379,973845,797,10823217,3089214,7806286,10895500,4876900.274,86317.03429,1193.602033,84480.31522,1774.001099,7601.658571,6.163846154,0.017700144,0.013774733,0.018231695,0.090264835,6.74E-05,0.704808897,0.015074255,0.091160234,6.88E-05,0.01122762,0.257811312
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-138001738,540382778,12797477,10026968,200539.36,12797477,9049302,181226,605841,3,12666121,2727772,10026968,12754740,4877893.27,120592.5542,3536.108022,116304.9248,1805.46456,5845.925495,0.03489011,0.02472234,0.029338539,0.015442096,0.047865868,3.16E-07,0.707086152,0.014644656,0.04681566,2.44E-07,0.013117852,0.225719744
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-96713509,573303095,9373656,2976949,59538.98,9373656,6003937,174004,136468,1,9233649,6328046,2976949,9304995,4879074.097,87358.82346,1090.219615,85718.105,1806.700879,1283.853297,0.027527473,0.017905275,0.012485558,0.018174496,0.017329077,2.77E-07,0.640696792,0.016407482,0.017132311,9.35E-08,0.009606136,0.613453013
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-126525963,1169681783,12109102,5434943,108698.86,12109102,7793424,113104,123462,15,11968183,6605576,5434943,12040519,4877579.807,112610.642,6056.617802,105842.9314,1248.300659,1337.802198,0.180769231,0.023087584,0.053778404,0.010198454,0.011660112,1.52E-06,0.643588795,0.008650293,0.010024953,1.18E-06,0.012413016,0.536961778
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-164264491,1938775617,15066089,13603601,272072.02,15066089,10299107,209987,409458,332,14971035,1424571,13603601,15028172,4880653.571,103536.316,1770.195989,100881.4444,1785.841484,2874.554121,2.16478022,0.021212969,0.01715275,0.019479024,0.029053172,2.34E-05,0.682968715,0.015968952,0.02840465,2.50E-05,0.015433774,0.114137573
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-100099545,795261444,9545570,4643845,92876.9,9545570,6643574,146804,224304,0,9421574,4843268,4643845,9487113,4876087.782,51030.96819,3186.763846,47283.51714,1171.37978,1285.260549,0,0.010465299,0.062517118,0.015570551,0.027647914,8.17E-10,0.69684164,0.010770403,0.026028686,0,0.009787786,0.407984794
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-77484394,427641895,7272562,4758774,95175.48,7272562,4988107,174622,129511,13,7160623,2462417,4758774,7221191,4878264.245,49790.93115,2112.151538,47251.56786,1234.04456,1131.818187,0.09456044,0.010207322,0.042162479,0.018864357,0.018055695,1.45E-06,0.685336951,0.01834245,0.014395037,1.39E-06,0.007454254,0.255205205
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-114176934,1910411279,11196720,2209734,44194.68,11196720,7742024,342790,138152,263486,11060644,8925832,2209734,11135566,4881280.981,83339.47016,1229.763077,81452.11165,2939.748242,1039.95956,1939.974945,0.017073429,0.014758794,0.034106354,0.011676154,0.021665909,0.691346821,0.029598549,0.011503251,0.021883649,0.011468988,0.817130974
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-133175067,1641071908,13054369,2631377,52627.54,13054369,8821673,288531,172913,0,12880574,10347282,2631377,12978659,4879372.825,75573.31423,5929.686758,68876.98456,1940.876593,1162.978736,0.001538462,0.015488306,0.078386345,0.024254509,0.014073334,2.01E-08,0.675323139,0.020923723,0.012263089,0,0.013376767,0.807148382
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-108665531,1021861159,10811633,549201,10984.02,10811633,7091767,132772,112327,37,10710193,10214020,549201,10763221,4876911.8,68138.71308,4265.308791,63238.42011,914.9374176,745.527967,0.324175824,0.013972028,0.062473649,0.012227725,0.010227353,4.81E-06,0.654974998,0.011248795,0.009720038,3.45E-06,0.011084464,0.95260497
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-151731902,499545406,14063315,11098752,221975.04,14063315,9872753,123137,207881,947,13950991,2915039,11098752,14013791,4878564.617,70314.8711,3607.555604,65881.51797,703.5054945,1274.159011,5.68478022,0.014413064,0.051317182,0.010422268,0.01738779,7.63E-05,0.701949097,0.009153539,0.014433244,6.48E-05,0.014413232,0.221822908
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-77178315,882824253,7699385,184465,3689.3,7699385,5100246,175433,36478,0,7631057,7481946,184465,7666411,4878878.095,53094.62291,670.8817582,51971.49665,1382.151374,326.0308791,0.003461538,0.010883597,0.012607424,0.02185126,0.008415304,4.68E-08,0.661913138,0.019563807,0.006638681,0,0.007891051,0.963055994
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-83759123,1007037475,8273523,1023893,20477.86,8273523,5859239,184057,96708,46,8216069,7224227,1023893,8248120,4879059.004,46341.90874,2894.202088,42961.77527,1071.853132,636.5664835,0.553571429,0.009498516,0.062487496,0.018429179,0.016287351,1.11E-05,0.708317382,0.017789066,0.014126456,4.99E-06,0.008478901,0.842414328
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-149915749,1820814564,14274378,7171969,143439.38,14274378,9970964,272762,587255,498467,13982756,6968027,7171969,14139996,4874577.618,90487.01033,1995.074121,87653.6406,2671.478187,3729.960385,3149.144835,0.018563714,0.022069155,0.03093436,0.037973358,0.031688563,0.698379655,0.020352315,0.037574639,0.031568173,0.014642166,0.546710911
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-126039095,357983897,12016767,5871425,117428.5,12016767,8281163,104307,79730,5,11949397,6116936,5871425,11988361,4877943.318,58842.39198,5712.392088,52424.34099,516.8387363,428.6011538,0.07532967,0.012063003,0.0970754,0.009130173,0.007150076,1.36E-06,0.688975075,0.008977903,0.006501005,4.32E-07,0.012317314,0.522748922
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-88009280,1751314690,8633094,1678340,33566.8,8633094,5676203,130959,110025,6731,8538178,6910183,1678340,8588523,4879744.828,59397.31181,1607.394505,57282.84626,1155.926374,802.2509341,48.74126374,0.012172889,0.027040026,0.019997222,0.017268685,0.001065516,0.65680518,0.016126348,0.016334311,0.001013182,0.008846067,0.732920477
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-118049842,1790670073,11374710,4302742,86054.84,11374710,8227435,250498,142372,0,11134317,6952534,4302742,11255276,4876410.599,79730.08841,1051.342582,78010.69945,2708.478516,1247.596648,0,0.01634972,0.013142831,0.030152022,0.015659416,0,0.723629345,0.020074499,0.012514554,0,0.011662701,0.591850753
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-139757476,398262703,13686286,2894616,57892.32,13686286,8835583,143056,49240,16,13560306,10726391,2894616,13621007,4877824.047,66634.41753,6587.821099,59242.85242,833.3184615,263.9852747,0.055549451,0.013660704,0.098864519,0.011609994,0.003843533,7.75E-07,0.645614936,0.009755057,0.003490925,1.07E-06,0.014029019,0.789188289
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-147228688,767598642,13462678,12601908,252038.16,13462678,8989942,64523,94911,173,13410029,835620,12601908,13437528,4878424.694,63573.47082,5933.025549,56849.83505,340.2927473,525.1891209,0.918791209,0.013031521,0.093356273,0.006271553,0.009381836,1.66E-05,0.66756282,0.005612242,0.008075949,1.49E-05,0.013797947,0.073505845
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-121843224,284959971,11287989,8963334,179266.68,11287989,8120325,381472,978678,2,11158228,2275026,8963334,11238360,4877280.159,102533.8325,2516.763736,99354.09242,3705.820055,8833.468077,0.003131868,0.021023061,0.02448391,0.032909888,0.087062305,2.87E-08,0.719519718,0.031018538,0.087519019,1.50E-07,0.011572169,0.173171258
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-159608996,403888045,14695001,12658986,253179.72,14695001,9844984,104786,80726,0,14612681,1996571,12658986,14655557,4875422.294,72819.56385,7011.134505,64945.4911,685.7712088,483.347033,0,0.014936414,0.096279151,0.009797041,0.007078004,8.06E-10,0.669845968,0.007573535,0.005889231,0,0.015070748,0.148866459
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-127772942,388520003,11811474,9658202,193164.04,11811474,8469484,378927,813923,19,11700277,2108890,9658202,11767092,4877789.054,104673.1609,3091.321978,100888.143,3585.446154,7200.504176,0.183461538,0.021459238,0.029529112,0.032152321,0.068726208,1.55E-06,0.717107186,0.030267652,0.068827399,1.44E-06,0.01210749,0.173479399
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-166374464,1384510813,15232705,14047414,280948.28,15232705,9978043,367077,268905,2690,15166366,1156746,14047414,15204160,4877417.631,113519.5769,2087.683077,110537.3314,2764.670824,2167.445989,22.77236264,0.023273886,0.018461094,0.026315318,0.022407887,0.000239137,0.654802785,0.026036271,0.02072988,0.000211815,0.015614894,0.102825153
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-112232657,244586483,10987354,2359117,47182.34,10987354,7048455,161290,184240,1,10890413,8572951,2359117,10932068,4877953.566,84665.88549,5342.972747,78677.65593,1590.295549,1478.171703,0.011208791,0.017357027,0.063083634,0.018746921,0.017449038,1.31E-07,0.641258825,0.014755502,0.016739758,8.89E-08,0.011262248,0.783518186
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-118759967,534928439,10946148,9298487,185969.74,10946148,7099650,52739,70577,0,10901249,1626577,9298487,10925064,4876171.699,52356.76824,2279.892857,49433.97934,312.5924725,409.4806593,0,0.010737275,0.043524332,0.005262864,0.006994345,0,0.648590049,0.004308447,0.00581018,0,0.011224026,0.133985883
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-169242030,1244620632,15717192,12070110,241402.2,15717192,10367516,152452,614662,2,15591749,3588644,12070110,15658754,4881676.625,112044.2482,7836.651154,103284.5623,1406.961923,4445.577692,0.017252747,0.022950727,0.070038744,0.015818545,0.037973753,1.97E-07,0.659374451,0.012311026,0.037320316,1.59E-07,0.016097095,0.293217219
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-148307122,2110073094,14730474,1002382,20047.64,14730474,9480148,167344,245090,19778,14518365,13614051,1002382,14616433,4881532.06,105891.1122,6977.50456,98048.65126,1284.194011,2490.096593,201.2782967,0.021691212,0.066037646,0.015189399,0.018608327,0.00149128,0.644197427,0.014137122,0.013445335,0.001078846,0.01508725,0.945282938
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-169961211,49561378,15779335,12167861,243357.22,15779335,11007601,178232,249864,1529,15636503,3551259,12167861,15719120,4881857.236,148355.0835,4291.864835,143136.6851,1754.008022,2496.802967,15.3921978,0.03038828,0.028948079,0.013016103,0.017108505,0.000106034,0.697605605,0.012446892,0.016152681,9.89E-05,0.016160743,0.25108366
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-97499883,624888343,9157984,5920043,118400.86,9157984,5899241,156731,93719,7,9057143,3190652,5920043,9110695,4882555.254,59906.83549,3433.124066,55935.82786,1063.550165,723.9226923,0.032472527,0.012270127,0.05717256,0.013440773,0.010287782,4.04E-07,0.643602024,0.012995451,0.008797357,5.66E-07,0.00937843,0.271976718
D:0.3yr| T: 13.57%| I: 2.69%| Obs: 125000.0%,91,0.135698241,0.026922531,1250,-85767644,183821718,7883362,6934024,138680.48,7883362,5540823,382999,338996,1,7822990,926357,6934024,7860381,4876568.772,69460.12181,1693.437143,67303.58632,3413.037912,3115.014066,0.000879121,0.014244071,0.02431937,0.046452073,0.039814437,1.11E-08,0.702767094,0.045979322,0.0383391,9.35E-08,0.008083038,0.087622048
