Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Resistant to G_A,Total: Received 1st Tx & Resistant to G_B,Total: Received 1st Tx & Resistant to G_AB,Total: Success 1st,Total: Success A or B,Total: Success M,Total: Success All,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence | Sym,Averge size: Prevalence | G_A,Averge size: Prevalence | G_B,Averge size: Prevalence | G_AB,Average ratio: Prevalence,Average ratio: % infection symptomatic,Average ratio: % infection resistant to G_A,Average ratio: % infection resistant to G_B,Average ratio: % infection resistant to G_AB,Average ratio: % received 1st Tx & symptomatic ,Average ratio: % received 1st Tx & resistant to G_A,Average ratio: % received 1st Tx & resistant to G_B,Average ratio: % received 1st Tx & resistant to G_AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-89198459,485424797,8239905,6799409,135988.18,8239905,5795545,882202,55029,0,8186753,1419531,6799409,8218940,4880121.642,50754.61956,2110.346593,5435.734945,371.8067582,0.000494505,0.010400757,0.041521592,0.107720905,0.00520669,8.85407E-09,0.703299819,0.107722631,0.00475613,0,0.033770015,0.118274045
Base,364,0.05,1,5000,-129645871,1606233505,12597787,3668001,73360.02,12597787,8063739,61789,122397,0,12523982,8896979,3668001,12564980,4878245.502,94190.99033,4779.372143,543.6343956,967.245,0,0.0193087,0.050731737,0.005895456,0.009763861,6.15514E-10,0.640025545,0.005036561,0.009264842,0,0.051649437,0.718633759
Base,364,0.05,1,5000,-134500277,1655180018,12492462,9575657,191513.14,12492462,8702146,66426,222445,0,12402949,2872842,9575657,12448499,4877235.348,59472.63264,5736.13022,453.4002747,1156.318571,0.000274725,0.012194037,0.096457358,0.006976917,0.018369026,7.50193E-09,0.696646232,0.004938893,0.016967546,0,0.051227524,0.218101768
Base,364,0.05,1,5000,-98110969,1819652320,9447789,3633079,72661.58,9447789,6721144,274946,232684,4,9369635,5788090,3633079,9421169,4878357.03,80564.45615,2681.852692,2467.529396,2034.321538,0.00989011,0.016514499,0.033292074,0.032285186,0.028045513,1.29586E-07,0.711419615,0.031014433,0.027374722,4.13216E-07,0.038732798,0.538062783
Base,364,0.05,1,5000,-92272759,800757370,9033915,1933609,38672.18,9033915,5928724,80925,98995,0,8940391,7055140,1933609,8988749,4877837.388,85747.04731,2400.71467,915.3253846,988.7160989,0.02021978,0.017579246,0.027988216,0.008683262,0.012544028,2.11522E-07,0.656341058,0.007321762,0.011993424,0,0.037040815,0.758053793
Base,364,0.05,1,5000,-138769703,540382778,12788421,10885493,217709.86,12788421,9048772,97068,167111,1,12731441,1884157,10885493,12769650,4880183.733,120383.8876,4037.954011,974.8764835,1655.116209,0.003076923,0.024667775,0.033561002,0.008547952,0.01403134,3.00399E-08,0.707593302,0.008014636,0.013328984,8.18816E-08,0.052408979,0.15823675
Base,364,0.05,1,5000,-167489626,1938775617,15338716,14102466,282049.32,15338716,10488903,104938,651035,0,15266711,1208902,14102466,15311368,4878352.168,105304.8192,2411.227692,899.7433516,4624.287418,0.000549451,0.021586208,0.022954577,0.010251197,0.0460792,7.63531E-09,0.683856714,0.008174302,0.044559311,0,0.062883793,0.098197869
Base,364,0.05,1,5000,-139868826,207445762,12949177,10377056,207541.12,12949177,8461222,61103,181325,0,12890145,2543729,10377056,12920785,4882866.291,97989.33648,5940.426648,643.3113187,1478.891538,0,0.0200674,0.060631134,0.007038785,0.015625751,0,0.65339258,0.005106734,0.014520856,0,0.053037143,0.218887077
Base,364,0.05,1,5000,-111162254,1807349610,10321918,7943074,158861.48,10321918,7283825,65652,557216,2,10271582,2357239,7943074,10300313,4878520.277,81116.63253,1530.651099,647.1914835,4381.294231,0.010769231,0.016627433,0.018837353,0.007009016,0.055161863,1.18105E-07,0.705480441,0.00563533,0.055210906,1.71456E-07,0.042315221,0.198987237
Base,364,0.05,1,5000,-79586183,250352608,7874459,841593,16831.86,7874459,5347376,98597,53614,0,7811469,7005445,841593,7847038,4882329.777,60179.84725,4075.73478,942.8865385,557.7861538,0,0.012328142,0.067850936,0.009355588,0.012323753,0,0.679663054,0.007583716,0.009515894,0,0.032261473,0.817961629
Base,364,0.05,1,5000,-127186595,1549307980,11721360,9972995,199459.9,11721360,8028358,76959,111090,2,11646310,1718298,9972995,11691293,4879174.183,85479.05038,1586.252582,665.7631868,919.5263736,0.041703297,0.017519133,0.018570444,0.008183427,0.01109703,5.25935E-07,0.68490781,0.00694263,0.009834188,1.82195E-07,0.048045568,0.157758406
Base,364,0.05,1,5000,-124664708,357983897,11892821,5736498,114729.96,11892821,8194846,87771,84271,11,11834601,6132456,5736498,11868954,4878741.408,58224.01654,6134.716813,439.1908242,450.4500549,0.056098901,0.01193445,0.105357232,0.008406871,0.007283611,1.11132E-06,0.689066674,0.008099496,0.006694495,1.04989E-06,0.048753515,0.538041218
Base,364,0.05,1,5000,-82999528,1007037475,8215933,840198,16803.96,8215933,5820784,107420,64927,3,8182895,7361020,840198,8201218,4878516.949,45991.06324,3213.161319,633.1332967,428.3378571,0.066868132,0.009427217,0.069903023,0.011145299,0.01047358,1.25039E-06,0.70858474,0.010627891,0.009125778,3.03925E-07,0.033681606,0.878420614
