Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0,-173718336,368834566,16598629,7732046,154640.92,16598629,11379968,162791,174331,1,16424511,7732046,11697642.92,225368.9148,5094.579231,219299.6755,2330.760604,2529.162253,0.026483516,0.019266529,0.022593218,0.00904573,0.011251152,1.03695E-07,0.68567688,0.008596653,0.010538875,5.30784E-08,0
Base,364,0.05,1,0,-207852788,1729709260,20785270,88,1.76,20785270,14045992,338911,7710,0,20496782,88,11700391.99,287887.3638,8446.386154,278220.428,5479.801703,123.6554945,0,0.02460495,0.029338233,0.01881584,0.000444822,0,0.67577289,0.016160678,0.000384215,0,0
Base,364,0.05,1,0,-145907171,166103379,13366797,12239201,244784.02,13366797,9192941,762668,235473,0,13306326,12239201,11709393.6,175594.9441,4776.099341,170033.8918,9949.625824,3173.206868,0,0.014997503,0.027196812,0.056172864,0.014568386,0,0.687887025,0.056511706,0.014205923,0,0
Base,364,0.05,1,0,-212938375,497248093,21239430,544075,10881.5,21239430,14316047,231907,176425,0,20926655,544075,11712852.81,291958.3646,7049.72467,283661.5496,3726.211374,2773.410989,0,0.024925725,0.024142535,0.012932069,0.009101664,0,0.674034732,0.011090878,0.007980142,0,0
Base,364,0.05,1,0,-204727146,935738848,19540524,9321906,186438.12,19540524,13619446,199078,442247,0,19391465,9321906,11705118.89,257081.5557,10488.3278,245445.8582,2749.78989,5918.01967,0.005164835,0.02196325,0.040793783,0.010473725,0.023009872,2.05189E-08,0.69698732,0.009983502,0.022615816,0,0
Base,364,0.05,1,0,-163225037,751450586,15225578,10969257,219385.14,15225578,10118691,1021232,364575,0,15105307,10969257,11700055.73,199650.777,2155.661593,196600.9869,13299.94143,4851.450165,0.001043956,0.017064115,0.010770235,0.067129192,0.023217149,4.3736E-09,0.664690916,0.067526627,0.022857414,0,0
Base,364,0.05,1,0,-225597297,1530287929,20760452,17992777,359855.54,20760452,14245954,128203,183829,0,20651844,17992777,11704377.69,268333.9182,1756.184725,265358.7218,1774.486099,2483.373352,0,0.022925837,0.006548449,0.006860115,0.009566723,0,0.686201173,0.006416329,0.009163068,0,0
Base,364,0.05,1,0,-199953202,811708213,19995310,102,2.04,19995310,13278481,550264,10096,0,19483150,102,11709899.84,266230.357,8337.044615,256719.2192,7784.117857,158.2320879,0.000659341,0.022735425,0.031314326,0.029060665,0.000608193,3.72041E-09,0.664080312,0.027375378,0.000521122,0,0
Base,364,0.05,1,0,-220950200,921003437,20511316,15837040,316740.8,20511316,13988850,202026,193873,0,20361659,15837040,11697360.09,280196.5705,5747.867253,273244.2849,2808.478846,2702.373077,0,0.023953739,0.020515915,0.010415941,0.00983814,0,0.682008131,0.010247935,0.009651562,0,0
Base,364,0.05,1,0,-179244422,1621184805,17634835,2896072,57921.44,17634835,12227863,208420,175837,0,17391390,2896072,11701252.86,238832.9609,3314.555385,234482.8249,3116.333407,2493.58978,0,0.02041113,0.013870002,0.012141394,0.01114673,0,0.693443883,0.011010865,0.010628743,0,0
Base,364,0.05,1,0,-188430550,312313552,17555094,12879610,257592.2,17555094,12247696,137498,204452,0,17393900,12879610,11711847.05,226260.7358,2184.093626,223045.8458,1809.844615,2667.10511,0.00010989,0.01931993,0.009645282,0.00703005,0.011196257,6.18176E-10,0.697698388,0.006884965,0.011066892,0,0
