Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-165274354,1088780901,15283824,12436114,248722.28,15283824,9870218,307816,106493,81,15190632,2793006,12436114,15229120,4881386.296,75158.96357,2413.488956,71847.91291,1513.341374,774.8798352,0.594340659,0.015396265,0.032140346,0.02193872,0.011031548,8.21341E-06,0.645732818,0.022007464,0.007615839,5.62416E-06,0.015654281,0.217652112
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-104941956,229671744,9725763,7684326,153686.52,9725763,6438874,83727,98744,14,9650203,2001215,7684326,9685541,4875705.84,59052.09319,1399.60022,57081.23236,570.6804945,811.4415934,0.159945055,0.012111264,0.023725952,0.006603175,0.009974341,1.89351E-06,0.662492626,0.00591261,0.007490421,1.0083E-06,0.009973363,0.143030921
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-136422255,1212233175,12769283,8729425,174588.5,12769283,7916894,64179,106262,22656,12647943,3973394,8729425,12702819,4878757.581,63706.5206,5164.042418,57792.60445,378.8723077,666.3943956,144.2821978,0.013058217,0.081009989,0.00628507,0.009933629,0.002140338,0.619579892,0.00526749,0.007968538,0.001706021,0.013086615,0.332044109
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-84068693,913162141,8213021,1938483,38769.66,8213021,5341693,308010,239142,213053,8084412,6223525,1938483,8162008,4878788.696,92393.89429,1242.800055,90668.64698,3788.811154,2749.339945,2422.547198,0.018938585,0.013436494,0.037738294,0.033052727,0.029427935,0.650528053,0.035057547,0.032412347,0.029074051,0.008417307,0.734375487
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-99440642,1153350790,9532848,4112162,82243.24,9532848,5834665,126446,189783,179475,9404944,5340835,4112162,9452997,4878795.476,54534.05044,1302.816099,52671.33637,1109.822637,1079.93511,1020.290275,0.011178212,0.023901881,0.018041717,0.022358752,0.021283601,0.612122482,0.012014779,0.022393134,0.021307181,0.00976985,0.498510422
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-153586034,1480084698,14453838,9047654,180953.08,14453838,10491646,265961,250672,3197,14272246,5336591,9047654,14384245,4878001.663,116931.8577,1033.561703,115049.5223,2369.107473,2686.276484,33.14285714,0.023971542,0.008876366,0.022880236,0.022713546,0.000277437,0.72560328,0.020786395,0.017324064,0.000218555,0.014815333,0.419634917
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-146671291,771757293,13627239,10398901,207978.02,13627239,9851940,76878,93528,0,13552396,3195681,10398901,13594582,4877233.376,61383.41451,3599.890604,56983.28819,400.6109341,596.0478022,0,0.012585975,0.058653214,0.008158948,0.010019568,0,0.722854846,0.007048379,0.007230887,0,0.013970411,0.282686516
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-106431254,1313163567,9947672,6954534,139090.68,9947672,7320616,207869,786654,61619,9808761,2941569,6954534,9896103,4878328.294,88040.33863,4257.771593,83198.26995,2151.753132,6974.691813,544.634011,0.018046982,0.048330213,0.019331412,0.083322182,0.006761192,0.736405822,0.016702748,0.083185796,0.006751656,0.010195576,0.221852713
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-112656881,874755051,10858477,4072111,81442.22,10858477,7803064,139952,100640,43837,10723063,6729873,4072111,10801984,4880323.876,65204.29907,2299.415385,62267.13077,1257.667637,696.0632418,301.6663187,0.013361645,0.035198867,0.016812278,0.011176996,0.004833492,0.718377304,0.011532716,0.009743181,0.004238385,0.011125343,0.547399031
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-88935270,1600738518,8656719,2368080,47361.6,8656719,5618782,142236,56431,11340,8510146,6199819,2368080,8567899,4877143.837,53161.88412,2494.485659,50158.97802,1433.923901,466.9737912,93.70087912,0.010900494,0.046932185,0.02310308,0.009130627,0.001856957,0.648794875,0.014370242,0.006788365,0.001393008,0.008874776,0.677771246
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-165257958,1670780173,15148770,13770258,275405.16,15148770,9794185,195720,121096,0,15086168,1351115,13770258,15121373,4880150.905,102544.1755,3265.206538,98389.3483,1403.065769,917.1549451,0.001538462,0.021011329,0.031874575,0.014864394,0.009605017,1.74121E-08,0.646304605,0.014079861,0.008595824,0,0.015519729,0.098822816
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-168980198,410136007,15465083,14329368,286587.36,15465083,11262443,671747,784528,23181,15423923,1123305,14329368,15452673,4879835.675,74975.16907,5817.066319,68250.02236,3289.311923,3777.992857,112.4978571,0.015364116,0.07766429,0.046480267,0.050326653,0.001576528,0.728297461,0.046002989,0.050654818,0.001572911,0.015845661,0.089040246
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-132230727,874247396,13107221,1158517,23170.34,13107221,9568825,62251,101387,1,13021289,11907669,1158517,13066186,4878053.497,66884.92676,1060.839286,65054.47467,396.9575275,730.151978,0.001098901,0.013711811,0.015842446,0.00621114,0.009988537,1.95523E-08,0.729752438,0.004958833,0.007121033,7.94067E-08,0.013435034,0.917916871
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-150881974,1307689094,13947838,11403594,228071.88,13947838,10225367,1236844,185653,598,13813685,2490692,11403594,13894286,4875789.575,102508.4093,4476.239451,97213.17615,8992.149341,1864.405495,5.885,0.021024134,0.043693487,0.087714595,0.017792284,5.60292E-05,0.733158019,0.088679347,0.013252028,4.25716E-05,0.014303333,0.190836598
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-175616845,1681947926,16199796,13618885,272377.7,16199796,10650901,207743,174397,0,16077446,2520096,13618885,16138981,4879961.251,115852.0837,3040.559341,111860.309,1567.77467,1675.931319,0.000934066,0.023739731,0.026252587,0.014729334,0.015005464,8.53206E-09,0.657397741,0.014050153,0.011387059,0,0.016597787,0.17680946
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-135719120,1379141387,13264028,3078840,61576.8,13264028,9429045,187092,181642,46,13082363,10114250,3078840,13193090,4876022.51,96909.42549,3098.111758,93032.40995,1564.595604,1632.049725,0.447197802,0.019875117,0.031963299,0.016262369,0.015024039,4.68901E-06,0.710999987,0.014245443,0.012289426,3.48947E-06,0.013601535,0.790827261
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-89246507,697135067,8737274,1873767,37475.34,8737274,5480958,138919,119977,59,8616725,6803866,1873767,8677633,4881403.404,89399.63951,3832.896593,85053.56648,1631.17511,1470.711209,0.819505495,0.018315786,0.042845584,0.015464407,0.017788994,7.64059E-06,0.627113532,0.013576708,0.01496958,5.62312E-06,0.00895016,0.746217326
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-105455912,470310354,10229145,3164462,63289.24,10229145,7131992,162128,100751,3469,10087266,7008463,3164462,10172925,4879231.136,71545.82181,4944.16544,66000.93637,1417.658187,767.8282967,26.25236264,0.014663657,0.069042045,0.018897953,0.010812981,0.000369834,0.696750976,0.015270349,0.009908817,0.000341191,0.010482369,0.683017597
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-115161561,2146279519,11411039,1051171,21023.42,11411039,7464975,181473,165460,24455,11221567,10262301,1051171,11313472,4879018.693,105500.356,2501.602363,102328.5821,2067.755824,1644.03956,243.5767033,0.021623039,0.023722126,0.018831089,0.014214331,0.002097268,0.654279716,0.01539322,0.013230069,0.00194989,0.01169379,0.916446771
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-113026476,2068701992,11053604,2490436,49808.72,11053604,7942397,136706,123051,15,10944327,8520868,2490436,11011304,4876631.373,69859.00016,2484.21478,66725.5717,1070.64978,799.1689011,0.161483516,0.014325036,0.035566706,0.015472273,0.013408671,2.02727E-06,0.718504397,0.012644025,0.013085735,1.33296E-06,0.011332904,0.728683784
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-128708584,512747718,11948874,9219844,184396.88,11948874,7600156,787848,349056,1957,11824162,2677219,9219844,11897063,4880360.101,147681.2293,3447.351868,143532.103,9842.29967,4604.978626,26.4317033,0.030260343,0.02334979,0.066212358,0.030139019,0.000170924,0.636100447,0.065569207,0.02834683,0.000157165,0.012241791,0.23176534
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-141880717,2060995674,13076120,11119517,222390.34,13076120,8464735,87022,74851,143,12992697,1910812,11119517,13030329,4878431.836,75468.87242,6227.59544,68473.40418,691.0561538,551.0201648,0.978406593,0.015469711,0.082491234,0.010668048,0.008407235,1.49299E-05,0.64709032,0.007918693,0.006635743,1.26548E-05,0.013401642,0.17858104
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-121071209,463849905,11264940,8421809,168436.18,11264940,7726654,140934,598557,1138396,11104979,2775145,8421809,11196954,4876935.176,93803.12396,4097.37478,89044.13731,1686.379451,4951.280549,9391.662857,0.019234136,0.043683839,0.018263115,0.052101694,0.098615609,0.685807974,0.012961407,0.052271116,0.099203496,0.011549241,0.266074543
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-117746991,1233607226,11452445,3222541,64450.82,11452445,8310781,116362,102315,0,11337146,8181479,3222541,11404020,4879400.183,58719.74709,3449.082198,54598.05659,733.1667582,709.0956044,0.023076923,0.012034843,0.058689706,0.00995159,0.012557295,3.43743E-07,0.725728699,0.008192103,0.009422407,0,0.011735952,0.681863505
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-138485771,1005043691,12822624,10259531,205190.62,12822624,7972501,68536,85092,0,12751639,2526912,10259531,12786443,4878725.082,70086.65297,4087.789341,65245.89995,486.7778022,534.5241758,0,0.014365996,0.058320726,0.007693865,0.008138673,0,0.621388321,0.005950339,0.007135657,0,0.013141347,0.223625674
D:0.3yr| T: 11.29%| I: 1.99%| Obs: 500000.0%,91,0.112856861,0.019885379,5000,-139017604,379308908,12863499,10382614,207652.28,12863499,8538721,71262,110049,0,12782464,2441588,10382614,12824202,4876277.009,56332.28198,1522.543187,54054.37577,377.9692857,698.896044,0,0.011552428,0.026992073,0.005872971,0.011093813,0,0.66372532,0.00488109,0.007837526,0,0.013189721,0.172970202
