Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
0,1621184805,0,1,-1,1000,0.05,0.05,1,0.767328008,0.868249616,0.760096211,0.397867626,0.397867626,0.397867626,0.397867626,1.25987E-05,1.40462E-05,0.855137392,0.855137392,0,2.671201436,2.049687676,2.31926962,2.03037009,2.671201436,2.049687676,2.31926962,2.03037009,0.024624567,0.009681813,0.008994494,0.008994494,0.975375433,0.990318187,0.982011012,0.991005506,10000000,9753754.328,2341.21698,21.44381516,21.44381516,0,239474.7445,2193.411461,2193.411461,0,0.907382535,2.164896416,0.011819688,0.028948333,1.102071024,0.461915865,84.60459993,34.5443032
1,349946347,0,1,-1,1000,0.05,0.05,1,0.940067672,0.926398691,0.985918992,0.404698602,0.404698602,0.404698602,0.404698602,6.83868E-06,1.22315E-05,0.829094019,0.829094019,0,2.646960843,2.488322318,2.452141061,2.609688967,2.646960843,2.488322318,2.452141061,2.609688967,0.022345236,0.016520746,0.036865962,0.036865962,0.977654764,0.983479254,0.926268076,0.963134038,10000000,9776547.635,3419.410945,136.0943741,136.0943741,0,203557.3811,8101.692022,8101.692022,0,0.935443762,2.159213981,0.016790354,0.023384674,1.069011352,0.463131495,59.55800575,42.76305086
2,1316010029,0,1,-1,1000,0.05,0.05,1,0.992138516,0.7580449,0.80390171,0.243896861,0.243896861,0.243896861,0.243896861,1.30412E-05,6.31189E-06,0.838974237,0.838974237,0,4.259014553,4.225532378,3.22852426,3.423829081,4.259014553,4.225532378,3.22852426,3.423829081,0.022724512,0.011680188,0.000970754,0.000970754,0.977275488,0.988319812,0.998058492,0.999029246,10000000,9772754.883,2649.112487,2.576638934,2.576638934,0,224154.8065,218.0224526,218.0224526,0,0.370854815,2.275861125,0.003309977,0.014907293,2.696473011,0.439394122,302.1169024,67.08125914
3,1133763999,0,1,-1,1000,0.05,0.05,1,0.81703613,0.774993408,0.903956369,0.167305473,0.167305473,0.167305473,0.167305473,5.60029E-06,1.43163E-05,0.906516073,0.906516073,0,7.261987139,5.933305868,5.627992165,6.564519527,7.261987139,5.933305868,5.627992165,6.564519527,0.023248225,0.001634647,0.036541937,0.036541937,0.976751775,0.998365353,0.926916126,0.963458063,10000000,9767517.755,352.2525151,13.88689753,13.88689753,0,215139.2895,8481.464686,8481.464686,0,0.178415039,1.826322382,0.034748933,0.011610426,5.604908674,0.547548456,28.77786177,86.12948269
4,497248093,0,1,-1,1000,0.05,0.05,1,0.772156391,0.809497001,0.98423506,0.379725014,0.379725014,0.379725014,0.379725014,1.21913E-05,5.42123E-06,0.986113048,0.986113048,0,2.736365232,2.112901901,2.215079449,2.693226599,2.736365232,2.112901901,2.215079449,2.693226599,0.022280858,0.006366769,0.009702429,0.009702429,0.977719142,0.993633231,0.980595142,0.990297571,10000000,9777191.424,1391.043608,13.76358251,13.76358251,0,217093.9639,2148.020858,2148.020858,0,0.85833658,2.044766175,0.023006566,0.030362151,1.165044136,0.489053473,43.46585151,32.93574271
5,1356694999,0,1,-1,1000,0.05,0.05,1,0.818423226,0.899515399,0.955963253,0.257654194,0.257654194,0.257654194,0.257654194,1.33472E-05,1.07707E-05,0.82169309,0.82169309,0,4.40182381,3.602554842,3.959508302,4.207981807,4.40182381,3.602554842,3.959508302,4.207981807,0.020798643,0.003835931,0.016892012,0.016892012,0.979201357,0.996164069,0.966215976,0.983107988,10000000,9792013.572,770.8679334,13.47681144,13.47681144,0,200188.9418,3499.832467,3499.832467,0,0.367876409,1.836860408,0.026942515,0.018828887,2.718304231,0.544407183,37.11605939,53.10988499
6,905214308,0,1,-1,1000,0.05,0.05,1,0.987269793,0.864961591,0.850938545,0.381001401,0.381001401,0.381001401,0.381001401,1.43246E-05,1.21146E-05,0.855636302,0.855636302,0,2.583630706,2.550740553,2.234741325,2.198510954,2.583630706,2.550740553,2.234741325,2.198510954,0.024268079,0.009804893,0.008907103,0.008907103,0.975731921,0.990195107,0.982185795,0.991092897,10000000,9757319.209,2337.070898,21.19408597,21.19408597,0,236020.5543,2140.388605,2140.388605,0,0.931665268,2.111492111,0.005825929,0.012380009,1.073346871,0.473598738,171.646444,80.77538821
7,575455818,0,1,-1,1000,0.05,0.05,1,0.823647467,0.950144634,0.870750055,0.226631432,0.226631432,0.226631432,0.226631432,1.05144E-05,1.13852E-05,0.974574733,0.974574733,0,5.149656951,4.241501902,4.89291892,4.484064072,5.149656951,4.241501902,4.89291892,4.484064072,0.021187054,0.00167555,0.009352097,0.009352097,0.978812946,0.99832445,0.981295806,0.990647903,10000000,9788129.465,348.3597802,3.319992281,3.319992281,0,207559.308,1978.113834,1978.113834,0,0.282197565,2.171199645,0.033244937,0.016502069,3.543616689,0.460574873,30.07976866,60.59846199
8,751450586,0,1,-1,1000,0.05,0.05,1,0.99583977,0.961657464,0.977514491,0.385127359,0.385127359,0.385127359,0.385127359,5.6944E-06,1.00991E-05,0.911895969,0.911895969,0,2.708585797,2.697317458,2.604731747,2.647681867,2.708585797,2.697317458,2.604731747,2.647681867,0.023004993,0.006685819,0.006605197,0.006605197,0.976995007,0.993314181,0.986789605,0.993394803,10000000,9769950.072,1517.75373,10.15927087,10.15927087,0,225493.1244,1509.365903,1509.365903,0,0.902366701,1.920244145,0.009094519,0.019074215,1.108196922,0.520767113,109.9563345,52.42679803
9,908785228,0,1,-1,1000,0.05,0.05,1,0.927062011,0.859693063,0.981224724,0.372164919,0.372164919,0.372164919,0.372164919,1.42204E-05,9.73731E-06,0.971247443,0.971247443,0,3.092922167,2.867330643,2.65896373,3.034851699,3.092922167,2.867330643,2.65896373,3.034851699,0.021712193,0.013848313,0.017973926,0.017973926,0.978287807,0.986151687,0.964052149,0.982026074,10000000,9782878.066,2898.685516,54.04350579,54.04350579,0,206418.1815,3848.489988,3848.489988,0,0.708231311,1.867657274,0.037143234,0.016825448,1.411968073,0.535430142,26.92280367,59.43378222
