Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,% of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total New: I | Sym|G-0,Total New: I | Sym|G-A,Total New: I | Sym|G-B,Total New: I | Sym|G-AB,Total New: I | Asym|G-0,Total New: I | Asym|G-A,Total New: I | Asym|G-B,Total New: I | Asym|G-AB,Total New: W to 1st Tx | Sym|G-0,Total New: W to 1st Tx | Sym|G-A,Total New: W to 1st Tx | Sym|G-B,Total New: W to 1st Tx | Sym|G-AB,Total New: W to 1st Tx | Asym|G-0,Total New: W to 1st Tx | Asym|G-A,Total New: W to 1st Tx | Asym|G-B,Total New: W to 1st Tx | Asym|G-AB,Total New: W to RTx | Sym|G-0,Total New: W to RTx | Sym|G-A,Total New: W to RTx | Sym|G-B,Total New: W to RTx | Sym|G-AB,Total New: W to RTx | Asym|G-0,Total New: W to RTx | Asym|G-A,Total New: W to RTx | Asym|G-B,Total New: W to RTx | Asym|G-AB,Total New: Prob Sympt | infection with | G-0,Total New: Prob Sympt | infection with | G-A,Total New: Prob Sympt | infection with | G-B,Total New: Prob Sympt | infection with | G-AB,Total New: If R | Tx-A --> I | Sym|G-0,Total New: If F | Tx-A --> I | Sym|G-A,Total New: If R | Tx-A --> I | Sym|G-B,Total New: If F | Tx-A --> I | Sym|G-AB,Total New: If R | Tx-A --> I | Asym|G-0,Total New: If F | Tx-A --> I | Asym|G-A,Total New: If R | Tx-A --> I | Asym|G-B,Total New: If F | Tx-A --> I | Asym|G-AB,Total New: If R | Tx-B  --> I | Sym|G-0,Total New: If R | Tx-B  --> I | Sym|G-A,Total New: If F | Tx-B  --> I | Sym|G-B,Total New: If F | Tx-B  --> I | Sym|G-AB,Total New: If R | Tx-B  --> I | Asym|G-0,Total New: If R | Tx-B  --> I | Asym|G-A,Total New: If F | Tx-B  --> I | Asym|G-B,Total New: If F | Tx-B  --> I | Asym|G-AB,Total New: If R | 2nd Tx-B  --> I | Sym|G-0,Total New: If R | 2nd Tx-B  --> I | Sym|G-A,Total New: If F | 2nd Tx-B  --> I | Sym|G-B,Total New: If F | 2nd Tx-B  --> I | Sym|G-AB,Total New: If R | 2nd Tx-B  --> I | Asym|G-0,Total New: If R | 2nd Tx-B  --> I | Asym|G-A,Total New: If F | 2nd Tx-B  --> I | Asym|G-B,Total New: If F | 2nd Tx-B  --> I | Asym|G-AB,Total New: If retreat after R | Tx-A --> I | Sym|G-0,Total New: If retreat after F | Tx-A --> I | Sym|G-A,Total New: If retreat after R | Tx-A --> I | Sym|G-B,Total New: If retreat after F | Tx-A --> I | Sym|G-AB,Total New: If retreat after R | Tx-A --> I | Asym|G-0,Total New: If retreat after F | Tx-A --> I | Asym|G-A,Total New: If retreat after R | Tx-A --> I | Asym|G-B,Total New: If retreat after F | Tx-A --> I | Asym|G-AB,Total New: If retreat after R | Tx-B --> I | Sym|G-0,Total New: If retreat after R | Tx-B --> I | Sym|G-A,Total New: If retreat after F | Tx-B --> I | Sym|G-B,Total New: If retreat after F | Tx-B --> I | Sym|G-AB,Total New: If retreat after R | Tx-B --> I | Asym|G-0,Total New: If retreat after R | Tx-B --> I | Asym|G-A,Total New: If retreat after F | Tx-B --> I | Asym|G-B,Total New: If retreat after F | Tx-B --> I | Asym|G-AB,Total New: Successfully treated with A or B,Total New: Treated with 1st-line M,Total New: Treated with 2nd-line M,Total New: Death,Total: Received 1st Tx,Total: Received 1st Tx | Rst to A,Total: Received 1st Tx | Rst to B,Total: Received 1st Tx | Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx | Rst to A,Average ratio: % Received 1st Tx | Rst to B,Average ratio: % Received 1st Tx | Rst to AB,Average ratio: Annual rate of gonorrhea cases
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-26122606,339443637,34057802,26122606,1044904.24,24610135,1012821,1113804,0,25153392,1057319,1187934,0,24156217,994514,1093512,0,7169328,302790,341441,0,0,71842,177133,3,0,0,0,0,49763527,2048286,2245789,0,1788610,72801,15848,0,517357,20890,4759,0,3943395,272064,179594,0,1156159,82663,53460,0,0,71842,0,0,0,0,0,0,5,72801,0,0,0,20890,0,0,21,3,179594,0,7,0,53460,0,7780819,25945470,177136,12486064,34057802,1297304,1434953,0,33726289,26122606,10001560.05,528357.7556,14484.62477,509874.3764,20359.8776,23043.01703,0.002856829,0.052823927,0.027566661,0.040239855,0.042009269,5.9339E-09,0.039708013,0.040653045,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-3223276,2106578815,7501419,3223276,128931.04,5133154,442575,334667,1,4561750,428658,313462,1,5016644,431998,326658,1,1492930,135262,97926,0,0,113094,53559,4,0,0,0,0,9694904,834263,631474,1,1807631,114476,16066,0,543177,35583,4838,0,1156353,181698,54196,1,344102,57309,16010,0,0,113094,0,0,0,0,0,0,3,114476,0,0,2,35583,0,0,7,3,54196,1,1,1,16010,0,4111157,3169713,53563,12495096,7501419,567260,424584,1,7280870,3223276,10001396.7,98586.03362,3863.44116,93841.81749,7645.019668,5566.546533,0.005823536,0.0098588,0.039185758,0.06341948,0.075327373,3.46349E-08,0.061933391,0.075219437,7.68303E-08,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-9930648,2077092334,17872293,9930648,397225.92,13646059,605046,352264,0,9575930,437781,268617,0,13350110,592086,344702,0,3339416,152481,93498,0,0,95451,123217,5,0,0,0,0,23221989,1003080,566905,0,1889427,110190,11747,0,475631,25006,3423,0,3977030,312723,142204,0,997875,82869,34961,0,0,95451,0,0,0,0,0,0,1,110190,0,0,1,25006,0,0,23,5,142204,0,5,0,34961,0,7750690,9807426,123222,12486552,17872293,744567,438200,0,17558116,9930648,9996710.155,208655.5765,10022.31425,196534.8655,8820.854412,5444.719811,0.003516097,0.020872764,0.048003431,0.039417632,0.02532192,1.5287E-08,0.038844589,0.023825411,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-18719806,103552459,28332954,18719806,748792.24,21117674,1515432,653854,0,18064588,1328560,581186,0,20846732,1495708,645537,0,4833093,356418,155466,0,0,198127,128371,3,0,0,0,0,39182262,2781078,1193857,0,3018135,214555,23106,0,696428,46482,5841,0,3968979,542992,138892,0,920603,131329,30626,0,0,198127,0,0,0,0,0,0,1,214555,0,0,3,46482,0,0,31,3,138892,0,5,0,30626,0,9307370,18591432,128374,12488571,28332954,1852126,801003,0,27898802,18719806,10003065.4,345157.9652,8352.957697,333478.2748,22818.09252,10033.37655,0.00054939,0.034504823,0.024225809,0.065844925,0.028452994,1.59257E-09,0.065205459,0.027722695,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-1580747,1545993013,4366684,1580747,63229.88,2865579,127434,78304,0,2730277,136732,81649,0,2854556,126768,77891,0,1214945,58124,34400,0,0,44351,22762,0,0,0,0,0,5595856,237175,146446,0,1020045,50362,7306,0,436320,20978,3335,0,804266,58100,25930,0,343479,28176,10334,0,0,44351,0,0,0,0,0,0,2,50362,0,0,0,20978,0,0,1,0,25930,0,4,0,10334,0,2701020,1557985,22762,12494855,4366684,184892,112291,0,4259005,1580747,9998178.401,61212.7853,811.6741017,59888.37161,2712.06296,1616.232282,0,0.006122561,0.01292916,0.025117027,0.025649857,0,0.023775659,0.02477603,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-11670091,701123970,21174552,11670091,466803.64,17046002,930591,393473,0,11582537,647247,297070,1,16545415,903522,382050,0,3092300,171964,79301,0,0,86801,149875,4,0,0,0,0,28628539,1560535,657678,0,2078394,88033,11813,0,389975,16069,2461,0,5388160,409114,152015,0,1007192,78165,30690,0,0,86801,0,0,0,0,0,0,2,88033,0,0,0,16069,0,0,27,4,152015,0,8,1,30690,0,9365232,11520212,149879,12494126,21174552,1075486,461351,0,20885444,11670091,9997985.16,248693.5465,14512.77387,231694.8288,12690.18701,5927.899132,0.001538292,0.024874474,0.058337438,0.050455925,0.023278742,5.92354E-09,0.050235945,0.021333096,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-28525040,193048668,34485628,28525040,1141001.6,23275171,391086,929843,1,20710821,370513,847955,3,23021983,387000,919604,1,9587601,175503,393934,2,0,76697,74644,1,0,0,0,0,43985992,712011,1731772,1,1804723,90872,15774,0,736370,35410,6711,0,2135175,140060,88738,1,878438,66116,31916,2,0,76697,0,0,0,0,0,0,3,90872,0,0,0,35410,0,0,12,0,88738,1,4,1,31916,2,5783347,28450395,74645,12490022,34485628,562503,1313538,3,34233742,28525040,10002857.65,472529.1939,11861.6129,456618.9728,8084.813427,18196.84013,0.030655972,0.047236782,0.025185678,0.02064447,0.038064565,8.15008E-08,0.019684681,0.037757279,1.08619E-07,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-3490501,1296758013,7860009,3490501,139620.04,5173279,448747,293017,0,3633079,336090,227980,0,5117972,443579,289543,0,1750866,153580,104469,0,0,72974,73774,0,0,0,0,0,8806358,751467,486101,0,1388192,80597,11630,0,479351,25745,4464,0,1552913,191078,81548,0,532896,67487,27114,0,0,72974,0,0,0,0,0,0,2,80597,0,0,0,25745,0,0,6,0,81548,0,2,0,27114,0,4228001,3416727,73774,12491634,7860009,597159,394012,0,7644728,3490501,10000961.64,115057.9974,3645.533348,110489.5814,8761.890232,5972.94605,0,0.011506599,0.031456962,0.070284438,0.056435332,0,0.069814184,0.054179949,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-1432936,1111928408,4062765,1432936,57317.44,2867794,153917,142387,0,2125676,122036,110866,0,2840144,152203,140679,0,843768,45308,40663,0,0,44192,31720,1,0,0,0,0,4993470,255350,238899,0,1068054,51038,9775,0,318891,13756,2953,0,821730,64767,36764,0,244198,20270,9307,0,0,44192,0,0,0,0,0,0,1,51038,0,0,0,13756,0,0,2,0,36764,0,1,0,9307,0,2550634,1401215,31721,12496834,4062765,197511,181342,0,3951849,1432936,10003493.08,60743.43204,1579.337545,58687.11658,2949.527415,2644.571146,0.000329634,0.006073295,0.025715872,0.034904827,0.063521274,1.71575E-09,0.034560064,0.064018755,0,0
D:1.0yr| T: 6%| Obs: 0.1%,364,0.06,1,0.001,-4681494,1124059280,8779713,4681494,187259.76,6038455,503440,426390,0,5107611,443264,380514,0,5962571,496629,420730,0,1642970,138159,118654,0,0,75812,73364,1,0,0,0,0,11146066,922721,783476,0,1476132,78989,13468,0,408666,20803,3819,0,1446865,176192,76290,0,399878,49614,20496,0,0,75812,0,0,0,0,0,0,2,78989,0,0,1,20803,0,0,6,1,76290,0,0,0,20496,0,3974624,4608129,73365,12496322,8779713,634788,539384,0,8582753,4681494,9999459.408,106243.989,2756.120426,102457.0848,7695.218218,6587.408746,0.000439512,0.010625612,0.025749067,0.068647298,0.068669248,2.38134E-09,0.068419058,0.06791359,0,0
