Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-141883676,1178324825,13557184,6311836,126236.72,13557184,8667204,653540,131646,0,13437649,7192658,6311836,13504494,4874440.642,144184.1135,2122.129286,141265.8093,6954.201593,1586.924396,0.00043956,0.029579718,0.014719239,0.048196853,0.010711699,3.67717E-09,0.63932246,0.048162574,0.009486103,0,0.055627005,0.532612181
Base,364,0.05,1,5000,-122399188,1442981180,12239912,68,1.36,12239912,8939656,191113,6664,0,12168389,12214772,68,12214840,4879404.107,116009.7319,3548.403462,111742.4518,1835.19456,66.28038462,0.00032967,0.023775444,0.030584328,0.015500833,0.000597815,3.3035E-09,0.730371301,0.015311881,0.000568773,0,0.050169627,0.999994433
Base,364,0.05,1,5000,-141754219,325540571,13426496,7489259,149785.18,13426496,9708457,1672787,286156,2,13306799,5896812,7489259,13386071,4880602.352,118396.1776,4292.162308,113315.4366,14628.54505,2635.445165,0.010164835,0.024257941,0.036318113,0.122596218,0.021422953,8.93117E-08,0.723206887,0.123695875,0.020490247,1.47692E-07,0.055019073,0.440518506
Base,364,0.05,1,5000,-105774775,1185800350,9892101,6853765,137075.3,9892101,6887086,818562,92368,0,9791410,3000283,6853765,9854048,4878210.687,73051.73786,1599.280165,70871.4617,6032.462747,796.226978,0,0.014976742,0.021808465,0.081330094,0.008033765,0,0.69667838,0.081736416,0.006934851,0,0.040559627,0.304472132
Base,364,0.05,1,5000,-100170593,1053005811,9270612,7464473,149289.46,9270612,6769368,312811,477623,0,9206760,1783744,7464473,9248217,4878035.072,78481.54115,5088.087473,72848.94791,2654.147253,4031.910495,0.000164835,0.016088986,0.064818681,0.033224165,0.052444151,2.32341E-09,0.730225566,0.033199841,0.052594605,0,0.038009834,0.192874367
Base,364,0.05,1,5000,-100050516,2136071903,9202606,8024456,160489.12,9202606,6204950,752551,140940,0,9159205,1161812,8024456,9186268,4879198.13,101681.6832,4568.979286,96572.21104,8273.392637,1588.97978,0,0.020839706,0.044944868,0.080889314,0.015881755,0,0.674281539,0.081307265,0.015566822,0,0.03772127,0.126472687
Base,364,0.05,1,5000,-104696993,1097938542,9780416,6892833,137856.66,9780416,6707050,305550,79925,0,9707023,2855927,6892833,9748760,4880558.98,116985.5022,3909.685879,112501.4575,3620.998462,954.0548352,0.00032967,0.023969339,0.033436043,0.031277752,0.008437902,3.85321E-09,0.685817571,0.031566463,0.008438635,0,0.040078134,0.292952847
Base,364,0.05,1,5000,-161825975,496455921,15213818,9687795,193755.9,15213818,10389740,549705,341912,31,15081546,5474809,9687795,15162604,4877064.647,186044.8063,4027.853681,181123.5648,6714.176319,4234.366044,0.361703297,0.038146956,0.021670495,0.036419835,0.021882363,2.14369E-06,0.682979183,0.036422878,0.021619197,2.18948E-06,0.062390371,0.361073138
Base,364,0.05,1,5000,-144882185,427411932,13360194,11280245,225604.9,13360194,9470575,1484115,287567,0,13256980,2046768,11280245,13327013,4884593.735,112604.5375,5254.138956,106565.9059,12439.30599,2504.402967,0,0.023054051,0.046619665,0.110379108,0.020712754,0,0.708922851,0.111030135,0.020117056,0,0.054704633,0.153580401
Base,364,0.05,1,5000,-65567982,562971743,6041972,5148262,102965.24,6041972,4126044,236417,101792,0,6003512,879183,5148262,6027445,4878174.412,56639.17401,415.2182418,55868.99527,2223.330495,995.8393956,0,0.011610758,0.007246312,0.038448633,0.013290746,0,0.682949658,0.038431772,0.01278557,0,0.024771177,0.145863297
Base,364,0.05,1,5000,-132395163,1548791885,12576220,6632963,132659.26,12576220,8723139,620110,159538,0,12445269,5895169,6632963,12528132,4880551.366,170134.5609,6120.211978,163275.777,8356.63544,2293.232473,0,0.034858969,0.035998231,0.048907101,0.013150107,0,0.693699705,0.049100755,0.012393875,0,0.051534382,0.470554509
Base,364,0.05,1,5000,-70523529,692174376,6847310,2050429,41008.58,6847310,4360900,449200,124476,1,6804132,4780102,2050429,6830531,4880768.301,75026.24929,2390.599176,72233.35473,4898.591978,1368.560714,0.007032967,0.015372827,0.031887516,0.068506904,0.023906948,8.36961E-08,0.637167083,0.068857659,0.023790373,1.07076E-07,0.028059387,0.699814114
Base,364,0.05,1,5000,-104027480,375136697,9664319,7384290,147685.8,9664319,6480043,902063,230812,0,9595774,2255899,7384290,9640189,4875672.687,138400.2891,2922.819011,134909.8956,12880.37615,3397.80511,0.000164835,0.028385885,0.021123309,0.092842696,0.024169621,1.56463E-09,0.670537869,0.093166824,0.023543365,0,0.039643143,0.234009831
Base,364,0.05,1,5000,-142487155,1509883928,13140051,11086645,221732.9,13140051,9399779,1227447,304389,0,13058739,2022568,11086645,13109213,4878214.03,126554.2257,7314.563681,118468.0563,11722.60115,2948.378516,0,0.025942677,0.057801984,0.092469739,0.022940517,0,0.715354768,0.093262932,0.022820458,0,0.053872088,0.154285997
Base,364,0.05,1,5000,-63041849,1338335183,5992006,3121789,62435.78,5992006,4341886,481981,84194,0,5927124,2848522,3121789,5970311,4877896.048,60627.80071,3343.981813,56931.81049,4843.396978,905.5804396,0.000714286,0.012429814,0.055198301,0.085217839,0.013522685,1.01179E-08,0.724998727,0.08579567,0.012757428,0,0.024568775,0.477114509
Base,364,0.05,1,5000,-158642046,782265723,15324877,5393276,107865.52,15324877,11001678,1230591,547759,1,15226760,9897994,5393276,15291270,4880410.372,111689.9752,7397.716484,103392.2774,8903.394396,3964.924945,0.001043956,0.022885029,0.066248898,0.078885344,0.034285127,1.21964E-08,0.717922577,0.07950514,0.034547626,6.41453E-08,0.062800101,0.647297053
Base,364,0.05,1,5000,-103452344,917334830,9526521,8187134,163742.68,9526521,6928971,995869,85810,0,9460278,1314343,8187134,9501477,4878662.347,50415.10538,1623.231374,48232.39588,5224.773571,475.316044,0,0.010334366,0.032052703,0.107319927,0.007176532,0,0.727416808,0.108303346,0.006878417,0,0.03905514,0.138330388
Base,364,0.05,1,5000,-103487825,426763781,10118981,2298015,45960.3,10118981,6652644,205389,241380,0,10038604,7786162,2298015,10084177,4875706.276,60998.97703,4267.183736,56137.48291,1266.739725,1449.575055,0.017142857,0.012510915,0.069904562,0.016638226,0.026727112,2.40166E-07,0.657727537,0.016458823,0.026836507,0,0.041507366,0.772116753
Base,364,0.05,1,5000,-122812330,1350064308,12145085,1361480,27229.6,12145085,8364419,689621,122011,1,12062188,10754528,1361480,12116008,4876210.686,176115.528,3440.766758,171961.5971,9934.596758,1793.016429,0.002032967,0.036117566,0.019550733,0.056656685,0.00949669,1.21548E-08,0.688750256,0.057010991,0.009364978,8.84287E-08,0.049814248,0.887629655
Base,364,0.05,1,5000,-138346882,1784132247,13449740,3849482,76989.64,13449740,9391522,401124,353041,3,13377750,9573807,3849482,13423289,4876618.391,125264.6264,3811.678462,120663.1818,3751.118571,3257.993681,0.020549451,0.025686387,0.030495599,0.0313441,0.021916632,1.82545E-07,0.698488486,0.031105594,0.022192898,2.43839E-07,0.055159045,0.713223637
Base,364,0.05,1,5000,-151512914,1634559594,15151125,1664,33.28,15151125,10493236,1126811,4586,238,15121245,15138274,1664,15139938,4877749.814,190666.8225,1568.628956,188208.3812,14120.71176,63.20302198,3.114175824,0.039088546,0.008250233,0.07334416,0.000532632,1.53507E-05,0.692813835,0.073672132,0.000473023,1.46302E-05,0.062122958,0.999890092
Base,364,0.05,1,5000,-87600889,1391769743,8046918,7131709,142634.18,8046918,5747017,434668,129690,0,8003156,901975,7131709,8033684,4876515.758,47592.89104,962.8521429,46157.33802,2562.885659,812.8414286,0.00032967,0.009758617,0.020167837,0.048888013,0.010700826,4.24327E-09,0.714612011,0.049254087,0.01017599,0,0.032999018,0.112274145
Base,364,0.05,1,5000,-102756162,1067111675,9433677,8419392,168387.84,9433677,6554077,406454,150211,0,9388095,997827,8419392,9417219,4878469.198,50798.60753,2830.616593,47413.96198,2185.340879,840.3954396,0.001153846,0.010413638,0.055751412,0.041918025,0.01063702,1.36991E-08,0.695148271,0.042148008,0.010294121,0,0.038676827,0.105957714
Base,364,0.05,1,5000,-137854515,1283268141,13689907,955445,19108.9,13689907,8886720,755706,151657,12,13614165,12705244,955445,13660689,4880289.958,145739.9577,2159.542637,142776.5877,7998.94989,1594.923571,0.140164835,0.029861682,0.014822641,0.052476553,0.009851542,9.27256E-07,0.649233929,0.052822071,0.009970902,8.28068E-07,0.056100337,0.930058799
Base,364,0.05,1,5000,-64408799,861298521,6232361,2085189,41703.78,6232361,4223982,236947,164988,0,6196375,4135004,2085189,6220193,4879925.368,49583.65857,1031.923187,48185.5556,1881.596538,1326.095055,0.00032967,0.010161338,0.020814633,0.041988001,0.035949842,7.18661E-09,0.677928767,0.042154186,0.035657423,0,0.025543556,0.664771013
Base,364,0.05,1,5000,-68700505,180516215,6349812,5202385,104047.7,6349812,4511912,296302,414737,0,6305596,1133923,5202385,6336308,4874756.401,53993.9,2167.27989,51453.54885,2525.499176,3506.132473,0.001318681,0.011076033,0.040041974,0.047212298,0.068145611,1.67911E-08,0.71071722,0.047277362,0.068487117,0,0.026051225,0.178956421
Base,364,0.05,1,5000,-75526727,2135450301,7030984,5216887,104337.74,7030984,5117118,535448,62895,0,6965341,1791504,5216887,7008391,4882291.504,43642.07819,3865.631209,39363.43385,3310.467582,405.5407143,0.000384615,0.008940254,0.088643693,0.073238906,0.006234421,5.42465E-09,0.72825885,0.073667901,0.006018802,0,0.028805273,0.255622724
Base,364,0.05,1,5000,-102073120,1711378435,9481461,7258510,145170.2,9481461,6224608,612993,219032,0,9418890,2199553,7258510,9458063,4879877.828,128307.4609,615.5490659,127135.1302,8297.227198,3037.247088,0.000274725,0.026293176,0.004805525,0.064638927,0.023442332,2.60586E-09,0.656518304,0.064657744,0.022930084,0,0.038859191,0.232558506
Base,364,0.05,1,5000,-146474741,765020492,14517457,1300171,26003.42,14517457,10150650,789986,158538,7,14415073,13178500,1300171,14478671,4881566.337,183628.0218,4342.009945,178433.4946,9956.516209,1943.920549,0.054230769,0.037614843,0.023662361,0.053889298,0.009870786,3.03356E-07,0.699270679,0.054136123,0.010182326,4.76061E-07,0.059475325,0.910200943
Base,364,0.05,1,5000,-76723836,2050660605,7419372,2530116,50602.32,7419372,5403747,319675,67893,0,7360414,4871429,2530116,7401545,4878581.899,55585.28049,2104.153242,53045.25703,2398.108901,545.4331319,0.001318681,0.011395297,0.037829619,0.042055634,0.011109704,2.40903E-08,0.72864948,0.042213016,0.010408236,0,0.030419025,0.658163802
Base,364,0.05,1,5000,-144514283,1214971210,13314138,11372903,227458.06,13314138,9448245,536695,284958,0,13242021,1913371,11372903,13286274,4877418.404,77423.4828,4371.596099,72270.01352,3108.747747,1673.553297,0.000164835,0.015873975,0.056440924,0.039468034,0.020356027,2.62183E-09,0.709657259,0.039658917,0.020203586,0,0.054594862,0.144011105
Base,364,0.05,1,5000,-137115918,1494232146,12607687,11039048,220780.96,12607687,7889032,109063,74189,0,12561103,1548375,11039048,12587423,4879166.171,118390.0941,4152.938956,113496.8002,1041.893352,759.5979121,0,0.024264051,0.035118853,0.010167117,0.007455367,0,0.62574144,0.009939048,0.006858266,0,0.051678415,0.12300969
Base,364,0.05,1,5000,-66766128,278521093,6256867,4197458,83949.16,6256867,4134762,82145,78738,0,6191671,2032849,4197458,6230307,4877797.827,57471.89522,969.2724176,56135.07593,775.4147253,736.1480769,0.00021978,0.011782954,0.016859933,0.010040193,0.01112104,3.20544E-09,0.660983586,0.009807543,0.010949355,0,0.025655197,0.326283921
Base,364,0.05,1,5000,-93602137,1504135650,9173019,1871947,37438.94,9173019,6464775,705500,149114,22,9108089,7278744,1871947,9150691,4879058.369,119294.3351,673.4094505,118082.1395,9115.498407,1934.438022,0.361318681,0.024450334,0.005646531,0.076433774,0.016059122,3.11005E-06,0.704760335,0.076939298,0.016103352,2.43398E-06,0.037601437,0.795431077
Base,364,0.05,1,5000,-107973784,1801069721,10099731,6976474,139529.48,10099731,6281301,421896,76318,0,10013811,3084079,6976474,10060553,4878923.878,85507.41764,1076.669505,83837.62214,3573.639725,698.6331319,0.001153846,0.017526309,0.012553972,0.040582998,0.007435825,1.20171E-08,0.622059048,0.04066388,0.006893757,0,0.041401702,0.306551638
