Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: If retreat after R | Tx-A --> I | Sym|G-0,To: If retreat after F | Tx-A --> I | Sym|G-A,To: If retreat after R | Tx-A --> I | Sym|G-B,To: If retreat after F | Tx-A --> I | Sym|G-AB,To: If retreat after R | Tx-A --> I | Asym|G-0,To: If retreat after F | Tx-A --> I | Asym|G-A,To: If retreat after R | Tx-A --> I | Asym|G-B,To: If retreat after F | Tx-A --> I | Asym|G-AB,To: If retreat after R | Tx-B --> I | Sym|G-0,To: If retreat after R | Tx-B --> I | Sym|G-A,To: If retreat after F | Tx-B --> I | Sym|G-B,To: If retreat after F | Tx-B --> I | Sym|G-AB,To: If retreat after R | Tx-B --> I | Asym|G-0,To: If retreat after R | Tx-B --> I | Asym|G-A,To: If retreat after F | Tx-B --> I | Asym|G-B,To: If retreat after F | Tx-B --> I | Asym|G-AB,To: Success with 1st-A or 1st-B,To: Success with 2st-B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Sucessful A or B,Treated with M,"All A, B, M",% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Effective life of AB,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4778527,6912,154,262,0,87455,1955,3320,0,0,0,0,0,0,0,0,0,4878585,100058,7328,92730,2109,3582,0,0.020509635,0.073237522,0.021077775,0.035799236,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,167137,3314,3711,0,75314,1989,2276,0,166677,3304,3704,0,75096,1981,2269,0,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,0,2,3304,0,0,4,1981,0,0,0,0,0,0,0,0,0,0,247740,2825,0,0,139063,253741,174162,5303,5987,0,247740,250565,0,250565,0.686377054,0.020899263,0.023594926,0,0.052010516,1,1,4783890,1816,51,24,0,87566,2585,1996,0,0,10,0,0,0,0,0,0,4878648,94758,1901,92147,2646,2020,0,0.019423004,0.020061631,0.027923764,0.021317461,0,"1,0,1,0,0,1,0,1",0,1,0.679300251,0.019335777,0.019260067,0,0.052010516,1,"1,0,1,0,0,1,0,1"
0,2,161778,4091,2034,0,75896,2631,1297,0,161780,4087,2039,0,75906,2632,1301,0,0,0,0,0,0,0,0,0,0,3531,0,0,0,0,0,0,1,4087,1,0,1,2632,0,0,0,0,0,0,0,0,0,0,241023,3530,0,2,139031,247727,167903,6722,3331,0,241023,244553,2,244555,0.677774324,0.027134709,0.013446253,0,0.050772209,0.999991822,2,4784382,1807,47,16,0,87620,3405,1199,0,0,17,0,0,0,0,0,0,4879185,94803,1887,92224,3469,1215,0,0.019430089,0.019904433,0.036591669,0.01281605,0,"1,0,1,0,0,1,0,1",0,2,0.686851831,0.026596066,0.013880572,0,0.050772209,2,"1,0,1,0,0,1,0,1"
0,3,163011,5300,1160,1,75450,3413,786,0,162989,5296,1160,1,75420,3414,788,0,0,0,0,0,0,0,0,0,0,4579,0,0,0,0,0,0,2,5296,1,1,5,3414,0,0,0,0,0,0,0,0,0,0,240349,4577,0,3,139354,249121,169472,8713,1946,1,240349,244926,3,244929,0.680279864,0.034974972,0.007811465,4.01411E-06,0.05105199,0.999987752,3,4782856,1862,63,11,0,89014,4501,672,2,0,25,0,0,0,0,0,0,4879751,96895,1961,94189,4589,683,2,0.019856546,0.020238402,0.047360545,0.007048867,2.06409E-05,"1,0,1,0,0,1,0,1",0,3,0.695681364,0.033517247,0.009332072,1.74108E-05,0.05105199,3,"1,0,1,0,0,1,0,1"
0,4,164632,7062,732,5,76774,4517,476,4,164619,7053,734,5,76782,4505,476,4,0,0,0,0,0,0,0,0,0,6085,0,0,0,0,0,0,2,7053,0,5,2,4505,0,4,0,0,0,0,0,0,0,0,242607,6084,0,6,139704,254202,172431,11579,1208,9,242607,248691,6,248697,0.678322751,0.045550389,0.004752126,3.54049E-05,0.052097396,0.999975874,4,4781949,1765,110,4,0,88509,5807,404,3,0,41,0,0,0,0,0,0,4879361,97412,1920,94723,5958,408,3,0.01996409,0.019710097,0.061162896,0.004188396,3.0797E-05,"1,0,1,0,0,1,0,1",0,4,0.671380808,0.041367539,0.003034896,1.41486E-05,0.052097396,4,"1,0,1,0,0,1,0,1"
0,5,163741,9287,423,5,76184,5802,277,1,163743,9291,420,5,76191,5802,278,1,0,0,0,0,0,0,0,0,0,8050,0,0,0,0,0,0,1,9291,0,5,3,5802,0,1,0,0,0,0,0,0,0,0,240628,8049,0,6,139869,255720,173456,15089,700,6,240628,248677,6,248683,0.678304395,0.059005944,0.002737369,2.34632E-05,0.052410231,0.999975873,5,4779061,1850,128,4,0,89191,7880,282,2,0,44,0,0,0,0,0,0,4879200,100139,2026,97355,8052,286,2,0.020523651,0.020231878,0.080408233,0.00285603,1.99722E-05,"1,0,1,0,0,1,0,1",0,5,0.682735896,0.06406511,0.003035359,0,0.052410231,5,"1,0,1,0,0,1,0,1"
0,6,163950,12591,286,5,77288,7780,206,1,163958,12572,288,5,77322,7769,205,1,0,0,0,0,0,0,0,0,0,10844,0,0,0,0,0,0,3,12572,0,5,2,7769,0,1,0,0,0,0,0,0,0,0,241768,10842,0,7,139981,262107,176832,20371,492,6,241768,252610,7,252617,0.67465577,0.077720168,0.001877096,2.28914E-05,0.05372266,0.99997229,6,4777239,1801,136,1,1,88581,10163,173,2,0,49,0,0,0,0,0,0,4878891,101652,1988,98919,10348,174,3,0.020835063,0.01955692,0.101798292,0.001711722,2.95125E-05,"1,0,1,0,0,1,0,1",0,6,0.675598586,0.074747302,0.002435225,6.33857E-05,0.05372266,6,"1,0,1,0,0,1,0,1"
0,7,163312,15743,181,4,76143,10034,126,1,163310,15737,182,4,76105,10037,127,1,0,0,0,0,0,0,0,0,0,13589,0,0,0,0,0,0,6,15737,0,4,2,10037,0,1,0,0,0,0,0,0,0,0,239716,13588,0,4,139662,265544,179240,25777,307,5,239716,253304,4,253308,0.674991715,0.097072425,0.001156117,1.88293E-05,0.054435022,0.999984209,7,4773491,1802,197,2,0,88640,13107,88,2,0,68,0,0,0,0,0,0,4878183,104692,2069,101837,13372,90,2,0.021461269,0.019762733,0.127727047,0.000859665,1.91037E-05,"1,0,1,0,0,1,0,1",0,7,0.666723092,0.094592144,0.001340526,4.17612E-05,0.054435022,7,"1,0,1,0,0,1,0,1"
0,8,164759,20949,90,0,76267,13023,67,0,164735,20923,90,0,76249,13008,67,0,0,0,0,0,0,0,0,0,0,18113,0,0,0,0,0,0,6,20923,0,0,4,13008,0,0,0,0,0,0,0,0,0,0,241131,18111,0,1,139196,275155,185798,33972,157,0,241131,259242,1,259243,0.675248496,0.123464956,0.000570587,0,0.056407374,0.999996143,8,4768706,1861,243,0,0,89007,17152,62,1,0,96,0,0,0,0,0,0,4877997,109291,2200,106222,17491,62,1,0.022404893,0.020129745,0.160040625,0.000567293,9.14988E-06,"1,0,0,1,0,1,0,1",0,8,0.667581344,0.125065494,0.000643075,0,0.056407374,8,"1,0,0,1,0,1,0,1"
0,9,163201,15913,125,6,76369,11124,82,2,0,0,0,0,0,0,0,0,163192,15953,125,6,76381,11137,82,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,125,6,8,1,82,2,266645,96,0,114,138911,266822,179245,27037,207,8,266645,266741,114,266855,0.67177744,0.101329725,0.000775798,2.99825E-05,0.054694751,0.999572802,9,4777289,1820,146,0,0,88683,9527,103,1,0,0,2,0,0,0,0,0,4878384,101095,1968,98314,9673,105,1,0.020723051,0.019466838,0.095682279,0.001038627,9.89169E-06,"1,0,0,1,0,1,0,1",0,9,0.665640077,0.098758488,0.000878077,0.000130571,0.054694751,9,"1,0,0,1,0,1,0,1"
0,10,163745,8996,174,10,75982,6329,109,4,0,0,0,0,0,0,0,0,163830,9016,174,10,75986,6342,109,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,174,10,2,3,109,4,255160,0,0,169,139260,255349,172925,15325,283,14,255160,255160,169,255329,0.677210406,0.0600159,0.001108287,5.48269E-05,0.052334312,0.999338109,10,4782722,1868,79,4,0,88330,5323,164,6,0,0,1,0,0,0,0,0,4879189,96466,1952,93823,5402,169,6,0.019770909,0.020235109,0.055999005,0.001751913,6.21981E-05,"1,0,0,1,0,1,0,1",0,10,0.684729385,0.056950978,0.000502351,2.76565E-05,0.052334312,10,"1,0,0,1,0,1,0,1"
0,11,164468,4913,313,21,75902,3498,170,17,0,0,0,0,0,0,0,0,164397,4921,312,21,75900,3506,170,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,312,21,6,1,170,17,248707,0,0,297,139398,249302,169715,8411,483,38,248707,248707,297,249004,0.680760684,0.033738197,0.001937409,0.000152426,0.051097648,0.998807248,11,4783772,1821,44,3,0,89448,2849,224,20,0,0,1,0,0,0,0,0,4878933,95159,1869,92541,2893,228,20,0.01950406,0.019640812,0.030401749,0.00239599,0.000210175,"1,0,0,1,0,1,0,1",0,11,0.677251607,0.034467039,0.002601124,8.66431E-05,0.051097648,11,"1,0,0,1,0,1,0,1"
0,12,165754,2633,410,36,77224,1881,227,20,0,0,0,0,0,0,0,0,165824,2631,411,35,77246,1883,227,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,411,35,8,0,227,20,247570,0,0,390,139028,248185,168833,4514,637,56,247570,247570,390,247960,0.680270766,0.018188045,0.002566634,0.000225638,0.050860365,0.998427166,12,4784903,1822,27,6,0,90434,1514,341,25,0,0,2,1,0,0,0,0,4879733,94829,1858,92314,1541,349,26,0.019433235,0.019593162,0.016250303,0.003680309,0.000274178,"1,0,0,1,0,1,0,1",0,12,0.674137437,0.018932463,0.001908888,0,0.050860365,12,"1,0,0,1,0,1,0,1"
0,13,167146,1502,648,85,77985,1003,376,37,0,0,0,0,0,0,0,0,167086,1506,644,86,77964,1005,376,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,644,86,5,0,376,37,247547,0,0,644,139450,248782,169381,2505,1024,122,247547,247547,644,248191,0.680841058,0.010069056,0.004116053,0.000490389,0.050982049,0.997405224,13,4785435,1870,12,16,3,90269,850,536,67,0,0,2,0,0,0,0,0,4879796,94360,1903,91722,862,554,70,0.019336874,0.020167444,0.009135227,0.005871132,0.00074184,"1,0,0,1,0,1,0,1",0,13,0.675205454,0.01174339,0.004700106,0.000295871,0.050982049,13,"1,0,0,1,0,1,0,1"
0,14,166668,769,1006,106,77848,564,536,63,0,0,0,0,0,0,0,0,166721,771,1006,105,77836,567,533,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1006,105,8,0,533,63,245876,0,0,949,138840,247560,168549,1333,1542,169,245876,245876,949,246825,0.680841008,0.005384553,0.006228793,0.000682663,0.050727502,0.996155171,14,4786699,1751,6,17,1,89694,418,838,70,0,0,5,0,0,0,0,0,4880193,93493,1780,91020,424,860,71,0.019157644,0.019038859,0.004535099,0.00919855,0.000759415,"1,0,0,1,0,1,0,1",0,14,0.685497037,0.004886974,0.005223136,0.000136921,0.050727502,14,"1,0,0,1,0,1,0,1"
0,15,166476,375,1533,121,77456,266,819,84,0,0,0,0,0,0,0,0,166387,377,1534,122,77467,265,820,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1534,122,8,0,820,84,244480,0,0,1425,138752,247130,168505,641,2352,205,244480,244480,1425,245905,0.681847611,0.002593777,0.009517258,0.000829523,0.050637409,0.994205079,15,4785735,1865,3,13,3,90376,232,1270,106,0,0,7,0,0,0,0,0,4880384,94642,1891,91984,235,1290,109,0.019392327,0.019980558,0.002483041,0.013630312,0.001151709,"1,0,0,1,0,1,0,1",0,15,0.671833467,0.003163325,0.009024282,0.000625948,0.050637409,15,"1,0,0,1,0,1,0,1"
0,16,168371,209,2496,208,77588,151,1433,108,0,0,0,0,0,0,0,0,168418,209,2493,207,77585,152,1430,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2493,207,7,0,1430,108,246347,0,0,2327,139067,250564,171284,360,3929,316,246347,246347,2327,248674,0.683593812,0.001436759,0.015680625,0.001261155,0.051338454,0.990642367,16,4784904,1833,1,29,4,90769,162,2009,164,0,0,16,1,0,0,0,0,4880630,95717,1884,93104,163,2054,169,0.019611608,0.019683024,0.001702937,0.021459093,0.001765622,"1,0,0,1,0,1,0,1",0,16,0.685452162,0.000547565,0.017584528,0.00133195,0.051338454,16,"1,0,0,1,0,1,0,1"
0,17,167441,170,3707,288,77792,114,2096,162,0,0,0,0,0,0,0,0,167428,169,3703,288,77788,114,2091,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3703,288,15,0,2091,162,245476,0,0,3440,139967,251770,171606,284,5803,450,245476,245476,3440,248916,0.681598284,0.001128014,0.023048814,0.001787346,0.051589877,0.986180077,17,4783432,1906,2,61,3,90678,125,3003,233,0,0,17,0,0,0,0,0,4880221,96784,1989,94039,127,3081,236,0.019831889,0.020550918,0.0013122,0.031833774,0.00243842,"1,0,0,1,0,1,0,1",0,17,0.681687623,0.000877001,0.02295139,0.002555161,0.051589877,17,"1,0,0,1,0,1,0,1"
0,18,167614,114,5607,370,78736,66,3214,218,0,0,0,0,0,0,0,0,167609,115,5604,370,78766,66,3208,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5604,370,1,0,3208,216,246538,0,0,5185,139459,255939,173705,180,8821,588,246538,246538,5185,251723,0.678696877,0.000703293,0.034465244,0.002297422,0.05244729,0.979401962,18,4781412,1902,0,54,4,90989,82,4410,302,0,0,18,1,0,0,0,0,4879928,98503,1979,95783,82,4482,307,0.020185339,0.020090759,0.000832462,0.045501152,0.003116656,"1,0,0,1,0,1,0,1",0,18,0.667739006,0.000238782,0.029906051,0.002330714,0.05244729,18,"1,0,0,1,0,1,0,1"
0,19,168095,96,8160,561,78636,59,4694,317,0,0,0,0,0,0,0,0,168084,96,8146,562,78605,59,4692,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8146,562,8,0,4692,319,246827,0,0,7473,138925,260618,176912,155,12854,878,246827,246827,7473,254300,0.678817273,0.00059474,0.049321229,0.003368915,0.0534079,0.970613449,19,4778095,1910,0,106,9,91608,62,6662,451,0,0,34,0,0,0,0,0,4879765,101638,2059,98783,62,6802,460,0.020828462,0.020258171,0.000610008,0.066923788,0.004525866,"1,0,0,1,0,1,0,1",0,19,0.681611759,0.000697946,0.05293621,0.002123762,0.0534079,19,"1,0,0,1,0,1,0,1"
0,20,170967,46,12471,820,79334,40,6895,443,0,0,0,0,0,0,0,0,170993,46,12453,818,79350,40,6896,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12453,818,11,0,6896,442,250410,0,0,11350,139249,271016,184304,86,19366,1263,250410,250410,11350,261760,0.68004841,0.000317324,0.071457036,0.004660241,0.055534791,0.95663967,20,4774154,1883,0,172,9,92643,19,9689,657,0,0,53,8,0,0,0,0,4880112,105907,2125,103008,19,9914,674,0.021701756,0.020064774,0.000179403,0.093610432,0.006364074,"1,0,0,1,0,1,0,1",0,20,0.685750357,0.000491672,0.076806499,0.004029407,0.055534791,20,"1,0,0,1,0,1,0,1"
0,21,171273,11,17670,1184,80126,16,10178,663,0,0,0,0,0,0,0,0,171199,11,17657,1177,80091,16,10150,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,17657,1177,7,0,10150,662,251301,0,0,16257,139555,281121,190138,27,27848,1847,251301,251301,16257,267558,0.676356444,9.60441E-05,0.099060547,0.006570125,0.057608993,0.939239342,21,4769091,1951,0,266,14,92469,10,13980,954,0,0,91,10,0,0,0,0,4879811,110677,2332,107413,10,14337,978,0.022680592,0.021070322,9.0353E-05,0.129539109,0.008836524,"1,0,0,1,0,1,0,1",0,21,0.675830189,0,0.098037026,0.006924782,0.057608993,21,"1,0,0,1,0,1,0,1"
0,22,169985,10,25419,1644,79398,7,14684,954,0,0,0,0,0,0,0,0,170075,10,25406,1650,79426,7,14671,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,25406,1650,8,0,14671,954,249502,0,0,23436,139370,292101,197058,17,40103,2598,249502,249502,23436,272938,0.674622819,5.8199E-05,0.137291553,0.008894184,0.05985247,0.914134346,22,4763666,1919,0,326,19,91455,6,20645,1263,0,0,128,5,0,0,0,0,4880350,116600,2397,113369,6,21099,1287,0.023891729,0.020557461,5.1458E-05,0.180951973,0.011037736,"1,0,0,0,1,0,1,1",0,22,0.686658197,9.47055E-05,0.144123611,0.010586919,0.05985247,22,"1,0,0,0,1,0,1,1"
0,23,168314,6,21521,1402,79065,9,14232,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285412,133,139379,285373,191243,15,35753,2226,285412,0,285545,285545,0.670150995,5.25628E-05,0.125285153,0.007800317,0.058465841,0,23,4773839,1909,0,183,11,90803,4,12584,893,0,0,0,0,0,0,0,0,4881021,107182,2103,104284,4,12767,904,0.02195893,0.019620832,3.73197E-05,0.11911515,0.008434252,"1,0,0,0,1,0,1,1",0,23,0.671018084,5.64361E-05,0.127398702,0.006506073,0.058465841,23,"1,0,0,0,1,0,1,1"
0,24,168176,7,13156,929,78551,3,8649,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270105,0,139011,270058,182268,10,21805,1516,270105,0,270105,270105,0.674921683,3.70291E-05,0.080741915,0.005613609,0.055325107,0,24,4779630,1915,0,121,7,90782,6,7559,524,0,0,0,0,0,0,0,0,4881292,101662,2043,98871,6,7680,531,0.020826863,0.020096004,5.90191E-05,0.075544451,0.005223191,"1,0,0,0,1,0,1,1",0,24,0.674905017,0,0.08235616,0.006515461,0.055325107,24,"1,0,0,0,1,0,1,1"
0,25,168567,11,7985,583,77596,3,5188,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260296,0,140120,260318,177146,14,13173,968,260296,0,260296,260296,0.680498467,5.37804E-05,0.050603493,0.003718529,0.053338453,0,25,4781736,1868,0,62,4,91032,9,4650,363,0,0,0,0,0,0,0,0,4880494,98758,1934,96054,9,4712,367,0.020235247,0.019583224,9.11319E-05,0.04771259,0.003716155,"1,0,0,0,1,0,1,1",0,25,0.687672984,7.11096E-05,0.04745244,0.003296749,0.053338453,25,"1,0,0,0,1,0,1,1"
0,26,168473,6,4829,355,78409,7,3222,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255557,0,139059,255540,173663,13,8051,594,255557,0,255557,255557,0.679592236,5.08727E-05,0.031505831,0.002324489,0.05235423,0,26,4784451,1916,0,50,4,90661,3,2950,193,0,0,0,0,0,0,0,0,4880981,96530,1970,93807,3,3000,197,0.019776762,0.020408163,3.10784E-05,0.031078421,0.002040816,"1,0,0,0,1,0,1,1",0,26,0.686257264,0,0.032033887,0.002958207,0.05235423,26,"1,0,0,0,1,0,1,1"
0,27,169425,7,2983,208,78916,3,1951,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253615,0,139630,253620,172623,10,4934,335,253615,0,253615,253615,0.680636385,3.94291E-05,0.019454302,0.001320874,0.051960142,0,27,4784790,1954,0,33,2,91684,2,1727,99,0,0,0,0,0,0,0,0,4881049,96259,1989,93512,2,1760,101,0.019720966,0.020663003,2.07773E-05,0.018284005,0.001049253,"1,0,0,0,1,0,1,1",0,27,0.675032589,0,0.016692575,0.000696656,0.051960142,27,"1,0,0,0,1,0,1,1"
0,28,169674,0,1742,103,79058,1,1172,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251815,0,139524,251822,171519,1,2914,175,251815,0,251815,251815,0.681112055,3.97106E-06,0.011571666,0.000694935,0.051603419,0,28,4783758,1936,0,14,0,92343,0,1060,72,0,0,0,0,0,0,0,0,4879948,96190,1950,93475,0,1074,72,0.019711276,0.020272378,0,0.011165402,0.000748519,"1,0,0,0,1,0,1,1",0,28,0.678057618,1.66629E-05,0.013659695,0.001136991,0.051603419,28,"1,0,0,0,1,0,1,1"
0,29,169897,0,1164,63,79439,0,743,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251373,0,139701,251342,171124,0,1907,99,251373,0,251373,251373,0.680841244,0,0.007587272,0.000393886,0.051509258,0,29,4783940,1931,0,12,0,92254,0,633,46,0,0,0,0,0,0,0,0,4879550,95610,1943,92933,0,645,46,0.01959402,0.020322142,0,0.006746156,0.000481121,"1,0,0,0,1,0,1,1",0,29,0.681937541,0,0.008293851,0.000222462,0.051509258,29,"1,0,0,0,1,0,1,1"
0,30,171606,0,655,46,79604,0,438,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252394,0,138792,252377,172307,0,1093,74,252394,0,252394,252394,0.682736541,0,0.004330823,0.000293212,0.051719047,0,30,4783660,1862,0,4,0,93109,0,389,28,0,0,0,0,0,0,0,0,4879769,96109,1866,93526,0,393,28,0.0196954,0.019415455,0,0.004089107,0.000291336,"1,0,0,0,1,0,1,1",0,30,0.673802261,0,0.002954525,0.000577824,0.051719047,30,"1,0,0,0,1,0,1,1"
0,31,171421,0,382,36,80467,0,257,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252531,0,139179,252583,171839,0,639,56,252531,0,252531,252531,0.680326863,0,0.002529861,0.000221709,0.051759384,0,31,4783928,1895,0,4,1,93096,0,230,23,0,0,0,0,0,0,0,0,4879946,96018,1900,93349,0,234,24,0.019676037,0.019787956,0,0.002437043,0.000249953,"1,0,0,0,1,0,1,1",0,31,0.684102088,0,0.001719014,0.000620612,0.051759384,31,"1,0,0,0,1,0,1,1"
0,32,173368,0,219,28,80782,0,141,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254556,0,138811,254561,173615,0,360,51,254556,0,254556,254556,0.682017277,0,0.001414199,0.000200345,0.052155557,0,32,4783384,2001,0,2,0,94514,0,115,13,0,0,0,0,0,0,0,0,4880803,97419,2003,94642,0,117,13,0.019959625,0.020560671,0,0.001200998,0.000133444,"1,0,0,0,1,0,1,1",0,32,0.700634365,0,0.001766723,0.000409525,0.052155557,32,"1,0,0,0,1,0,1,1"
0,33,174066,0,117,19,81387,0,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255654,0,138832,255656,174202,0,175,28,255654,0,255654,255654,0.681392183,0,0.000684514,0.000109522,0.05236289,0,33,4785841,1858,0,2,0,93832,0,62,18,0,0,0,0,0,0,0,0,4882389,96548,1860,93912,0,64,18,0.019774746,0.019265029,0,0.000662883,0.000186436,"1,0,0,0,1,0,1,1",0,33,0.682941039,0,0.001039402,0.000164265,0.05236289,33,"1,0,0,0,1,0,1,1"
0,34,173356,0,57,21,80872,0,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254369,0,139514,254358,173434,0,98,32,254369,0,254369,254369,0.681849991,0,0.000385284,0.000125807,0.052096151,0,34,4785100,1966,0,0,0,94602,0,28,11,0,0,0,0,0,0,0,0,4882472,97372,1966,94641,0,28,11,0.019943176,0.020190609,0,0.000287557,0.000112969,"1,0,0,0,1,0,1,1",0,34,0.688250314,0,0.000440649,0.000280691,0.052096151,34,"1,0,0,0,1,0,1,1"
