Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0,-2653068.662,368834566,7688119.273,2653068.662,103112.8253,14258321,9776359,129745,150380,0,14115998,7476047,10004812.16,193593.0104,4374.779066,188380.9433,1855.273297,2178.176374,0,0.01935055,0.022584305,0.008450589,0.010991969,0,0.685732887,0.008046908,0.01032086,0,0
Base,364,0.05,1,0,-14576.03699,497248093,9210759.354,14576.03699,566.5048845,18124066,12221506,183254,96989,0,17901668,55185,9995770.694,248998.0663,5998.378022,241935.4124,2954.333242,1519.946154,0,0.024910464,0.024088974,0.012168009,0.005821388,0,0.67431171,0.010394118,0.005110086,0,0
Base,364,0.05,1,0,-4716804.29,312313552,8101184.07,4716804.29,183320.9309,15204617,10607589,114144,163862,0,15070063,11191908,9995925.785,195969.6186,1891.780659,193184.9162,1504.57522,2129.836484,0.014395604,0.019604805,0.009646348,0.006850255,0.010219859,6.49854E-08,0.697686008,0.00669331,0.010137464,0,0
Base,364,0.05,1,0,-1825819.924,433402649,7500536.441,1825819.924,70961.3941,13736356,9313956,213809,128954,1,13603852,5619772,10004071.92,180323.0915,7237.391703,172279.0073,2954.91,1840.121264,0.01043956,0.018025345,0.040155662,0.014558345,0.010479614,5.08743E-08,0.678167481,0.013855384,0.0096437,6.24869E-08,0
Base,364,0.05,1,0,-51.26299984,1316010029,8741343.998,51.26299984,1.992361835,16915858,11818252,670846,431,5,16848803,112,10001190.18,235242.9111,1167.013132,233082.6881,9237.138407,6.826648352,0.004945055,0.02352153,0.004962032,0.038996273,2.99071E-05,2.335E-08,0.698652066,0.039400413,2.60375E-05,2.93111E-07,0
Base,364,0.05,1,0,-986378.0988,1621184805,8148110.514,986378.0988,38336.07252,15161079,10515646,184796,176844,0,14941164,3586510,10007393.04,205418.0042,2853.012033,201674.6423,2764.711374,2510.832857,0.001923077,0.020527822,0.013878264,0.012481758,0.012915369,9.03131E-09,0.693631994,0.011328103,0.012306765,0,0
Base,364,0.05,1,0,-1.062007048,1356694999,9301052.288,1.062007048,0.041275429,18213762,12077490,213260,14817,0,17999228,2,10003673.03,234402.6515,6822.598516,226510.5846,2771.404945,199.3967582,0.000494505,0.023431308,0.029107543,0.011929388,0.000912453,2.53879E-09,0.663089813,0.011814357,0.000874986,0,0
Base,364,0.05,1,0,-0.900922212,24986322,8042964.826,0.900922212,0.035014787,15192979,10429024,115538,34415,1,15076463,1,9997267.066,214319.9715,3454.885934,209972.9856,1722.291264,498.3592857,0.018901099,0.021437824,0.016118861,0.007862955,0.002145258,8.0517E-08,0.686471542,0.007445141,0.002095365,5.92038E-08,0
Base,364,0.05,1,0,0,1133763999,9158687.543,0,0,17776705,11659971,21109,8141,0,17754504,0,9999542.238,234763.5007,8341.84044,225377.8308,303.3181319,124.2003297,0,0.023477367,0.035533101,0.001316551,0.000535186,0,0.655907721,0.00122272,0.000471922,0,0
Base,364,0.05,1,0,0,575455818,9493738.905,0,0,18744241,13076067,13173,13350,0,18729749,0,10007159.91,257498.6796,8977.180879,247420.8577,202.3001648,187.686044,0,0.025730803,0.034863469,0.000873098,0.000811223,0,0.69759442,0.000781621,0.000793538,0,0
Base,364,0.05,1,0,-0.69740297,1276513213,9354057.64,0.69740297,0.027104911,18320992,12112865,101754,119,0,18217971,2,10006090.88,252603.4143,8458.361154,243069.2242,1646.936374,1.861098901,0.00032967,0.025244565,0.033484617,0.006304954,7.75947E-06,1.71683E-09,0.661155106,0.005380246,6.80092E-06,0,0
Base,364,0.05,1,0,-2378418.621,130818337,7965724.517,2378418.621,92438.41571,14670245,9920235,152314,175000,3,14514586,6957530,10002779.95,200568.9373,4563.550495,195143.9055,2345.444505,2486.692692,0.041153846,0.020051454,0.022753551,0.010478801,0.012639094,1.86798E-07,0.676347314,0.009328854,0.012152969,1.84237E-07,0
Base,364,0.05,1,0,0,1703938237,8265574.993,0,0,15676696,11070914,59612,18351,0,15616030,0,10008669.54,219395.7735,2813.938187,215661.1826,883.5493407,264.9099451,0,0.021921264,0.012827118,0.003897766,0.001108653,0,0.706219053,0.003682437,0.001076705,0,0
Base,364,0.05,1,0,0,349062121,8029458.034,0,0,15079874,10328428,149475,37192,0,14929479,0,10002505.29,201834.6308,3483.772253,197465.2418,2289.529066,514.8095604,0,0.020178523,0.017257812,0.011072856,0.002271553,0,0.684941977,0.009682453,0.002203064,0,0
Base,364,0.05,1,0,0,1670358001,8702881.443,0,0,16724539,11931393,62366,943,0,16660996,0,10007687.96,234798.9621,5908.07956,227908.786,849.4947802,15.64307692,0,0.023462042,0.025163325,0.003608518,6.30475E-05,0,0.71340696,0.003719183,5.36593E-05,0,0
