Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
55,1184311001,0,1,-1,1000,0.05,0.05,1,0.81197363,0.614572889,0.594388715,0.343593074,0.343593074,0.343593074,0.343593074,1.49765E-05,9.69061E-06,0.832115003,0.832115003,0,2.747184783,2.230641602,1.688345288,1.632895634,2.747184783,2.230641602,1.688345288,1.632895634,0.027023381,0.002040861,0.025300967,0.025300967,0.972976619,0.997959139,0.949398067,0.974699033,10000000,9729766.192,523.602271,13.95372932,13.95372932,0,256035.8526,6823.222859,6823.222859,0,0.734225171,2.547036186,0.00481427,0.029936708,1.361980002,0.392613189,207.7158273,33.40380592
56,1364039047,0,1,-1,1000,0.05,0.05,1,0.744258806,0.59998003,0.559397406,0.330668703,0.330668703,0.330668703,0.330668703,1.19549E-05,5.9868E-06,0.822336851,0.822336851,0,3.38348615,2.518189363,2.030024123,1.892713377,3.38348615,2.518189363,2.030024123,1.892713377,0.025531053,0.006773011,0.013897566,0.013897566,0.974468947,0.993226989,0.972204867,0.986102434,10000000,9744689.472,1681.157174,24.03196525,24.03196525,0,246532.9804,3524.163063,3524.163063,0,0.565748628,2.03102098,0.016777081,0.007220127,1.767569464,0.492363205,59.60512574,138.5017249
57,397305594,0,1,-1,1000,0.05,0.05,1,0.958530296,0.80333793,0.513741748,0.405739729,0.405739729,0.405739729,0.405739729,1.03943E-05,7.02478E-06,0.924050627,0.924050627,0,2.429110573,2.328376076,1.951396659,1.247935513,2.429110573,2.328376076,1.951396659,1.247935513,0.026425287,0.015317093,0.014189959,0.014189959,0.973574713,0.984682907,0.971620082,0.985810041,10000000,9735747.133,3932.715464,57.43507307,57.43507307,0,252820.6771,3692.302225,3692.302225,0,0.986519228,2.271106637,0.02119289,0.003293725,1.013664986,0.440313979,47.18563582,303.6076311
58,1410705001,0,1,-1,1000,0.05,0.05,1,0.525007423,0.520398062,0.918009908,0.224412407,0.224412407,0.224412407,0.224412407,9.8054E-06,1.3005E-05,0.972616746,0.972616746,0,4.472012122,2.347839558,2.327226441,4.105351435,4.472012122,2.347839558,2.327226441,4.105351435,0.025528447,0.007391801,0.01384157,0.01384157,0.974471553,0.992608199,0.97231686,0.98615843,10000000,9744715.531,1834.773572,26.11920899,26.11920899,0,246382.6193,3507.418693,3507.418693,0,0.335486084,1.974155856,0.028162971,0.018312369,2.980749566,0.506545619,35.50761702,54.6079002
59,1635436114,0,1,-1,1000,0.05,0.05,1,0.925261676,0.672008708,0.572315767,0.206355783,0.206355783,0.206355783,0.206355783,8.59313E-06,1.42099E-05,0.855225933,0.855225933,0,5.388624473,4.985887712,3.621202567,3.083994746,5.388624473,4.985887712,3.621202567,3.083994746,0.022012787,0.006466652,0.037019426,0.037019426,0.977987213,0.993533348,0.925961148,0.962980574,10000000,9779872.128,1318.096814,52.69679804,52.69679804,0,202511.7607,8096.310712,8096.310712,0,0.271744625,1.665897312,0.015345167,0.009916679,3.679925598,0.600277096,65.16709651,100.840212
60,1233016017,0,1,-1,1000,0.05,0.05,1,0.650090502,0.996675977,0.669109528,0.306419013,0.306419013,0.306419013,0.306419013,1.12242E-05,7.93146E-06,0.950564599,0.950564599,0,3.657930756,2.377986043,3.64577171,2.447556323,3.657930756,2.377986043,3.64577171,2.447556323,0.022330557,0.007608183,0.02136666,0.02136666,0.977669443,0.992391817,0.957266681,0.97863334,10000000,9776694.435,1626.347767,36.30087602,36.30087602,0,212136.6293,4734.993114,4734.993114,0,0.51345465,1.677366346,0.025462059,0.004383927,1.947591673,0.596172686,39.27412099,228.1059859
61,424545026,0,1,-1,1000,0.05,0.05,1,0.644582364,0.573390764,0.950569395,0.371521425,0.371521425,0.371521425,0.371521425,1.06099E-05,1.27968E-05,0.971471344,0.971471344,0,2.505042606,1.614706286,1.436368294,2.381216835,2.505042606,1.614706286,1.436368294,2.381216835,0.023119297,0.016338394,0.007713827,0.007713827,0.976880703,0.983661606,0.984572347,0.992286173,10000000,9768807.026,3719.04665,29.13760641,29.13760641,0,223907.1626,1754.244942,1754.244942,0,0.99762199,1.98744753,0.020080742,0.024077702,1.002383679,0.503157937,49.79895647,41.53220205
62,1482941085,0,1,-1,1000,0.05,0.05,1,0.807569124,0.849826606,0.978493735,0.349404732,0.349404732,0.349404732,0.349404732,1.19312E-05,8.50716E-06,0.848545679,0.848545679,0,3.319946728,2.681086469,2.821379059,3.248547074,3.319946728,2.681086469,2.821379059,3.248547074,0.022527413,0.019253756,0.004964075,0.004964075,0.977472587,0.980746244,0.990071851,0.995035925,10000000,9774725.866,4294.311175,21.53104439,21.53104439,0,218743.2679,1096.74656,1096.74656,0,0.621704505,1.725538696,0.030507059,0.01625239,1.608481188,0.579529165,32.77929924,61.52941145
63,534906364,0,1,-1,1000,0.05,0.05,1,0.750085457,0.762043438,0.537097591,0.374992103,0.374992103,0.374992103,0.374992103,1.01266E-05,9.21982E-06,0.898914773,0.898914773,0,3.389832929,2.542664381,2.583199939,1.820671099,3.389832929,2.542664381,2.583199939,1.820671099,0.021076675,0.01790024,0.016742898,0.016742898,0.978923325,0.98209976,0.966514204,0.983257102,10000000,9789233.25,3646.441082,63.16719585,63.16719585,0,200062.6162,3465.679048,3465.679048,0,0.629452237,1.975893394,0.020634449,0.034026866,1.588682892,0.506100179,48.46264728,29.38854242
64,347714118,0,1,-1,1000,0.05,0.05,1,0.678821903,0.597124577,0.61604422,0.395655027,0.395655027,0.395655027,0.395655027,1.3109E-05,1.31521E-05,0.958658191,0.958658191,0,2.697657174,1.831228776,1.610837399,1.661876109,2.697657174,1.831228776,1.610837399,1.661876109,0.025949923,0.001586338,0.034515648,0.034515648,0.974050077,0.998413662,0.930968704,0.965484352,10000000,9740500.772,383.2364484,14.2084844,14.2084844,0,241202.4238,8942.575505,8942.575505,0,0.862233163,2.45722427,0.005599183,0.003477976,1.159779098,0.40696326,178.5974896,287.5235346
