Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total New: I | Sym|G-0,Total New: I | Sym|G-A,Total New: I | Sym|G-B,Total New: I | Sym|G-AB,Total New: I | Asym|G-0,Total New: I | Asym|G-A,Total New: I | Asym|G-B,Total New: I | Asym|G-AB,Total New: W to 1st Tx | Sym|G-0,Total New: W to 1st Tx | Sym|G-A,Total New: W to 1st Tx | Sym|G-B,Total New: W to 1st Tx | Sym|G-AB,Total New: W to 1st Tx | Asym|G-0,Total New: W to 1st Tx | Asym|G-A,Total New: W to 1st Tx | Asym|G-B,Total New: W to 1st Tx | Asym|G-AB,Total New: W to RTx | Sym|G-0,Total New: W to RTx | Sym|G-A,Total New: W to RTx | Sym|G-B,Total New: W to RTx | Sym|G-AB,Total New: W to RTx | Asym|G-0,Total New: W to RTx | Asym|G-A,Total New: W to RTx | Asym|G-B,Total New: W to RTx | Asym|G-AB,Total New: Prob Sympt | infection with | G-0,Total New: Prob Sympt | infection with | G-A,Total New: Prob Sympt | infection with | G-B,Total New: Prob Sympt | infection with | G-AB,Total New: If R | Tx-A --> I | Sym|G-0,Total New: If F | Tx-A --> I | Sym|G-A,Total New: If R | Tx-A --> I | Sym|G-B,Total New: If F | Tx-A --> I | Sym|G-AB,Total New: If R | Tx-A --> I | Asym|G-0,Total New: If F | Tx-A --> I | Asym|G-A,Total New: If R | Tx-A --> I | Asym|G-B,Total New: If F | Tx-A --> I | Asym|G-AB,Total New: If R | Tx-B  --> I | Sym|G-0,Total New: If R | Tx-B  --> I | Sym|G-A,Total New: If F | Tx-B  --> I | Sym|G-B,Total New: If F | Tx-B  --> I | Sym|G-AB,Total New: If R | Tx-B  --> I | Asym|G-0,Total New: If R | Tx-B  --> I | Asym|G-A,Total New: If F | Tx-B  --> I | Asym|G-B,Total New: If F | Tx-B  --> I | Asym|G-AB,Total New: If R | 2nd Tx-B  --> I | Sym|G-0,Total New: If R | 2nd Tx-B  --> I | Sym|G-A,Total New: If F | 2nd Tx-B  --> I | Sym|G-B,Total New: If F | 2nd Tx-B  --> I | Sym|G-AB,Total New: If R | 2nd Tx-B  --> I | Asym|G-0,Total New: If R | 2nd Tx-B  --> I | Asym|G-A,Total New: If F | 2nd Tx-B  --> I | Asym|G-B,Total New: If F | 2nd Tx-B  --> I | Asym|G-AB,Total New: If retreat after R | Tx-A --> I | Sym|G-0,Total New: If retreat after F | Tx-A --> I | Sym|G-A,Total New: If retreat after R | Tx-A --> I | Sym|G-B,Total New: If retreat after F | Tx-A --> I | Sym|G-AB,Total New: If retreat after R | Tx-A --> I | Asym|G-0,Total New: If retreat after F | Tx-A --> I | Asym|G-A,Total New: If retreat after R | Tx-A --> I | Asym|G-B,Total New: If retreat after F | Tx-A --> I | Asym|G-AB,Total New: If retreat after R | Tx-B --> I | Sym|G-0,Total New: If retreat after R | Tx-B --> I | Sym|G-A,Total New: If retreat after F | Tx-B --> I | Sym|G-B,Total New: If retreat after F | Tx-B --> I | Sym|G-AB,Total New: If retreat after R | Tx-B --> I | Asym|G-0,Total New: If retreat after R | Tx-B --> I | Asym|G-A,Total New: If retreat after F | Tx-B --> I | Asym|G-B,Total New: If retreat after F | Tx-B --> I | Asym|G-AB,Total New: Successfully treated with A or B,Total New: Treated with 1st-line M,Total New: Treated with 2nd-line M,Total New: Death,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0,-5460004.725,1684427931,8735006.176,5460004.725,212205.7833,10534361,49883,87472,0,29606266,144668,252583,0,10316014,48885,85761,0,6531521,33611,57784,0,0,23719,43668,1,0,0,0,0,40140627,171880,298279,0,564623,28545,9847,0,356657,17831,7535,0,1737648,20150,52706,0,1097678,15625,32705,0,0,23719,0,0,0,0,0,0,10,28545,0,0,4,17831,0,0,20,0,52706,0,13,0,32705,0,3809716,13130983,43669,25008578,17073576,10450660,82496,143545,0,16940699,13174652,10004110.74,229315.8629,2476.931044,225836.451,1171.814231,2000.767527,0.000274725,0.022922059,0.010808858,0.005315141,0.00899212,1.47042E-09,0.612092888,0.005030214,0.008668555,0,0
Base,364,0.05,1,0,-2013637.823,2104042124,5308900.556,2013637.823,78261.02963,5623004,262063,69433,0,10787738,515462,155843,2,5395358,251652,66678,0,2872249,135919,41590,0,0,24116,39100,1,0,0,0,0,16410742,764072,199629,1,610147,24661,5134,0,330017,12895,3303,0,1831019,122651,40030,0,978452,66616,24681,0,0,24116,0,0,0,0,0,0,9,24661,0,0,4,12895,0,0,25,1,40030,0,11,1,24681,0,3947288,4713585,39101,25002535,8763446,5713688,387571,108268,0,8660873,4752686,10003425.84,120631.4093,3444.069451,116672.5702,5352.624341,1656.657363,0.014340659,0.012060085,0.028560789,0.039333251,0.010765774,7.20021E-08,0.652645346,0.039232249,0.00971517,0,0
Base,364,0.05,1,0,-2503464.876,134740895,7084172.981,2503464.876,97298.40022,8900837,92104,85968,0,26797471,292905,281754,0,8248093,85377,79789,0,4261956,47130,45404,0,0,35659,47762,2,0,0,0,0,35698308,363703,338381,0,911511,37020,7803,0,475558,19931,4680,0,2888532,48111,49447,0,1496572,27053,27601,0,0,35659,0,0,0,0,0,0,6,37020,0,0,8,19931,0,0,44,1,49447,0,11,0,27601,0,5859750,6773301,47764,25003717,12767749,8413259,132507,125193,0,12633051,6821065,10006425.55,160796.671,4724.702253,155322.1107,1748.125824,1682.435,0.000164835,0.016070464,0.029373523,0.008308946,0.010022705,1.26433E-09,0.659153177,0.007966868,0.009410587,0,0
Base,364,0.05,1,0,-3888660.379,1170002411,6784777.639,3888660.379,151134.7084,8772038,268898,79253,0,53456479,1646635,503429,0,7906669,242574,71554,0,4329250,133728,41121,0,0,31778,37494,0,0,0,0,0,62228517,1897510,560013,0,565020,32540,7187,0,311916,17250,4041,0,1472899,115868,38375,0,809073,64133,21760,0,0,31778,0,0,0,0,0,0,8,32540,0,0,3,17250,0,0,17,0,38375,0,11,0,21760,0,3350098,9264123,37494,25002488,12724896,8220797,376302,112675,0,12614221,9301617,10004451.32,198090.597,3674.726703,193668.5022,5877.702308,1823.900385,0,0.019800884,0.018523888,0.027936589,0.008711793,0,0.646090434,0.027864935,0.008401883,0,0
Base,364,0.05,1,0,-2415203.602,231227463,6917651.728,2415203.602,93868.08216,7886671,424245,85692,2,18122753,987862,212475,5,7549393,405988,82000,2,4335408,234214,50391,1,0,23694,42397,7,0,0,0,0,26009424,1395477,265605,4,956573,26328,2488,0,554661,13981,1654,0,2629468,168940,47212,2,1510222,98565,27706,1,0,23694,0,0,0,0,0,0,11,26328,0,0,4,13981,0,0,25,5,47212,2,16,2,27706,1,5922508,6619011,42404,25002415,12657397,8037383,640202,132391,3,12541519,6661415,10006126.35,196355.4559,4872.944451,190739.1875,9912.701538,2166.564505,0.026923077,0.019624765,0.024812435,0.050577867,0.010598231,1.32697E-07,0.635079903,0.05063319,0.010063612,2.24095E-07,0
Base,364,0.05,1,0,-4119398.295,346334927,6761559.405,4119398.295,160102.4515,8009818,70406,84677,222,12931012,120876,147736,377,7808158,68672,82560,220,4208675,41338,50601,127,0,25054,34047,93,0,0,0,0,20940830,168970,201622,533,596188,30786,11279,0,325489,16574,7663,0,1276444,33912,41759,111,690070,22174,23063,45,0,25054,0,0,0,0,0,0,5,30786,0,0,1,16574,1,0,9,1,41759,111,7,1,23063,45,2963194,9184222,34140,24992191,12260351,7959610,110010,133161,347,12147416,9218362,10000850.38,174978.0372,4109.853132,170148.1145,1685.421209,2050.157637,4.897582418,0.017496871,0.023476529,0.007549769,0.009922874,2.53503E-05,0.64941957,0.007058554,0.009230741,2.52614E-05,0
Base,364,0.05,1,0,-3840676.383,1291058015,9195131.727,3840676.383,149269.7866,13283286,237996,150609,0,16982870,314441,226760,0,13106448,234798,148609,0,4374357,81666,58976,0,0,30795,90742,1,0,0,0,0,30266156,541372,339790,0,957013,31252,6355,0,320604,10598,2555,0,4246668,154975,92104,0,1416935,53787,36177,0,0,30795,0,0,0,0,0,0,6,31252,0,0,4,10598,0,0,29,1,92104,0,11,0,36177,0,7158841,10674743,90743,25008191,18004854,13489855,316464,207585,0,17833584,10765486,10007454.81,211036.9874,3298.622308,206681.0275,3813.111923,2780.867033,0,0.021087762,0.015635898,0.018488922,0.013210777,2.68893E-10,0.749225015,0.01799646,0.011593373,0,0
Base,364,0.05,1,0,-5819475.824,1455955958,10007797.37,5819475.824,226176.8053,15518666,160092,177141,0,22977483,244575,282603,0,14795153,152697,169073,0,4878926,53274,61644,0,0,36246,75231,4,0,0,0,0,38496149,388774,425637,0,922373,39098,14047,0,305199,13024,5324,0,2848574,86263,81043,0,936962,30648,28270,0,0,36246,0,0,0,0,0,0,15,39098,0,0,2,13024,0,0,23,4,81043,0,2,0,28270,0,5149344,14798623,75235,25000688,20110767,15116923,205971,230717,0,19947967,14873858,10006992.88,292195.1301,11462.36841,279551.8066,3102.266264,3588.21033,0.00032967,0.029198096,0.039236926,0.011945764,0.013035346,2.14608E-09,0.751667669,0.011527635,0.012192701,0,0
Base,364,0.05,1,0,-3512893.736,1592410600,7849455.551,3512893.736,136530.352,9450415,339865,74686,0,28738047,1036606,234298,0,8829429,317712,69752,0,5500897,198692,44943,0,0,26421,36180,0,0,0,0,0,38188462,1355262,277856,0,746463,30640,2568,0,468041,16976,1925,0,2468787,175730,41997,0,1538150,111600,25278,0,0,26421,0,0,0,0,0,0,8,30640,0,0,6,16976,0,0,20,0,41997,0,13,0,25278,0,5513217,9332428,36180,24995444,14961425,9216893,516404,114695,0,14845645,9368608,10000539.26,199354.2062,5411.895879,193063.7759,6868.740165,1581.125495,0,0.019934455,0.027140724,0.033761967,0.007844214,0,0.616044764,0.033804857,0.00758453,0,0
Base,364,0.05,1,0,-3449779.863,24505249,7075251.809,3449779.863,134077.4001,9677090,84292,113831,0,19757111,176640,239029,0,9232929,80386,108618,0,3529940,32592,43662,0,0,25874,59167,0,0,0,0,0,29434201,245960,318433,0,672753,29727,11599,0,259353,11112,5180,0,2436159,47664,67887,0,933218,20188,25681,0,0,25874,0,0,0,0,0,0,5,29727,0,0,2,11112,0,0,20,0,67887,0,6,0,25681,0,4386081,8506874,59167,24995333,13028127,9421933,112978,152280,0,12892955,8566041,10001020.51,179537.7246,5009.574451,173763.0697,1620.716593,2179.476923,0,0.017952701,0.027897829,0.0075511,0.01105199,0,0.723285595,0.007272084,0.010657616,0,0
Base,364,0.05,1,0,-3543883.826,111275374,9093676.185,3543883.826,137734.7971,11847867,123736,128896,0,15924480,183075,209585,1,11472159,119936,124883,0,5146348,60597,69239,0,0,40495,75466,0,0,0,0,0,27772347,282429,288756,0,1029228,43575,9682,0,464716,21283,5672,0,3849354,75039,81241,0,1729670,38606,43886,0,0,40495,0,0,0,0,0,0,10,43575,0,0,9,21283,0,0,48,0,81241,0,16,1,43886,0,7201883,9600279,75466,24987690,16993162,11716978,180533,194122,0,16802162,9675745,9998346.638,204359.5221,7104.125604,196257.5281,2340.72967,2682.588681,0.004450549,0.020439354,0.034765622,0.010185436,0.012571549,1.93229E-08,0.68960096,0.009480233,0.010978049,0,0
Base,364,0.05,1,0,-4093041.32,1372610574,10177403.58,4093041.32,159078.0747,15872966,110530,200265,0,34559919,246378,449851,0,15178178,105767,191628,0,4844108,35297,63890,0,0,42366,109827,3,0,0,0,0,50432885,338374,601513,0,1179703,46253,13652,0,374554,14625,4786,0,5159712,58497,119905,0,1644925,20301,38457,0,0,42366,0,0,0,0,0,0,18,46253,0,0,4,14625,0,0,50,2,119905,0,18,0,38457,0,8456038,11742238,109830,24993332,20418868,15475573,141064,255518,0,20198276,11852068,9997258.028,291407.6602,7104.890879,283103.7765,2090.873956,3811.245385,0.001813187,0.029148749,0.024408583,0.008372355,0.013153523,7.00721E-09,0.757939852,0.008049394,0.012591061,0,0
Base,364,0.05,1,0,-4506201.618,744189732,9651202.141,4506201.618,175135.754,14760109,132807,182906,0,18032337,165568,233077,1,14194356,127787,176059,0,4425047,41799,58497,0,0,39853,80372,2,0,0,0,0,32792446,275820,369267,0,1240458,48390,13180,0,387064,14007,4955,0,3760496,72080,97446,0,1171693,25273,29584,0,0,39853,0,0,0,0,0,0,8,48390,0,0,3,14007,0,0,42,1,97446,0,16,1,29584,0,6675128,12157734,80374,24993010,19023545,14498202,169586,234556,0,18832862,12238108,10000259.34,268023.2773,10873.98516,256032.2791,2468.768352,3451.566538,0.001428571,0.026801491,0.0405709,0.00980785,0.013068884,6.3472E-09,0.762112937,0.009508981,0.012519107,0,0
