Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-92627109,1435429692,8916359,3463519,69270.38,8916359,6153742,735802,168015,60660,8830855,5420356,3463519,8883875,4880083.326,85990.58571,3042.481978,82424.29621,7023.948352,1623.106044,634.4973626,0.017622535,0.035379042,0.085082,0.022027591,0.007623375,0.690330776,0.0858331,0.021960941,0.007040575,0.036544929,0.610134204
Base,364,0.05,1,5000,-87929935,63927149,8094127,6988665,139773.3,8094127,5509189,416131,568942,0,8035443,1084449,6988665,8073114,4880754.335,79654.80489,4103.191319,75076.17346,4092.655165,5575.277637,0,0.016321345,0.051494998,0.050770156,0.06847612,0,0.680876413,0.050865722,0.068771314,0,0.033169155,0.134328464
Base,364,0.05,1,5000,-118016167,1168836147,10920384,8812327,176246.54,10920384,7411159,622231,110929,0,10852123,2081761,8812327,10894088,4880378.562,101183.1023,2912.725549,97628.99962,5736.826923,1089.051538,0,0.020732615,0.02879127,0.056712568,0.010697627,0,0.678651799,0.056995686,0.010122463,0,0.044751911,0.191090893
Base,364,0.05,1,5000,-118945212,1893618894,11027417,8671042,173420.84,11027417,7370499,764160,129470,1,10943742,2324453,8671042,10995495,4878428.397,106263.9203,1117.507527,104498.844,7330.689176,1306.180824,0.000384615,0.021782384,0.010510749,0.068876485,0.011616058,4.75248E-09,0.668395919,0.069199364,0.011126675,8.38508E-08,0.045208881,0.211400487
Base,364,0.05,1,5000,-103959546,1384399024,9588307,8076476,161529.52,9588307,6620498,558406,81148,0,9531288,1488736,8076476,9565212,4881288.508,92700.9561,1682.536484,90455.30599,5360.857802,817.1996154,0,0.018991597,0.018145146,0.057515609,0.007988748,0,0.690498505,0.057937748,0.007682399,0,0.039286404,0.15564067
Base,364,0.05,1,5000,-109979427,950739987,10593868,4040747,80814.94,10593868,7071751,443894,164801,0,10520019,6523781,4040747,10564528,4878970.118,95425.60527,5346.501538,89456.86258,3988.323352,1528.575989,0.00010989,0.019558639,0.056023616,0.041729577,0.015782502,1.73773E-09,0.667538914,0.041839401,0.015335681,0,0.043425959,0.617517508
Base,364,0.05,1,5000,-111129066,1085562070,10430408,6824986,136499.72,10430408,7014615,326589,95488,5,10342591,3571032,6824986,10396018,4879028.384,87042.6333,3744.334231,82685.67538,2746.883462,866.0473626,0.025604396,0.017840455,0.043025928,0.030202308,0.008932518,2.2558E-07,0.672693442,0.030056529,0.008246287,3.61303E-07,0.042756272,0.343499982
Base,364,0.05,1,5000,-90778308,389552101,8360545,7172858,143457.16,8360545,5830739,588943,228492,0,8304144,1166149,7172858,8339007,4877588.3,78148.57725,1353.063352,76304.49951,5445.854725,2149.78022,0.003021978,0.016022116,0.017224685,0.069615301,0.023766107,2.7664E-08,0.697530751,0.070324404,0.023660601,0,0.034281451,0.13984267
Base,364,0.05,1,5000,-136716893,1288536369,12489432,11822573,236451.46,12489432,8413305,643797,214082,0,12454776,651534,11822573,12474107,4881847.049,109804.3197,3595.895055,105474.9659,5612.530824,1891.930275,0,0.022492054,0.032753672,0.051260023,0.017718312,0,0.673628527,0.051691301,0.017623169,0,0.051165363,0.052230913
Base,364,0.05,1,5000,-98975289,1065923920,9130488,7670409,153408.18,9130488,6224026,230264,174286,0,9067720,1436871,7670409,9107280,4883162.787,72061.85154,885.2024176,70640.49643,1867.873407,1438.481593,0,0.014758192,0.012256971,0.024778104,0.018013714,0,0.681751763,0.024222343,0.017307791,0,0.037397455,0.157771695
