Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,WTP,R_t Switch threshold if social distancing is off,R_t Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Case-fatality,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-821062818.6,2101566889,8157.883367,413168650.2,41316865.02,2,63604,2761,853,1355,502,853,63604,502,1355,78.57802198,1.756043956,2.826373626,53942.50549,790.3516484,4.698901099,99053.94945,0.543465184,0.007940652,4.87517E-05,0.370479705,0.021303692,65,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1022032425,1665097450,11785.42279,432761285.4,43276128.54,2,88951,3812,730,1958,1228,730,88951,1228,1958,213.5454545,3.222727273,8.75,31192.36818,1383.504545,12.08636364,98566.17273,0.3151044,0.013903752,0.000122899,0.627170582,0.022012119,32,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-950483735.3,1716179948,10249.69306,437999082.3,43799908.23,2,90098,4047,607,1702,1095,607,90098,1095,1702,234.8101852,2.685185185,7.699074074,30559.16204,1437.671296,10.52314815,98776.24074,0.308195984,0.014424171,0.00010734,0.643360752,0.018890541,31,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-634158888.6,1560278715,11294.9511,69411333.74,6941133.374,0,75833,3087,910,1877,967,910,75833,967,1877,160.9176955,3.62962963,7.567901235,61382.72016,1061.55144,11.30864198,99119.16872,0.616514747,0.010671048,0.000115289,0.515183804,0.024752084,34,0
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1029277163,991019385,11894.1788,434568222.7,43456822.27,2,88759,3795,871,1976,1105,871,88759,1105,1976,180.2631579,3.169172932,7.281954887,34299.24812,1984.296992,10.53383459,98633.19173,0.345842773,0.019954945,0.000107751,0.559210526,0.022262531,38,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1026362695,118052103,11863.70872,433177258.9,43317725.89,2,88299,3867,963,1971,1008,963,88299,1008,1971,173.2287823,3.442804428,7.114391144,40756.26937,1643.597786,10.66420664,98772.49815,0.41014108,0.016531943,0.000108984,0.511415525,0.022322136,39,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1004232660,1209758844,11578.82054,425291632.7,42529163.27,2,81518,3322,670,1924,1254,670,81518,1254,1924,178.1046025,2.69874477,7.912133891,37623.20084,999.8033473,10.70292887,98600.41004,0.380080902,0.010050472,0.000109163,0.651767152,0.023602149,35,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-814196048.4,70671723,8072.985021,410546797.4,41054679.74,2,61344,2655,947,1341,394,947,61344,394,1341,62.96487985,1.628465804,2.336414048,54801.81701,696.2661738,4.068391867,99045.74122,0.552328108,0.006997261,4.25011E-05,0.293810589,0.021860329,78,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-540962547.2,1722612191,9315.090036,75208045.35,7520804.535,0,75249,3375,1019,1547,528,1019,75249,528,1547,119.4916667,2.711111111,4.155555556,62483.125,1153.508333,6.994444444,99289.01111,0.626964079,0.011590223,7.1633E-05,0.341305753,0.020558686,51,0
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-505605872.8,1968291596,8624.167481,74397498.72,7439749.872,0,72131,3360,929,1432,503,929,72131,503,1432,109.9691517,2.28277635,3.542416452,56048.71722,741.5475578,5.94344473,99168.98972,0.563316224,0.007450029,6.09729E-05,0.351256983,0.019852768,56,0
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1056156056,1877569084,12428.57064,434727524.6,43472752.46,2,90536,3806,518,2065,1547,518,90536,1547,2065,261.1945946,2.702702703,11.02702703,31100.27027,1562.248649,13.79459459,98545.82162,0.31385633,0.015687236,0.000140314,0.749152542,0.022808858,27,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1035252466,1726322189,12067.36911,431884010.7,43188401.07,2,88258,3767,678,2005,1327,678,88258,1327,2005,229.9059406,3.242574257,9.767326733,34089.86634,1485.346535,13.14356436,98606.46535,0.344024837,0.014922564,0.000133544,0.661845387,0.022717745,29,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-967436582,307848836,10733.80388,430746388.1,43074638.81,2,84250,3686,669,1783,1114,669,84250,1114,1783,190.4545455,2.628099174,7.20661157,35736.38017,1229.549587,9.962809917,98716.40909,0.360653859,0.012348631,0.000101843,0.62478968,0.021163456,35,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-981697893.3,1154000220,10862.36245,438579771,43857977.1,2,90143,4110,459,1804,1345,459,90143,1345,1804,242.1374408,2.056872038,8.388625592,26132.58294,1114.810427,10.59241706,98604.92891,0.264203106,0.011185566,0.000107709,0.74556541,0.020012647,31,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-770909016.7,2028661055,7284.952903,406661371.6,40666137.16,2,58078,2531,744,1210,466,744,58078,466,1210,97.01818182,2.142424242,3.518181818,63481.11515,916.5515152,5.76969697,99278.94242,0.638272199,0.009193315,5.93833E-05,0.385123967,0.020834051,48,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-979632127.2,1629114640,10891.53241,435055506.8,43505550.68,2,87944,3865,1127,1809,682,1127,87944,682,1809,164.3993174,3.740614334,6.006825939,41188.28328,1863.081911,9.849829352,98884.15017,0.414421673,0.018729782,0.000100805,0.37700387,0.020570142,42,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1031961699,1439048174,11954.0698,434258209.1,43425820.91,2,88926,3760,719,1986,1267,719,88926,1267,1986,218.9178082,3.132420091,8.885844749,32175.73973,1729.388128,12.19634703,98583.48402,0.324799319,0.017380051,0.000124241,0.638287154,0.022322182,32,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1051249019,865227006,12350.26715,433735660.9,43373566.09,2,90685,3784,767,2052,1285,767,90685,1285,2052,251.042328,3.91005291,10.65079365,30559.47619,1287.989418,14.71957672,98536.7672,0.308863763,0.012936503,0.000149996,0.626218324,0.022627777,27,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1019275778,890479738,11654.63742,436543906.8,43654390.68,2,91315,3908,957,1936,979,957,91315,979,1936,190.3333333,3.612403101,7.348837209,37145.5,2537.089147,11.05426357,98776.24031,0.37374188,0.025510432,0.00011283,0.505681818,0.021201336,37,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-807338787.5,1017049163,7917.016261,411487974.4,41148797.44,2,61755,2746,603,1315,712,603,61755,712,1315,116.76,1.863333333,4.19,56357.25667,735.7366667,6.196666667,99116.13333,0.567566369,0.00737948,6.41318E-05,0.541444867,0.021295547,43,4
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-530456542.1,1707305064,9063.517842,77280649.97,7728064.997,0,76051,3475,958,1505,547,958,76051,547,1505,134.5545455,2.806060606,4.421212121,58729.73333,1206.193939,7.318181818,99240.75152,0.589573523,0.01211463,7.49681E-05,0.36345515,0.019789352,48,0
D:1| T0: 0.10| T1: 515.00| I0: 6978.7| I1: 406.3| WTP: 600000,1,0.096153846,515,600000,1,0.2,6978.7106,406.30045,-1052861035,400145663,12338.99798,435911135.8,43591113.58,2,90080,3857,818,2050,1232,818,90080,1232,2050,239.9802956,3.935960591,9.955665025,30172.64039,1190.945813,13.97536946,98509.8867,0.305097797,0.011966272,0.000142152,0.60097561,0.022757549,29,4
