Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,Periodicity (weeks),WTP,# CC Switch threshold if social distancing is off,# CC Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Length of Epidemic,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: Hospitalized,Total: ICU-Queue,Total: ICU,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % served in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Hospitalization rate,Average ratio: Deth rate,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
Base,0,3,0,100000,0,0,0,0,0,-29667,1043226599,29667,0,0,0,2.978021978,656631,65201,4172,32463,28291,1376,656631,65201,32463,4172,28291,29667,733.2738095,28.57875458,168.1446886,527991.4194,4951.07326,196.797619,979350.5275,0.535734069,0.005015397,0.000199719,0.128515541,0.953618499,0.000424072,0.000193164,155,0
Base,0,3,0,100000,0,0,0,0,0,-27487,257469460,27487,0,0,0,2.93956044,694496,72835,4019,30162,26143,1344,694496,72835,30162,4019,26143,27487,681.6309524,22.2032967,115.4496337,440964.3507,4162.898352,137.7188645,978458.7344,0.448151224,0.004212559,0.000139611,0.133247132,0.951104158,0.000473282,0.000178799,153,0
Base,0,3,0,100000,0,0,0,0,0,-28443,1232387964,28443,0,0,0,2.92032967,663176,67234,3972,31050,27078,1365,663176,67234,31050,3972,27078,28443,797.5879121,23.20238095,123.271978,479723.0467,4248.99359,146.540293,978271.6071,0.487671644,0.004301653,0.000148635,0.127922705,0.952009282,0.00043711,0.000185101,152,0
Base,0,3,0,100000,0,0,0,0,0,-29032,936806146,29032,0,0,0,2.901098901,704385,70740,3774,31475,27700,1332,704385,70740,31475,3774,27700,29032,835.5604396,21.7032967,128.981685,441636.9716,4636.230769,150.731685,977576.3507,0.448886141,0.004694436,0.000152903,0.119904686,0.954119592,0.000459989,0.000189011,151,0
Base,0,3,0,100000,0,0,0,0,0,-30106,1089073639,30106,0,0,0,2.958791209,747643,79746,3826,32499,28673,1433,747643,79746,32499,3826,28673,30106,918.0824176,22.27472527,114.7014652,414386.5101,5452.53663,137.0375458,977055.0385,0.420807535,0.005524814,0.00013911,0.117726699,0.952401515,0.000518942,0.000196114,154,0
Base,0,3,0,100000,0,0,0,0,0,-28622,404916852,28622,0,0,0,2.958791209,676896,71114,3863,31069,27206,1416,676896,71114,31069,3863,27206,28622,869.3498168,22.53021978,106.6694139,459729.7592,3752.487179,129.2591575,977722.9249,0.467568949,0.003799741,0.000131124,0.124336155,0.950527566,0.000462379,0.000186292,154,0
Base,0,3,0,100000,0,0,0,0,0,-32040,239233827,32040,0,0,0,2.978021978,680896,74094,4474,34722,30248,1792,680896,74094,34722,4474,30248,32040,698.5769231,23.46428571,123.2454212,465324.6062,3854.990842,146.768315,975466.8242,0.473874206,0.003909713,0.00014914,0.128852025,0.944069913,0.000482605,0.000208917,155,0
Base,0,3,0,100000,0,0,0,0,0,-30232,1270591778,30232,0,0,0,2.978021978,691501,70400,4253,32883,28630,1602,691501,70400,32883,4253,28630,30232,823.3525641,24.33974359,145.1401099,466196.141,4466.871795,169.5586081,977354.3397,0.473850209,0.004525686,0.000172103,0.129337348,0.947009791,0.000458024,0.000196924,155,0
Base,0,3,0,100000,0,0,0,0,0,-29057,317931843,29057,0,0,0,2.958791209,706965,73783,4154,31718,27564,1493,706965,73783,31718,4154,27564,29057,804.3818681,22.00641026,127.9368132,435500.8342,4629.044872,150.018315,977408.6767,0.442752348,0.004687519,0.000152194,0.130966644,0.948618233,0.000479816,0.000189173,154,0
Base,0,3,0,100000,0,0,0,0,0,-29344,1447263987,29344,0,0,0,2.978021978,660806,65341,3839,31797,27958,1386,660806,65341,31797,3839,27958,29344,830.2481685,25.62179487,162.7307692,485213.3736,4615.067766,188.4084249,977787.065,0.49341179,0.004673445,0.000191148,0.120734661,0.952767176,0.000424884,0.000191045,155,0
Base,0,3,0,100000,0,0,0,0,0,-31197,597720908,31197,0,0,0,2.958791209,673630,67575,4335,34024,29689,1508,673630,67575,34024,4335,29689,31197,780.0622711,25.18681319,155.7005495,493420.0375,3857.57967,180.9551282,977179.1932,0.501547306,0.003910595,0.000183768,0.127410063,0.951662019,0.000439878,0.00020332,154,0
Base,0,3,0,100000,0,0,0,0,0,-26012,533240777,26012,0,0,0,2.92032967,671340,68021,3689,28397,24708,1304,671340,68021,28397,3689,24708,26012,702.7124542,24.16117216,149.021978,480211.6731,3971.547619,173.242674,980440.6832,0.48720187,0.00401515,0.000175457,0.129908089,0.949869291,0.000441545,0.000169057,152,0
Base,0,3,0,100000,0,0,0,0,0,-28879,93411073,28879,0,0,0,2.843406593,679127,70641,3824,31213,27389,1490,679127,70641,31213,3824,27389,28879,779.1254579,21.68131868,115.3974359,467841.0064,3531.93315,137.1254579,977934.5311,0.475533459,0.003575991,0.000139104,0.122513055,0.948405416,0.000459288,0.000188001,148,0
Base,0,3,0,100000,0,0,0,0,0,-31201,2115334294,31201,0,0,0,2.978021978,693609,68585,3903,33601,29698,1503,693609,68585,33601,3903,29698,31201,626.4725275,21.78571429,130.4935897,434200.2958,3254.869963,152.3461538,975164.7134,0.442502973,0.003299406,0.000154723,0.116157257,0.951828467,0.000446485,0.00020337,155,0
Base,0,3,0,100000,0,0,0,0,0,-31985,1610837117,31985,0,0,0,2.901098901,692512,67483,3613,34448,30835,1150,692512,67483,34448,3613,30835,31985,733.518315,22.35164835,137.8177656,444531.7152,3859.636447,160.242674,974957.9661,0.45293027,0.003913447,0.000162796,0.104882722,0.964045646,0.000439472,0.000208572,151,0
Base,0,3,0,100000,0,0,0,0,0,-30932,2004122012,30932,0,0,0,2.978021978,711779,69287,4101,33537,29436,1496,711779,69287,33537,4101,29436,30932,795.8516484,20.02747253,114.3195971,431336.3388,3467.160256,134.4075092,975857.2701,0.43894276,0.003514267,0.000136497,0.122282852,0.951635846,0.000451055,0.000201607,155,0
Base,0,3,0,100000,0,0,0,0,0,-27790,1287676256,27790,0,0,0,2.978021978,671055,71946,3924,30225,26301,1489,671055,71946,30225,3924,26301,27790,838.1666667,25.31227106,155.5860806,494736.3132,4828.835165,180.9542125,979691.6667,0.502009798,0.0048858,0.000183445,0.129826303,0.946419575,0.000467403,0.000180782,155,0
Base,0,3,0,100000,0,0,0,0,0,-27871,255156572,27871,0,0,0,2.958791209,674945,70260,3713,30279,26566,1305,674945,70260,30279,3713,26566,27871,752.3415751,21.2481685,125.0879121,469392.6154,3873.931319,146.3983516,978644.4203,0.476920033,0.003920171,0.000148424,0.122626243,0.953177138,0.000456582,0.000181342,154,0
Base,0,3,0,100000,0,0,0,0,0,-27422,1649727319,27422,0,0,0,2.92032967,711116,72210,3445,29577,26132,1290,711116,72210,29577,3445,26132,27422,861.0357143,22.17765568,127.9432234,424870.0568,4962.333333,150.1749084,978401.5998,0.431706052,0.005020444,0.000152211,0.11647564,0.952957479,0.000469157,0.000178372,152,0
Base,0,3,0,100000,0,0,0,0,0,-29491,956266957,29491,0,0,0,2.978021978,661267,61553,4819,32580,27761,1730,661267,61553,32580,4819,27761,29491,672.6291209,25.4514652,121.6501832,506102.1932,4622.93956,147.1794872,978595.7518,0.514007042,0.004683075,0.000149375,0.14791283,0.941338035,0.000400358,0.000192018,155,0
Base,0,3,0,100000,0,0,0,0,0,-25135,1827185371,25135,0,0,0,2.92032967,667763,69519,4194,27795,23601,1534,667763,69519,27795,4194,23601,25135,662.5970696,24.96978022,112.1098901,483599.381,4401.814103,137.1419414,981116.0476,0.490437267,0.004449766,0.00013887,0.150890448,0.938969564,0.000451217,0.000163276,152,0
Base,0,3,0,100000,0,0,0,0,0,-28340,1996870627,28340,0,0,0,2.92032967,734627,73398,3365,30279,26914,1426,734627,73398,30279,3365,26914,28340,870.2399267,19.56318681,120.271978,407907.7234,4027.267399,139.8928571,977742.2289,0.414395552,0.004075817,0.000141854,0.111133129,0.949682428,0.000477086,0.000184451,152,0
Base,0,3,0,100000,0,0,0,0,0,-28053,38112397,28053,0,0,0,2.93956044,661335,70849,4893,31249,26356,1697,661335,70849,31249,4893,26356,28053,826.290293,26.63278388,155.3653846,516332.3617,5073.641941,182.0677656,980130.6731,0.523677757,0.005135334,0.000184606,0.156581011,0.939507361,0.000460403,0.000182503,153,0
Base,0,3,0,100000,0,0,0,0,0,-31632,1950159003,31632,0,0,0,2.978021978,716979,73326,4295,34129,29834,1798,716979,73326,34129,4295,29834,31632,754.1263736,23.17582418,134.9478022,433030.8416,4987.744505,158.1913919,975671.5037,0.440606466,0.005056762,0.000160697,0.125846055,0.943158827,0.000477426,0.000206214,155,0
Base,0,3,0,100000,0,0,0,0,0,-32782,1052996097,32782,0,0,0,2.92032967,689961,69452,4256,35578,31322,1460,689961,69452,35578,4256,31322,32782,866.6126374,25.78754579,138.547619,466537.7885,4989.805861,164.4038462,975360.6639,0.474918207,0.005062211,0.00016711,0.119624487,0.955463364,0.000452471,0.000213826,152,0
Base,0,3,0,100000,0,0,0,0,0,-32608,1425001677,32608,0,0,0,2.92032967,680992,70912,3772,35035,31263,1345,680992,70912,35035,3772,31263,32608,827.275641,23.58241758,139.4423077,470139.9597,4219.051282,163.0934066,975270.8049,0.47874692,0.00427988,0.000165756,0.107663765,0.958752453,0.00046197,0.000212693,152,0
Base,0,3,0,100000,0,0,0,0,0,-29992,1960537251,29992,0,0,0,2.843406593,691044,75939,4436,32972,28536,1456,691044,75939,32972,4436,28536,29992,916.5521978,23.06684982,143.9304029,487189.5192,4564.653846,167.0631868,978383.0403,0.494487212,0.004623861,0.000169538,0.134538396,0.951453721,0.000493971,0.000195346,148,0
Base,0,3,0,100000,0,0,0,0,0,-25645,742485397,25645,0,0,0,2.93956044,664341,67475,3749,28129,24380,1265,664341,67475,28129,3749,24380,25645,682.7106227,25.87179487,147.4020147,491084.435,4553.841575,173.3452381,980959.5366,0.498043774,0.004603436,0.00017554,0.133278823,0.950672646,0.000437926,0.000166629,153,0
Base,0,3,0,100000,0,0,0,0,0,-26728,905423139,26728,0,0,0,2.978021978,681261,71276,3646,29115,25469,1259,681261,71276,29115,3646,25469,26728,850.2152015,25.07417582,157.1666667,468101.2573,5091.601648,182.3104396,979767.4148,0.475142707,0.005149242,0.000184731,0.125227546,0.95289584,0.000462829,0.000173772,155,0
Base,0,3,0,100000,0,0,0,0,0,-32789,551782434,32789,0,0,0,2.958791209,731024,74942,4250,35520,31270,1519,731024,74942,35520,4250,31270,32789,811.2051282,20.63644689,116.1254579,408482.6401,4349.39011,136.8287546,974097.8379,0.416146491,0.004412692,0.000139087,0.119650901,0.953673488,0.000488382,0.00021392,154,0
Base,0,3,0,100000,0,0,0,0,0,-31233,571247626,31233,0,0,0,2.958791209,695061,70376,3807,33679,29872,1361,695061,70376,33679,3807,29872,31233,814.1401099,22.92765568,132.1474359,451908.8031,4022.124542,155.1327839,976027.5769,0.459900166,0.004076852,0.000157542,0.113037798,0.956424295,0.000458096,0.000203571,154,0
Base,0,3,0,100000,0,0,0,0,0,-25587,1271857357,25587,0,0,0,2.958791209,654475,60376,4636,28623,23987,1600,654475,60376,28623,4636,23987,25587,622.5228938,25.90842491,106.7527473,517927.8141,4767.14652,132.7445055,981722.2152,0.524804161,0.004820466,0.00013447,0.161967648,0.937468246,0.000391963,0.000166245,154,0
Base,0,3,0,100000,0,0,0,0,0,-29176,1368378957,29176,0,0,0,2.93956044,687925,73195,3975,31848,27873,1303,687925,73195,31848,3975,27873,29176,760.4844322,24.39102564,147.0732601,458085.9918,4799.695055,171.5119048,977668.7042,0.465702394,0.004860179,0.000174012,0.124811605,0.955340005,0.000475947,0.000189944,153,0
Base,0,3,0,100000,0,0,0,0,0,-32578,1411728904,32578,0,0,0,2.92032967,718147,68636,4458,35420,30962,1616,718147,68636,35420,4458,30962,32578,711.0961538,24.5521978,156.2811355,454410.543,5298.194139,180.8919414,975980.5888,0.461881043,0.005374037,0.000183817,0.125861095,0.950395973,0.000447089,0.000212473,152,0
Base,0,3,0,100000,0,0,0,0,0,-31005,1598373624,31005,0,0,0,2.901098901,687848,68254,4407,33835,29428,1577,687848,68254,33835,4407,29428,31005,700.6346154,24.39835165,125.1538462,480009.1484,4985.400183,149.6135531,977198.3864,0.487793936,0.005053481,0.000151936,0.130249741,0.949137236,0.000444311,0.000202049,151,0
Base,0,3,0,100000,0,0,0,0,0,-30341,796807862,30341,0,0,0,2.93956044,704978,68900,4193,33243,29050,1291,704978,68900,33243,4193,29050,30341,682.2106227,25.67307692,165.1217949,462235.5357,5182.407509,190.8534799,977561.1557,0.469521631,0.005250744,0.000193732,0.126131817,0.957450315,0.000448242,0.000197638,153,0
Base,0,3,0,100000,0,0,0,0,0,-31367,1999360184,31367,0,0,0,2.92032967,744765,72892,4160,33810,29650,1717,744765,72892,33810,4160,29650,31367,938.7637363,19.31593407,108.043956,388449.326,4625.422161,127.4065934,974840.6108,0.395529036,0.004689318,0.000129405,0.123040521,0.945260943,0.000474675,0.000204495,152,0
Base,0,3,0,100000,0,0,0,0,0,-30350,1596956965,30350,0,0,0,2.92032967,680677,66296,3760,32779,29019,1331,680677,66296,32779,3760,29019,30350,629.6135531,24.75641026,147.9862637,459739.2921,4292.468864,172.8076923,976556.5018,0.467906044,0.004349027,0.00017542,0.114707587,0.956144975,0.000431337,0.000197714,152,0
Base,0,3,0,100000,0,0,0,0,0,-27885,59423589,27885,0,0,0,2.93956044,676028,74687,4053,30737,26684,1201,676028,74687,30737,4053,26684,27885,850.1098901,24.38003663,147.5714286,464144.6712,4468.557692,172.0091575,978514.6566,0.471730032,0.004522075,0.000174389,0.131860624,0.956930249,0.000485309,0.000181413,153,0
Base,0,3,0,100000,0,0,0,0,0,-30416,1475041650,30416,0,0,0,2.978021978,676845,68024,3864,32843,28979,1437,676845,68024,32843,3864,28979,30416,759.9285714,24.00641026,139.503663,470060.4661,4230.326007,163.5686813,976809.9341,0.478225509,0.004286116,0.000166057,0.117650641,0.952755129,0.000442616,0.000198156,155,0
Base,0,3,0,100000,0,0,0,0,0,-30483,1837679086,30483,0,0,0,2.997252747,674710,70492,3763,32917,29154,1329,674710,70492,32917,3763,29154,30483,757.0540293,24.32692308,146.8516484,477964.87,3735.785714,171.239011,977064.6987,0.486091057,0.003785304,0.000173837,0.11431783,0.956401929,0.000458658,0.000198595,156,0
Base,0,3,0,100000,0,0,0,0,0,-33232,454377015,33232,0,0,0,2.901098901,710261,73309,3949,35756,31807,1425,710261,73309,35756,3949,31807,33232,890.2298535,21.33791209,135.8076923,432750.5879,4325.290293,157.206044,974092.0247,0.440969319,0.004388214,0.000159823,0.110443003,0.957119644,0.000477726,0.000216855,151,0
Base,0,3,0,100000,0,0,0,0,0,-24709,992015973,24709,0,0,0,2.997252747,671045,74624,3663,27184,23521,1188,671045,74624,27184,3663,23521,24709,753.3571429,24.08608059,154.8644689,474997.4048,5060.766484,179.007326,981260.5668,0.481705922,0.005112943,0.000181177,0.134748381,0.951920353,0.000484055,0.000160472,156,0
Base,0,3,0,100000,0,0,0,0,0,-33882,745379750,33882,0,0,0,2.93956044,709622,70509,4461,36486,32025,1857,709622,70509,36486,4461,32025,33882,856.4862637,23.22069597,139.2545788,451647.5586,4743.832418,162.5384615,974521.0147,0.459780607,0.004815313,0.000165269,0.122266075,0.945192137,0.000459697,0.00022115,153,0
Base,0,3,0,100000,0,0,0,0,0,-31346,1338129969,31346,0,0,0,2.93956044,686707,67738,3934,33748,29814,1532,686707,67738,33748,3934,29814,31346,794.1868132,25.47252747,155.6098901,461091.8425,4528.471612,181.1483516,976076.6813,0.469298331,0.00459044,0.00018397,0.116569871,0.95112614,0.000440958,0.000204305,153,0
Base,0,3,0,100000,0,0,0,0,0,-28333,1925125805,28333,0,0,0,2.93956044,666374,69956,4372,30957,26585,1748,666374,69956,30957,4372,26585,28333,717.5018315,26.55677656,153.2371795,494964.5339,4876.441392,179.8553114,979158.8333,0.502557635,0.004936289,0.000182387,0.141228155,0.938305157,0.000454671,0.00018436,153,0
Base,0,3,0,100000,0,0,0,0,0,-32112,297184010,32112,0,0,0,2.93956044,676997,64635,5028,35387,30359,1753,676997,64635,35387,5028,30359,32112,787.7051282,26.49358974,153.0787546,488870.3636,4875,179.6437729,976451.6603,0.497208507,0.004944458,0.000182538,0.142086077,0.945409816,0.000420976,0.000209371,153,0
Base,0,3,0,100000,0,0,0,0,0,-27291,509364435,27291,0,0,0,2.958791209,659741,66602,4174,29964,25790,1501,659741,66602,29964,4174,25790,27291,864.3617216,25.52564103,139.9294872,495022.8379,4605.407509,165.5210623,979721.7518,0.502536576,0.00465981,0.000167777,0.139300494,0.945000183,0.000432674,0.00017748,154,0
Base,0,3,0,100000,0,0,0,0,0,-29707,1591267859,29707,0,0,0,2.978021978,709391,75760,4505,32628,28123,1584,709391,75760,32628,4505,28123,29707,828.9120879,24.90384615,135.231685,461950.6273,5353.418498,160.2179487,978156.9313,0.468937232,0.005422662,0.000162602,0.138071595,0.946679234,0.000492768,0.000193447,155,0
Base,0,3,0,100000,0,0,0,0,0,-32579,1780898920,32579,0,0,0,2.997252747,758685,81648,4096,35304,31208,1371,758685,81648,35304,4096,31208,32579,950.1492674,21.86080586,123.547619,388406.7738,5791.539377,145.4752747,974415.4148,0.395272207,0.005875468,0.000147853,0.116020847,0.957917677,0.000532024,0.000212513,156,0
Base,0,3,0,100000,0,0,0,0,0,-27469,605828729,27469,0,0,0,2.997252747,663107,69311,4377,30433,26055,1414,663107,69311,30433,4377,26055,27469,703.7380952,25.71062271,132.2472527,508591.5733,4660.309524,158.0283883,980262.6035,0.51584282,0.00471583,0.000160195,0.143824138,0.94852379,0.000450327,0.000178652,156,0
Base,0,3,0,100000,0,0,0,0,0,-32290,1000055282,32290,0,0,0,2.92032967,677075,65506,3876,34862,30985,1305,677075,65506,34862,3876,30985,32290,744.4304029,24.58608059,146.6804029,469186.9084,4201.600733,171.3278388,975334.207,0.47787728,0.004261436,0.000174092,0.111181229,0.959585011,0.000426668,0.000210575,152,0
Base,0,3,0,100000,0,0,0,0,0,-29562,736797502,29562,0,0,0,2.901098901,682149,63245,4605,32554,27949,1613,682149,63245,32554,4605,27949,29562,774.1227106,24.54120879,128.0311355,467051.8095,4452.465201,152.6355311,977510.5916,0.474873596,0.004510944,0.0001549,0.141457271,0.945436709,0.000411441,0.000192495,151,0
Base,0,3,0,100000,0,0,0,0,0,-27822,165864443,27822,0,0,0,2.901098901,672036,66033,3792,30168,26376,1446,672036,66033,30168,3792,26376,27822,685.5741758,22.44505495,133.2454212,478204.6502,3978.792125,155.7435897,978969.7491,0.485695493,0.004026387,0.000157897,0.125696102,0.948026741,0.000429082,0.000181003,151,0
Base,0,3,0,100000,0,0,0,0,0,-32119,70505271,32119,0,0,0,2.958791209,681726,72518,4206,34709,30502,1617,681726,72518,34709,4206,30502,32119,788.0320513,22.86996337,132.7124542,467732.707,4034.715201,155.6410256,975559.2454,0.476212414,0.004091601,0.000158122,0.121178945,0.949655967,0.000472299,0.000209448,154,0
Base,0,3,0,100000,0,0,0,0,0,-26455,1238790954,26455,0,0,0,2.92032967,663219,67002,4205,29213,25008,1447,663219,67002,29213,4205,25008,26455,704.1474359,24.18040293,132.6401099,488580.1941,4276.318681,156.8882784,980203.6511,0.495822284,0.004324359,0.000158935,0.143942765,0.945303345,0.000435036,0.000171972,152,0
Base,0,3,0,100000,0,0,0,0,0,-26994,2055506555,26994,0,0,0,2.93956044,687039,68510,3910,29587,25677,1317,687039,68510,29587,3910,25677,26994,904.4267399,23.64377289,147.03663,461854.8269,4475.402015,170.7518315,979496.554,0.468858796,0.004526375,0.000173042,0.132152635,0.95121138,0.000444908,0.00017553,153,0
Base,0,3,0,100000,0,0,0,0,0,-27093,227434853,27093,0,0,0,2.881868132,686973,65409,3820,29504,25684,1409,686973,65409,29504,3820,25684,27093,822.6153846,23.29395604,148.3727106,468472.0082,4245.35989,171.7252747,979639.0128,0.475429303,0.004294261,0.000174003,0.12947397,0.947993947,0.000424833,0.000176185,150,0
Base,0,3,0,100000,0,0,0,0,0,-26956,1154357820,26956,0,0,0,2.881868132,667033,71077,4076,29554,25478,1478,667033,71077,29554,4076,25478,26956,744.1126374,25.90842491,156.6080586,515552.2308,5203.682234,182.5824176,981056.8049,0.522431319,0.005263728,0.00018501,0.137917033,0.945169907,0.000461612,0.000175264,150,0
Base,0,3,0,100000,0,0,0,0,0,-29801,740338945,29801,0,0,0,2.881868132,663082,65449,4964,32739,27775,2026,663082,65449,32739,4964,27775,29801,706.1272894,24.77289377,121.3461538,496418.1557,4306.561355,146.1913919,977989.9808,0.504501275,0.004363049,0.000148377,0.151623446,0.932015704,0.000425763,0.000194071,150,0
Base,0,3,0,100000,0,0,0,0,0,-28264,1615250770,28264,0,0,0,2.881868132,710486,64787,4234,31101,26867,1397,710486,64787,31101,4234,26867,28264,714.1282051,22.97893773,144.2225275,448604.5797,4417.461538,167.2628205,978705.1245,0.455363233,0.004470628,0.0001696,0.136137102,0.950573167,0.000421025,0.000183922,150,0
Base,0,3,0,100000,0,0,0,0,0,-29054,33483002,29054,0,0,0,2.978021978,694387,71769,3597,31216,27619,1435,694387,71769,31216,3597,27619,29054,901.71337,21.27930403,128.4578755,442533.7949,3909.489011,149.7967033,977264.9698,0.450099926,0.003958113,0.000151943,0.11522937,0.95060921,0.000466633,0.000189164,155,0
Base,0,3,0,100000,0,0,0,0,0,-30460,1642405860,30460,0,0,0,2.901098901,663368,63893,4687,33703,29016,1444,663368,63893,33703,4687,29016,30460,711.2738095,25.08974359,158.0668498,490967.044,4303.675824,183.2261905,977307.5302,0.499288625,0.004360507,0.000185997,0.139067739,0.952593565,0.00041568,0.000198427,151,0
Base,0,3,0,100000,0,0,0,0,0,-26388,2058976345,26388,0,0,0,2.997252747,700396,71907,3529,28610,25081,1307,700396,71907,28610,3529,25081,26388,826.5338828,22.22344322,122.6804029,457213.7775,4110.387363,144.9532967,980116.7198,0.463718512,0.00415656,0.000146852,0.12334848,0.950469911,0.000466915,0.000171549,156,0
Base,0,3,0,100000,0,0,0,0,0,-27270,119507989,27270,0,0,0,2.958791209,675990,68523,3874,29751,25877,1393,675990,68523,29751,3874,25877,27270,857.6666667,23.83974359,123.5009158,490564.239,4870.242674,147.4084249,980039.1465,0.497607003,0.004927565,0.000149406,0.13021411,0.948918225,0.00044519,0.000177354,154,0
Base,0,3,0,100000,0,0,0,0,0,-34712,895270752,34712,0,0,0,2.978021978,686853,69072,4958,37625,32667,2045,686853,69072,37625,4958,32667,34712,701.0714286,24.09340659,150.4413919,489454.359,4277.808608,174.6053114,974887.5366,0.498068872,0.004344028,0.000177633,0.131774086,0.941086656,0.000450485,0.000226662,155,0
Base,0,3,0,100000,0,0,0,0,0,-32949,1750156356,32949,0,0,0,2.881868132,721250,75363,4283,35559,31276,1673,721250,75363,35559,4283,31276,32949,896.1767399,22.7518315,136.6080586,429412.587,4814.850733,159.4267399,974638.4212,0.437197197,0.004884644,0.000162052,0.120447707,0.949224559,0.000491041,0.000214956,150,0
Base,0,3,0,100000,0,0,0,0,0,-29856,419302329,29856,0,0,0,2.862637363,690537,66932,3864,32300,28436,1420,690537,66932,32300,3864,28436,29856,737.246337,23.75,144.8369963,473543.2372,4737.03022,168.6483516,977883.2619,0.481017805,0.004798011,0.000171145,0.119628483,0.952438371,0.000435352,0.000194447,149,0
Base,0,3,0,100000,0,0,0,0,0,-27676,477948449,27676,0,0,0,2.93956044,684631,73399,3647,30217,26570,1106,684631,73399,30217,3647,26570,27676,851.3424908,24.36446886,152.4267399,465542.3489,4496.984432,176.8498168,979004.5788,0.472768584,0.004550293,0.000179275,0.120693649,0.960037578,0.000476913,0.000180034,153,0
Base,0,3,0,100000,0,0,0,0,0,-29442,99115995,29442,0,0,0,2.958791209,673584,68792,3827,31832,28005,1437,673584,68792,31832,3827,28005,29442,831.3443223,24.53113553,136.4010989,471187.1181,4045.473443,161.0082418,977494.9753,0.479198379,0.004097642,0.000163373,0.120224931,0.951192174,0.000447414,0.000191704,154,0
Base,0,3,0,100000,0,0,0,0,0,-29586,1372722184,29586,0,0,0,2.92032967,681029,69772,4909,32669,27760,1826,681029,69772,32669,4909,27760,29586,757.728022,24.37271062,132.4230769,482768.5641,5125.932234,156.8443223,978155.2097,0.490385779,0.005192594,0.000159165,0.150264777,0.93828162,0.000453847,0.000192649,152,0
Base,0,3,0,100000,0,0,0,0,0,-28283,940774644,28283,0,0,0,2.92032967,676496,71486,3826,30846,27020,1263,676496,71486,30846,3826,27020,28283,859.2747253,23.31318681,143.8974359,467755.8764,4282.242674,167.2747253,978344.9899,0.47537869,0.004334008,0.000169632,0.124035531,0.9553442,0.000464588,0.000184049,152,0
Base,0,3,0,100000,0,0,0,0,0,-26977,141515093,26977,0,0,0,2.978021978,660740,62620,4074,29634,25560,1417,660740,62620,29634,4074,25560,26977,631.9587912,23.94413919,148.1318681,479363.0201,4733.585165,172.1318681,979350.9139,0.486974612,0.004787976,0.000174438,0.137477222,0.947473774,0.000406673,0.000175416,155,0
Base,0,3,0,100000,0,0,0,0,0,-36376,535793410,36376,0,0,0,2.93956044,772718,79029,3781,38562,34781,1595,772718,79029,38562,3781,34781,36376,883.3699634,17.79120879,111.4194139,345436.2527,4477.06044,129.268315,969821.4286,0.353047177,0.004550096,0.000131626,0.098049894,0.956152408,0.000516081,0.00023784,153,0
Base,0,3,0,100000,0,0,0,0,0,-29525,1221326188,29525,0,0,0,2.958791209,657550,62270,4205,32109,27904,1621,657550,62270,32109,4205,27904,29525,655.6987179,27.23901099,125.2875458,505053.413,4646.385531,152.5897436,978425.9689,0.513117205,0.004707235,0.000154849,0.130960167,0.945097375,0.000405044,0.000192232,154,0
Base,0,3,0,100000,0,0,0,0,0,-25464,1616994158,25464,0,0,0,2.93956044,681476,66990,3448,27728,24280,1184,681476,66990,27728,3448,24280,25464,772.5494505,22.31227106,141.9322344,455494.772,3914.453297,164.297619,980217.272,0.462343508,0.003955923,0.00016636,0.124350837,0.953502985,0.00043471,0.000165458,153,0
Base,0,3,0,100000,0,0,0,0,0,-30291,1001458155,30291,0,0,0,2.93956044,689744,69236,4452,33001,28549,1742,689744,69236,33001,4452,28549,30291,831.5741758,23.82692308,131.6199634,450697.043,4785.324176,155.5155678,976506.9524,0.458674917,0.004849018,0.000157868,0.134905003,0.942491169,0.000450536,0.000197322,153,0
Base,0,3,0,100000,0,0,0,0,0,-30387,731395415,30387,0,0,0,2.92032967,685832,70441,4073,33025,28952,1435,685832,70441,33025,4073,28952,30387,820.2069597,26.08058608,147.7994505,483055.4377,5002.447802,173.9368132,977787.9212,0.490701991,0.005068839,0.000176562,0.12333081,0.952775858,0.00045832,0.000197944,152,0
Base,0,3,0,100000,0,0,0,0,0,-28405,365075827,28405,0,0,0,2.93956044,669291,69570,3769,30878,27109,1296,669291,69570,30878,3769,27109,28405,877.4551282,23.23626374,150.6813187,458478.4249,3971.414835,173.9917582,977614.6886,0.466527,0.004019783,0.000176462,0.122061014,0.95437423,0.000452197,0.000184855,153,0
