Iteration,f,x0,x1,x2,x3,Df0,Df1,Df2,Df3,Step_Df,Step_GH
0,-205896861.537644,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,1,2
1,-1487525369.23054,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.840896415253715,1.92307692307692
2,-1553634415.38438,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.759835685651593,1.85185185185185
3,-1721240589.74346,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.707106781186548,1.78571428571429
4,-1721240589.74346,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.668740304976422,1.72413793103448
5,-1095984938.4611,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.638943104246272,1.66666666666667
6,-451890810.255694,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.614788152951264,1.61290322580645
7,-1604803564.10233,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.594603557501361,1.5625
8,-1396345907.692,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.577350269189626,1.51515151515152
9,-814742369.230207,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.562341325190349,1.47058823529412
10,-1307033733.33298,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.549100486776112,1.42857142857143
11,-902747302.563591,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.537284965911771,1.38888888888889
12,-1548382307.69205,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.526640387847927,1.35135135135135
13,-1093160364.10213,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.516973153957171,1.31578947368421
14,-1093160364.10213,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.508132748154615,1.28205128205128
15,-204916030.768463,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.5,1.25
16,-726527343.58913,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.492479060505452,1.21951219512195
17,-1081651974.35854,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.485491771707323,1.19047619047619
18,-1307033733.33298,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.478973625443575,1.16279069767442
19,-1442939312.82026,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.472870804501588,1.13636363636364
20,-165395933.332489,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.4671379777282,1.11111111111111
21,-1609402051.28185,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.461736630944103,1.08695652173913
22,-979267189.743129,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.456633785496731,1.06382978723404
23,-1677401728.20495,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.451801001804922,1.04166666666667
24,-204916030.768463,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.447213595499958,1.02040816326531
25,-1070493738.4611,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.442850014269147,1
26,-1487525369.23054,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.438691337650831,0.980392156862745
27,-735280989.742999,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.434720871944991,0.961538461538462
28,-1581600035.89721,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.430923819458906,0.943396226415094
29,-726527343.58913,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.427287006396234,0.925925925925926
30,-457820082.050566,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.423798657415022,0.909090909090909
31,-1081651974.35854,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.420448207626857,0.892857142857143
32,-1552280287.17928,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.417226144861151,0.87719298245614
33,-1487525369.23054,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.414123876566552,0.862068965517241
34,-692095548.717334,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.41113361690052,0.847457627118644
35,-1239944456.40987,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.408248290463863,0.833333333333333
36,-692095548.717334,6.125977,-9E-05,1.322598,-0.000126,0,0,0,0,0.40546144983877,0.819672131147541
