Iteration,f,x0,x1,x2,Df0,Df1,Df2,Step_Df,Step_GH
0,3628386158.63939,5,-1E-05,0.3,-2.78834258208398E-06,-0.999999999996113,0,1,2
1,15000099999.7668,5.00000557668516,9.99999999992226E-06,0.3,0,1,0,0.840896415253715,1.81818181818182
2,-1842246981.77365,5.00000557668516,-8.18181818189593E-06,0.3,2.22736296916744E-06,0.999999999967822,7.70683624441464E-06,0.759835685651593,1.66666666666667
3,9246355577.0931,5.00000186441355,-2.48484848480263E-05,0.299998715527293,-1.02111609727087E-05,-0.999999999947866,0,0.707106781186548,1.53846153846154
4,3517419285.87264,5.00001757389197,-9.46386946421297E-06,0.299998715527293,-3.42255019812222E-06,-0.999999999858772,-1.64542131872079E-05,0.668740304976422,1.42857142857143
5,3487551369.66485,5.00002246324939,4.82184481948378E-06,0.300001066129176,0,1,0,0.638943104246272,1.33333333333333
6,1872223800.29811,5.00002246324939,-8.51148851384955E-06,0.300001066129176,-6.66978878532194E-06,-0.999999999977757,0,0.614788152951264,1.25
7,2386249489.1643,5.00003080048538,3.98851148587241E-06,0.300001066129176,0,1,0,0.594603557501361,1.17647058823529
8,2951515261.84828,5.00003080048538,-7.77619439648053E-06,0.300001066129176,-5.15448218249603E-06,-0.999999999905678,-1.27308974007583E-05,0.577350269189626,1.11111111111111
9,1668261544.64933,5.0000365276878,3.33491671358256E-06,0.300002480673332,0,1,0,0.562341325190349,1.05263157894737
10,2549979795.26576,5.0000365276878,-7.19139907589112E-06,0.300002480673332,-3.79586927439732E-06,-0.999999999972306,-6.40150383088812E-06,0.549100486776112,1
11,1183243760.64159,5.00004032355707,2.80860092383194E-06,0.300003120823715,0,1,0,0.537284965911771,0.952380952380952
12,-1908226527.22059,5.00004032355707,-6.71520859997759E-06,0.300003120823715,0,1,0,0.526640387847927,0.909090909090909
13,8571824406.35284,5.00004032355707,-1.58061176908867E-05,0.300003120823715,-9.89221359903337E-06,-0.999999995155622,-9.79331437727132E-05,0.516973153957171,0.869565217391304
14,-1436139475.48707,5.00004892548194,-7.11046555909866E-06,0.300011636749261,4.57172772059352E-06,0.999999998791069,4.89587734507951E-05,0.508132748154615,0.833333333333333
15,-1908226527.22059,5.00004511570884,-1.54437988823576E-05,0.300007556851473,1.30620558249904E-06,-0.999999999999147,0,0.5,0.8
16,3860134701.41895,5.00004407074438,-7.4437988823644E-06,0.300007556851473,-3.71448803538157E-06,-0.999999999993101,0,0.492479060505452,0.769230769230769
17,9263556.04558754,5.00004692804287,2.48508809890232E-07,0.300007556851473,0,1,0,0.485491771707323,0.740740740740741
18,-2020758604.3469,5.00004692804287,-7.15889859751718E-06,0.300007556851473,0,1,0,0.478973625443575,0.714285714285714
19,1400710593.57206,5.00004692804287,-1.43017557403743E-05,0.300007556851473,-9.36578411000876E-06,-0.999999999956141,0,0.472870804501588,0.689655172413793
